Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_number_of_votes,nominate_abs,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,terms_served,is_female,age_in_2024
RoseJohn Rose (R),$1106670,$197747,17.87%,Raised over $100k,R,Republican,1106670,197747,17.87,John Rose,85.7,auto,John,Rose,John W. Rose,Republican,rep,TN,R000612,RepJohnRose,Q4 (highest),full_house,repjohnrose,0.661,0.111,0.623,0.107,1091.0,0.661,TN,6.0,35.99749161106706,0.0,67.99874580553353,331687.0,4.0,0,59.0
PocanMark Pocan (D),$1064083,$189287,17.79%,Raised over $100k,D,Democrat,1064083,189287,17.79,Mark Pocan,100.0,auto,Mark,Pocan,Mark Pocan,Democrat,rep,WI,P000607,RepMarkPocan,Q4 (highest),full_house,repmarkpocan,-0.523,-0.555,-0.457,-0.589,1070.0,0.523,WI,2.0,40.23120477105872,0.0,70.05185267803445,457257.0,7.0,0,60.0
KiggansJen Kiggans (R),$6434811,$1134837,17.64%,Raised over $100k,R,Republican,6434811,1134837,17.64,Jen Kiggans,73.3,auto,Jennifer,Kiggans,Jennifer A. Kiggans,Republican,rep,VA,K000399,RepJenKiggans,Q4 (highest),full_house,repjenkiggans,0.26,0.461,0.259,0.436,1096.0,0.26,VA,2.0,3.8419190510445205,1.0,50.73819066214503,408702.0,2.0,1,53.0
KileyKevin Kiley (R),$4187895,$736088,17.58%,Raised over $100k,R,Republican,4187895,736088,17.58,Kevin Kiley,100.0,auto,Kevin,Kiley,Kevin Kiley,Republican,rep,CA,K000401,RepKiley,Q4 (highest),full_house,repkiley,0.256,0.434,0.254,0.441,1111.0,0.256,CA,3.0,10.934780601118128,0.0,55.46739030055906,422313.0,2.0,0,39.0
MooneyAlex Mooney (R),$1952747,$342324,17.53%,Raised over $100k,R,Republican,1952747,342324,17.53,Alexander X. Mooney,100.0,manual,,,Alexander X. Mooney,Republican,rep,WV,M001195,RepAlexMooney,Q4 (highest),full_house,repalexmooney,0.568,-0.241,0.648,-0.296,1012.0,0.568,WV,2.0,41.538136767247636,0.0,70.76906838362382,378965.0,,0,53.0
SteelMichelle Steel (R),$10449923,$1816823,17.39%,Raised over $100k,R,Republican,10449923,1816823,17.39,Michelle Steel,100.0,manual,,,Michelle Steel,Republican,rep,CA,S001135,RepSteel,Q4 (highest),full_house,repsteel,0.37,0.275,0.374,0.271,1109.0,0.37,CA,45.0,0.2067273446774891,1.0,50.103363672338745,315875.0,,0,69.0
HarshbargerDiana Harshbarger (R),$1872094,$324407,17.33%,Raised over $100k,R,Republican,1872094,324407,17.33,Diana Harshbarger,100.0,auto,Diana,Harshbarger,Diana Harshbarger,Republican,rep,TN,H001086,RepHarshbarger,Q4 (highest),full_house,repharshbarger,0.678,-0.1,0.699,-0.157,1116.0,0.678,TN,1.0,58.69309113595135,0.0,78.08170224622121,330199.0,3.0,1,64.0
StefanikElise Stefanik (R),$15444946,$2636569,17.07%,Raised over $100k,R,Republican,15444946,2636569,17.07,Elise Stefanik,90.3,auto,Elise,Stefanik,Elise M. Stefanik,Republican,rep,NY,S001196,RepStefanik,Q4 (highest),full_house,repstefanik,0.307,-0.109,0.485,0.243,1107.0,0.307,NY,21.0,20.57798689445095,0.0,54.226567311586926,360458.0,6.0,1,40.0
DavidsSharice Davids (D),$5915701,$979875,16.56%,Raised over $100k,D,Democrat,5915701,979875,16.56,Sharice Davids,100.0,auto,Sharice,Davids,Sharice Davids,Democrat,rep,KS,D000629,RepDavids,Q4 (highest),full_house,repdavids,-0.263,0.224,-0.293,0.289,1115.0,0.263,KS,3.0,10.754500639407311,0.0,53.357079116168734,393333.0,4.0,1,44.0
GosarPaul Gosar (R),$459220,$75643,16.47%,Raised over $100k,R,Republican,459220,75643,16.47,Paul Gosar,87.0,auto,Paul,Gosar,Paul A. Gosar,Republican,rep,AZ,G000565,RepGosar,Q4 (highest),full_house,repgosar,0.704,-0.522,0.758,-0.637,1046.0,0.704,AZ,9.0,30.595490067316717,0.0,65.29774503365836,382223.0,8.0,0,66.0
CammackKat Cammack (R),$2634508,$433343,16.45%,Raised over $100k,R,Republican,2634508,433343,16.45,Kat Cammack,100.0,auto,Katherine,Cammack,Kat Cammack,Republican,rep,FL,C001039,RepKatCammack,Q4 (highest),full_house,repkatcammack,0.591,-0.25,0.59,-0.264,1072.0,0.591,FL,3.0,23.218642149712487,0.0,61.60932107485624,391457.0,3.0,1,36.0
HayesJahana Hayes (D),$4048084,$657678,16.25%,Raised over $100k,D,Democrat,4048084,657678,16.25,Jahana Hayes,100.0,auto,Jahana,Hayes,Jahana Hayes,Democrat,rep,CT,H001081,RepJahanaHayes,Q4 (highest),full_house,repjahanahayes,-0.339,-0.041,-0.309,-0.0,1113.0,0.339,CT,5.0,4.170258141911404,1.0,50.750729402704344,337605.0,4.0,1,51.0
CaraveoYadira Caraveo (D),$8048643,$1294679,16.09%,Raised over $100k,D,Democrat,8048643,1294679,16.09,Yadira Caraveo,100.0,manual,,,Yadira Caraveo,Democrat,rep,CO,C001134,YadiraCaraveo,Q4 (highest),full_house,yadiracaraveo,-0.256,0.626,-0.256,0.626,1092.0,0.256,CO,8.0,0.734077502278069,1.0,48.95448659536713,333616.0,,0,44.0
FousheeValerie Foushee (D),$683926,$109725,16.04%,Raised over $100k,D,Democrat,683926,109725,16.04,Valerie Foushee,90.9,auto,Valerie,Foushee,Valerie P. Foushee,Democrat,rep,NC,F000477,ValerieFoushee,Q4 (highest),full_house,valeriefoushee,-0.498,-0.284,-0.529,-0.253,1089.0,0.498,NC,4.0,45.70642287420122,0.0,71.8466346378096,428780.0,2.0,1,68.0
HinsonAshley Hinson (R),$5565617,$888904,15.97%,Raised over $100k,R,Republican,5565617,888904,15.97,Ashley Hinson,100.0,auto,Ashley,Hinson,Ashley Hinson,Republican,rep,IA,H001091,RepAshleyHinson,Q4 (highest),full_house,repashleyhinson,0.356,0.351,0.387,0.639,1112.0,0.356,IA,2.0,15.557653827525307,0.0,57.07897710872256,408802.0,3.0,1,41.0
McClintockTom McClintock (R),$1143387,$180914,15.82%,Raised over $100k,R,Republican,1143387,180914,15.82,Tom McClintock,100.0,auto,Tom,McClintock,Tom McClintock,Republican,rep,CA,M001177,RepMcClintock,Q4 (highest),full_house,repmcclintock,0.67,-0.363,0.518,-0.39,1100.0,0.67,CA,5.0,23.530369381542314,0.0,61.76518469077116,368562.0,9.0,0,68.0
UnderwoodLauren A Underwood (D),$4082518,$644232,15.78%,Raised over $100k,D,Democrat,4082518,644232,15.78,Lauren A Underwood,94.1,auto,Lauren,Underwood,Lauren Underwood,Democrat,rep,IL,U000040,RepUnderwood,Q4 (highest),full_house,repunderwood,-0.594,0.319,-0.645,0.018,1104.0,0.594,IL,14.0,10.206981068035525,0.0,55.10063707276927,332929.0,4.0,1,38.0
IssaDarrell Issa (R),$1761806,$275631,15.64%,Raised over $100k,R,Republican,1761806,275631,15.64,Darrell Issa,100.0,auto,Darrell,Issa,Darrell Issa,Republican,rep,CA,I000056,repdarrellissa,Q4 (highest),full_house,repdarrellissa,0.476,0.031,0.432,0.08,1086.0,0.476,CA,48.0,18.585028726858923,0.0,59.29251436342946,360290.0,12.0,0,71.0
SmithChris Smith (R),$838537,$130989,15.62%,Raised over $100k,R,Republican,838537,130989,15.62,Chris Smith,71.0,auto,Christopher,Smith,Christopher H. Smith,Republican,rep,NJ,S000522,RepChrisSmith,Q4 (highest),full_house,repchrissmith,0.183,-0.173,0.302,-0.047,1094.0,0.183,NJ,4.0,35.7278021855373,0.0,67.38537090211756,394228.0,23.0,0,71.0
SteubeGreg Steube (R),$1710108,$266852,15.60%,Raised over $100k,R,Republican,1710108,266852,15.6,Greg Steube,78.6,auto,W.,Steube,W. Gregory Steube,Republican,rep,FL,S001214,RepGregSteube,Q4 (highest),full_house,repgregsteube,0.69,-0.352,0.732,-0.403,1006.0,0.69,FL,17.0,27.807668433785686,0.0,63.90295687191422,455921.0,4.0,0,46.0
BalintBecca Balint (D),$1372634,$214118,15.60%,Raised over $100k,D,Democrat,1372634,214118,15.6,Becca Balint,100.0,auto,Becca,Balint,Becca Balint,Democrat,rep,VT,B001318,RepBeccaB,Q4 (highest),full_house,repbeccab,-0.444,-0.494,-0.452,-0.475,1100.0,0.444,VT,1.0,,,,,2.0,1,56.0
StansburyMelanie Stansbury (D),$1343239,$209339,15.58%,Raised over $100k,D,Democrat,1343239,209339,15.58,Melanie Stansbury,91.9,auto,Melanie,Stansbury,Melanie A. Stansbury,Democrat,rep,NM,S001218,Rep_Stansbury,Q4 (highest),full_house,rep_stansbury,-0.442,-0.217,-0.455,-0.172,1092.0,0.442,NM,1.0,12.737309226285127,0.0,56.36865461314257,342749.0,3.0,1,45.0
McGovernJames P McGovern (D),$1092908,$170174,15.57%,Raised over $100k,D,Democrat,1092908,170174,15.57,James P McGovern,97.0,auto,James,McGovern,James P. McGovern,Democrat,rep,MA,M000312,RepMcGovern,Q4 (highest),full_house,repmcgovern,-0.538,-0.344,-0.422,-0.579,1111.0,0.538,MA,2.0,35.28459920326094,0.0,64.58184041074956,389337.0,15.0,0,65.0
GarciaMike Garcia (R),$6485208,$1007275,15.53%,Raised over $100k,R,Republican,6485208,1007275,15.53,Robert Garcia,100.0,manual,,,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia,Q4 (highest),full_house,reprobertgarcia,-0.373,-0.601,-0.379,-0.622,1065.0,0.373,CA,42.0,36.28271601238209,0.0,68.14135800619104,233563.0,2.0,0,47.0
HigginsClay Higgins (R),$1016991,$157875,15.52%,Raised over $100k,R,Republican,1016991,157875,15.52,Clay Higgins,100.0,auto,Clay,Higgins,Clay Higgins,Republican,rep,LA,H001077,RepClayHiggins,Q4 (highest),full_house,repclayhiggins,0.627,-0.319,0.628,-0.293,1057.0,0.627,LA,3.0,51.90344328649566,0.0,70.56180265808496,320682.0,5.0,0,63.0
WildSusan Wild (D),$8856117,$1374447,15.52%,Raised over $100k,D,Democrat,8856117,1374447,15.52,Susan Wild,100.0,manual,,,Susan Wild,Democrat,rep,PA,W000826,RepSusanWild,Q4 (highest),full_house,repsusanwild,-0.261,0.305,-0.25,0.266,1070.0,0.261,PA,7.0,1.0071557149020407,1.0,50.50357785745102,403314.0,,0,67.0
BurlisonEric Burlison (R),$923026,$143138,15.51%,Raised over $100k,R,Republican,923026,143138,15.51,Eric Burlison,100.0,auto,Eric,Burlison,Eric Burlison,Republican,rep,MO,B001316,RepEricBurlison,Q4 (highest),full_house,repericburlison,0.733,-0.536,0.711,-0.521,1096.0,0.733,MO,7.0,45.281459654006326,0.0,71.55582980851827,367868.0,2.0,0,48.0
GluesenkampMarie Gluesenkamp Perez (D),$11660957,$1798924,15.43%,Raised over $100k,D,Democrat,11660957,1798924,15.43,Craig A. Goldman,100.0,manual,,,Craig A. Goldman,Republican,rep,TX,G000601,RepCraigGoldman,Q4 (highest),full_house,repcraiggoldman,,,,,,,,,,,,,1.0,0,
McBathLucy McBath (D),$2431244,$368999,15.18%,Raised over $100k,D,Democrat,2431244,368999,15.18,Lucy McBath,100.0,auto,Lucy,McBath,Lucy McBath,Democrat,rep,GA,M001208,RepLucyMcBath,Q4 (highest),full_house,replucymcbath,-0.371,0.314,-0.479,0.272,1093.0,0.371,GA,7.0,29.70369639104743,0.0,64.85184819552371,425442.0,4.0,1,64.0
HarderJosh Harder (D),$5306590,$800349,15.08%,Raised over $100k,D,Democrat,5306590,800349,15.08,Josh Harder,100.0,auto,Josh,Harder,Josh Harder,Democrat,rep,CA,H001090,RepJoshHarder,Q4 (highest),full_house,repjoshharder,-0.3,0.448,-0.287,0.435,1085.0,0.3,CA,9.0,3.5841452595312617,1.0,51.79207262976563,251357.0,4.0,0,38.0
MoultonSeth Moulton (D),$2849440,$428950,15.05%,Raised over $100k,D,Democrat,2849440,428950,15.05,Seth Moulton,100.0,auto,Seth,Moulton,Seth Moulton,Democrat,rep,MA,M001196,RepMoulton,Q4 (highest),full_house,repmoulton,-0.286,-0.044,-0.286,0.018,1096.0,0.286,MA,6.0,48.1082966803702,0.0,73.23433043073787,438573.0,6.0,0,46.0
GoldenJared Golden (D),$7743101,$1128219,14.57%,Raised over $100k,D,Democrat,7743101,1128219,14.57,Jared Golden,88.9,auto,Jared,Golden,Jared F. Golden,Democrat,rep,ME,G000592,RepGolden,Q4 (highest),full_house,repgolden,-0.105,0.38,-0.085,0.36,1068.0,0.105,ME,2.0,0.6715706712728533,1.0,48.928613973434985,402936.0,4.0,0,42.0
TiffanyTom Tiffany (R),$1241429,$177927,14.33%,Raised over $100k,R,Republican,1241429,177927,14.33,Thomas P. Tiffany,100.0,manual,,,Thomas P. Tiffany,Republican,rep,WI,T000165,RepTiffany,Q4 (highest),full_house,reptiffany,0.642,-0.252,0.669,-0.271,1102.0,0.642,WI,7.0,27.191763634335842,0.0,63.560215993159595,430384.0,4.0,0,67.0
GrothmanGlenn Grothman (R),$985756,$139944,14.20%,Raised over $100k,R,Republican,985756,139944,14.2,Glenn Grothman,100.0,auto,Glenn,Grothman,Glenn Grothman,Republican,rep,WI,G000576,RepGrothman,Q4 (highest),full_house,repgrothman,0.599,-0.205,0.644,-0.005,1100.0,0.599,WI,6.0,22.57134452739644,0.0,61.23486382609414,411349.0,6.0,0,69.0
ConnollyGerry Connolly (D),$2517838,$356034,14.14%,Raised over $100k,D,Democrat,2517838,356034,14.14,Gerald E. Connolly,100.0,manual,,,Gerald E. Connolly,Democrat,rep,VA,C001078,GerryConnolly,Q4 (highest),full_house,gerryconnolly,-0.309,-0.047,-0.349,-0.209,1077.0,0.309,VA,11.0,33.82051069514805,0.0,66.68413841525552,410186.0,,0,74.0
FischbachMichelle Fischbach (R),$2010301,$281783,14.02%,Raised over $100k,R,Republican,2010301,281783,14.02,Michelle Fischbach,100.0,auto,Michelle,Fischbach,Michelle Fischbach,Republican,rep,MN,F000470,RepFischbach,Q4 (highest),full_house,repfischbach,0.539,-0.024,0.56,-0.099,1111.0,0.539,MN,7.0,41.002535146347086,0.0,70.44582725154285,390510.0,3.0,1,59.0
VasquezGabe Vasquez (D),$6956820,$966637,13.89%,Raised over $100k,D,Democrat,6956820,966637,13.89,Gabe Vasquez,100.0,auto,Gabriel (Gabe),Vasquez,Gabe Vasquez,Democrat,rep,NM,V000136,RepGabeVasquez,Q4 (highest),full_house,repgabevasquez,-0.325,0.554,-0.303,0.494,1115.0,0.325,NM,2.0,4.157966546309773,1.0,52.07898327315489,265322.0,2.0,0,40.0
FeenstraRandy Feenstra (R),$4242569,$585320,13.80%,Raised over $100k,R,Republican,4242569,585320,13.8,Randy Feenstra,100.0,auto,Randy,Feenstra,Randy Feenstra,Republican,rep,IA,F000446,RepFeenstra,Q4 (highest),full_house,repfeenstra,0.467,0.179,0.486,0.177,1116.0,0.467,IA,4.0,34.333536637562055,0.0,67.01602893340181,373824.0,3.0,0,55.0
SykesEmilia Sykes (D),$5270437,$715744,13.58%,Raised over $100k,D,Democrat,5270437,715744,13.58,Emilia Sykes,77.4,auto,Emilia,Sykes,Emilia Strong Sykes,Democrat,rep,OH,S001223,RepEmiliaSykes,Q4 (highest),full_house,repemiliasykes,-0.325,0.18,-0.333,0.152,1090.0,0.325,OH,13.0,2.2107197391236753,1.0,51.10535986956184,386390.0,2.0,1,38.0
SuozziTom Suozzi (D),$9538256,$1289185,13.52%,Raised over $100k,D,Democrat,9538256,1289185,13.52,Tom Suozzi,76.9,auto,Thomas,Suozzi,Thomas R. Suozzi,Democrat,rep,NY,S001201,reptomsuozzi,Q4 (highest),full_house,reptomsuozzi,-0.213,0.159,-0.253,0.331,407.0,0.213,NY,3.0,6.361912842186847,1.0,48.57285758427996,381882.0,5.0,0,62.0
SherrillMikie Sherrill (D),$4400561,$591662,13.45%,Raised over $100k,D,Democrat,4400561,591662,13.45,Mikie Sherrill,100.0,manual,,,Mikie Sherrill,Democrat,rep,NJ,S001207,RepSherrill,Q4 (highest),full_house,repsherrill,-0.234,0.243,-0.293,0.283,1050.0,0.234,NJ,11.0,14.736978445769026,0.0,56.52887230762589,393751.0,,0,52.0
MolinaroMarc Molinaro (R),$5501365,$735985,13.38%,Raised over $100k,R,Republican,5501365,735985,13.38,Robert Menendez,100.0,manual,,,Robert Menendez,Democrat,rep,NJ,M001226,RepMenendez,Q4 (highest),full_house,repmenendez,-0.521,0.247,-0.487,0.216,1105.0,0.521,NJ,8.0,24.5379005412548,0.0,59.17414174268798,196765.0,2.0,0,39.0
WilliamsBrandon Williams (R),$4172151,$554346,13.29%,Raised over $100k,R,Republican,4172151,554346,13.29,Brandon Williams,100.0,manual,,,Brandon Williams,Republican,rep,NY,W000828,RepWilliams,Q3,full_house,repwilliams,0.314,0.11,0.314,0.11,1043.0,0.314,NY,22.0,9.887192556832566,1.0,48.573910249603145,367263.0,,0,57.0
PoseyBill Posey (R),$434040,$57383,13.22%,Raised over $100k,R,Republican,434040,57383,13.22,Bill Posey,100.0,manual,,,Bill Posey,Republican,rep,FL,P000599,CongBillPosey,Q3,full_house,congbillposey,0.533,-0.353,0.593,-0.354,1093.0,0.533,FL,8.0,24.476965154690447,0.0,62.23848257734522,450448.0,,0,77.0
SwalwellEric Swalwell (D),$3885636,$511246,13.16%,Raised over $100k,D,Democrat,3885636,511246,13.16,Eric Swalwell,100.0,auto,Eric,Swalwell,Eric Swalwell,Democrat,rep,CA,S001193,RepSwalwell,Q3,full_house,repswalwell,-0.355,-0.05,-0.345,0.182,1017.0,0.355,CA,14.0,35.50733027483104,0.0,67.75366513741552,276388.0,7.0,0,44.0
MaceNancy Mace (R),$3461772,$449704,12.99%,Raised over $100k,R,Republican,3461772,449704,12.99,Nancy Mace,100.0,auto,Nancy,Mace,Nancy Mace,Republican,rep,SC,M000194,RepNancyMace,Q3,full_house,repnancymace,0.348,-0.291,0.309,-0.338,1072.0,0.348,SC,1.0,16.613055527833012,0.0,58.21785826699115,390777.0,3.0,1,47.0
MoskowitzJared Moskowitz (D),$2169791,$280960,12.95%,Raised over $100k,D,Democrat,2169791,280960,12.95,Jared Moskowitz,100.0,auto,Jared,Moskowitz,Jared Moskowitz,Democrat,rep,FL,M001217,RepMoskowitz,Q3,full_house,repmoskowitz,-0.228,0.312,-0.233,0.311,1060.0,0.228,FL,23.0,4.890240090618377,1.0,52.44512004530919,374317.0,2.0,0,44.0
CourtneyJoe Courtney (D),$1265677,$160372,12.67%,Raised over $100k,D,Democrat,1265677,160372,12.67,Joe Courtney,100.0,auto,Joe,Courtney,Joe Courtney,Democrat,rep,CT,C001069,RepJoeCourtney,Q3,full_house,repjoecourtney,-0.337,0.042,-0.322,0.221,1109.0,0.337,CT,2.0,16.030974851547818,0.0,58.01455669105192,376047.0,10.0,0,71.0
LeskoDebbie Lesko (R),$319014,$40398,12.66%,Raised over $100k,R,Republican,319014,40398,12.66,Debbie Lesko,100.0,manual,,,Debbie Lesko,Republican,rep,AZ,L000589,debbielesko,Q3,full_house,debbielesko,0.616,-0.104,0.637,-0.091,1022.0,0.616,AZ,8.0,13.001440535195457,0.0,56.50072026759773,368613.0,,0,66.0
SalinasAndrea Salinas (D),$5312185,$670954,12.63%,Raised over $100k,D,Democrat,5312185,670954,12.63,Andrea Salinas,100.0,auto,Andrea,Salinas,Andrea Salinas,Democrat,rep,OR,S001226,repsalinas,Q3,full_house,repsalinas,-0.222,-0.209,-0.205,-0.194,1107.0,0.222,OR,6.0,6.852668367422169,1.0,53.34345921873387,339065.0,2.0,1,55.0
PingreeChellie Pingree (D),$661687,$82710,12.50%,Raised over $100k,D,Democrat,661687,82710,12.5,Chellie Pingree,100.0,auto,Chellie,Pingree,Chellie Pingree,Democrat,rep,ME,P000597,ChelliePingree,Q3,full_house,chelliepingree,-0.423,-0.36,-0.44,-0.321,1069.0,0.423,ME,1.0,21.600575111416454,0.0,56.82819683916217,439567.0,9.0,1,69.0
RosendaleMatt Rosendale (R),$790441,$97482,12.33%,Raised over $100k,R,Republican,790441,97482,12.33,"Matthew M. Rosendale, Sr.",100.0,manual,,,"Matthew M. Rosendale, Sr.",Republican,rep,MT,R000103,FmrRepRosendale,Q3,full_house,fmrreprosendale,0.753,-0.658,0.739,-0.674,1114.0,0.753,MT,2.0,31.9798943911158,0.0,65.9899471955579,275545.0,,0,64.0
LegerTeresa Leger Fernandez (D),$2105098,$254871,12.11%,Raised over $100k,D,Democrat,2105098,254871,12.11,Alan S. Lowenthal,100.0,manual,,,Alan S. Lowenthal,Democrat,rep,CA,L000579,RepLowenthal,Q3,full_house,replowenthal,,,,,,,,,,,,,,0,
McCaulMichael McCaul (R),$3127715,$377739,12.08%,Raised over $100k,R,Republican,3127715,377739,12.08,Michael McCaul,90.3,auto,Michael,McCaul,Michael T. McCaul,Republican,rep,TX,M001157,RepMcCaul,Q3,full_house,repmccaul,0.411,0.176,0.39,0.264,1081.0,0.411,TX,10.0,29.598525665721723,0.0,63.60481631197925,347818.0,11.0,0,62.0
CastroJoaquin Castro (D),$677236,$80805,11.93%,Raised over $100k,D,Democrat,677236,80805,11.93,Joaquin Castro,100.0,auto,Joaquin,Castro,Joaquin Castro,Democrat,rep,TX,C001091,JoaquinCastrotx,Q3,full_house,joaquincastrotx,-0.401,-0.137,-0.39,-0.463,998.0,0.401,TX,20.0,100.0,0.0,100.0,157890.0,7.0,0,50.0
OglesAndy Ogles (R),$953830,$113373,11.89%,Raised over $100k,R,Republican,953830,113373,11.89,Andy Ogles,81.8,auto,Andrew,Ogles,Andrew Ogles,Republican,rep,TN,O000175,repogles,Q3,full_house,repogles,0.776,-0.364,0.802,-0.359,1084.0,0.776,TN,5.0,17.378865250586337,0.0,56.85252027922398,360714.0,2.0,0,53.0
CraigAngie Craig (D),$7785521,$920160,11.82%,Raised over $100k,D,Democrat,7785521,920160,11.82,Angie Craig,100.0,auto,Angie,Craig,Angie Craig,Democrat,rep,MN,C001119,RepAngieCraig,Q3,full_house,repangiecraig,-0.274,0.548,-0.24,0.539,1092.0,0.274,MN,2.0,13.45014245696936,0.0,55.53329707010703,417319.0,4.0,1,52.0
BairdJim Baird (R),$455568,$52686,11.56%,Raised over $100k,R,Republican,455568,52686,11.56,James R. Baird,100.0,manual,,,James R. Baird,Republican,rep,IN,B001307,RepJimBaird,Q3,full_house,repjimbaird,0.446,0.417,0.37,0.248,1102.0,0.446,IN,4.0,33.90132727637941,0.0,64.83227491154065,323595.0,4.0,0,79.0
Chavez-DeremerLori Chavez-Deremer (R),$5962097,$687815,11.54%,Raised over $100k,R,Republican,5962097,687815,11.54,Lori Chavez-DeRemer,100.0,manual,,,Lori Chavez-DeRemer,Republican,rep,OR,C001135,RepLCD,Q3,full_house,replcd,0.167,0.426,0.167,0.426,1098.0,0.167,OR,5.0,2.727433570981802,1.0,47.68710144458039,401293.0,,0,56.0
KapturMarcy Kaptur (D),$5030990,$574735,11.42%,Raised over $100k,D,Democrat,5030990,574735,11.42,Marcy Kaptur,100.0,auto,Marcy,Kaptur,Marcy Kaptur,Democrat,rep,OH,K000009,RepMarcyKaptur,Q3,full_house,repmarcykaptur,-0.341,0.132,-0.292,0.341,1094.0,0.341,OH,9.0,0.6348698676688045,1.0,48.26770079558629,375195.0,22.0,1,78.0
HarrisAndy Harris (R),$1349540,$152803,11.32%,Raised over $100k,R,Republican,1349540,152803,11.32,Andy Harris,100.0,auto,Andy,Harris,Andy Harris,Republican,rep,MD,H001052,RepAndyHarrisMD,Q3,full_house,repandyharrismd,0.674,-0.37,0.677,-0.308,1101.0,0.674,MD,1.0,22.034098582039164,0.0,59.40870068486544,414680.0,8.0,0,67.0
MalliotakisNicole Malliotakis (R),$3303258,$368457,11.15%,Raised over $100k,R,Republican,3303258,368457,11.15,Nicole Malliotakis,100.0,auto,Nicole,Malliotakis,Nicole Malliotakis,Republican,rep,NY,M000317,RepNicole,Q3,full_house,repnicole,0.335,-0.079,0.363,-0.069,1091.0,0.335,NY,11.0,21.6756679983539,0.0,55.75787813787151,274589.0,3.0,1,44.0
BergmanJohn Bergman (R),$1948889,$215674,11.07%,Raised over $100k,R,Republican,1948889,215674,11.07,John Bergman,75.0,auto,Jack,Bergman,Jack Bergman,Republican,rep,MI,B001301,RepJackBergman,Q3,full_house,repjackbergman,0.433,0.084,0.424,0.046,1110.0,0.433,MI,1.0,21.234366617489265,0.0,59.15202521459227,477184.0,5.0,0,77.0
NunnZach Nunn (R),$5752268,$635937,11.06%,Raised over $100k,R,Republican,5752268,635937,11.06,Zach Nunn,85.7,auto,Zachary (Zach),Nunn,Zachary Nunn,Republican,rep,IA,N000193,ZachNunn,Q3,full_house,zachnunn,0.29,0.193,0.291,0.195,1088.0,0.29,IA,3.0,3.8226710744602244,1.0,51.76638694130611,412905.0,2.0,0,45.0
LofgrenZoe Lofgren (D),$2276594,$247668,10.88%,Raised over $100k,D,Democrat,2276594,247668,10.88,Zoe Lofgren,100.0,auto,Zoe,Lofgren,Zoe Lofgren,Democrat,rep,CA,L000397,RepZoeLofgren,Q3,full_house,repzoelofgren,-0.397,-0.402,-0.313,-0.272,1077.0,0.397,CA,18.0,29.25174831295459,0.0,64.6258741564773,228506.0,16.0,1,77.0
StauberPete Stauber (R),$2260576,$245854,10.88%,Raised over $100k,R,Republican,2260576,245854,10.88,Pete Stauber,100.0,auto,Pete,Stauber,Pete Stauber,Republican,rep,MN,S001212,RepPeteStauber,Q3,full_house,reppetestauber,0.384,-0.101,0.445,-0.036,1047.0,0.384,MN,8.0,16.075198170804022,0.0,57.99205893654265,421606.0,4.0,0,58.0
RamirezDelia Ramirez (D),$1115639,$121089,10.85%,Raised over $100k,D,Democrat,1115639,121089,10.85,Delia Ramirez,89.7,auto,Delia,Ramirez,Delia C. Ramirez,Democrat,rep,IL,R000617,repdeliaramirez,Q3,full_house,repdeliaramirez,-0.496,-0.868,-0.739,-0.674,1096.0,0.496,IL,3.0,34.565307724271655,0.0,67.26418578881757,259908.0,2.0,1,41.0
CloudMichael Cloud (R),$785113,$80300,10.23%,Raised over $100k,R,Republican,785113,80300,10.23,Michael Cloud,100.0,auto,Michael,Cloud,Michael Cloud,Republican,rep,TX,C001115,RepMichaelCloud,Q3,full_house,repmichaelcloud,0.692,-0.362,0.709,-0.461,1105.0,0.692,TX,27.0,32.08603756246052,0.0,66.04301878123026,278576.0,5.0,0,49.0
GoldmanDan Goldman (D),$3604421,$365993,10.15%,Raised over $100k,D,Democrat,3604421,365993,10.15,Dan Goldman,78.6,auto,Dan,Goldman,Daniel S. Goldman,Democrat,rep,NY,G000599,RepDanGoldman,Q3,full_house,repdangoldman,-0.444,0.127,-0.428,0.105,1059.0,0.444,NY,10.0,60.389080258097785,0.0,73.83644735994042,279274.0,2.0,0,48.0
DavisDon Davis (D),$5997022,$607763,10.13%,Raised over $100k,D,Democrat,5997022,607763,10.13,Don Davis,75.0,auto,Donald,Davis,Donald G. Davis,Democrat,rep,NC,D000230,RepDonDavis,Q3,full_house,repdondavis,-0.245,0.876,-0.259,0.893,1079.0,0.245,NC,1.0,1.6759494478162438,1.0,49.516108459731505,376324.0,2.0,0,53.0
ScholtenHillary Scholten (D),$5219042,$524791,10.06%,Raised over $100k,D,Democrat,5219042,524791,10.06,Hillary Scholten,91.4,auto,Hillary,Scholten,Hillary J. Scholten,Democrat,rep,MI,S001221,RepScholten,Q3,full_house,repscholten,-0.257,0.23,-0.258,0.217,1111.0,0.257,MI,3.0,9.887958047914651,1.0,53.65593674828511,420289.0,2.0,1,42.0
