screen_name,followers,following,tweets_count,verified,created_at
CongresswomanSC,7408,1244,3038,True,Thu Jan 20 19:53:08 +0000 2022
RepJimmyGomez,59987,3897,12736,True,Tue Mar 04 03:56:14 +0000 2014
RepGuthrie,26856,361,4270,True,Thu Sep 26 14:37:17 +0000 2013
RepFrankLucas,27237,512,3141,True,Tue Jan 25 15:24:07 +0000 2011
RepCarlos,159242,541,10973,True,Mon Dec 28 22:04:32 +0000 2020
RepRickCrawford,34151,1100,8316,True,Mon Jan 03 21:57:49 +0000 2011
RepJoshG,32785,253,16314,True,Sat Dec 31 21:35:47 +0000 2016
RepTroyCarter,9179,3452,6812,True,Fri Jan 22 23:29:39 +0000 2021
repblumenauer,61581,1236,5280,True,Sat Aug 23 06:38:46 +0000 2008
rep_jackson,8120,306,1714,True,Tue Jan 17 21:06:28 +0000 2023
RepDavidRouzer,21064,608,3055,True,Wed Sep 19 20:23:15 +0000 2012
RepMichaelGuest,17453,814,3688,True,Fri Jan 04 17:38:26 +0000 2019
RepMikeRogersAL,54620,2750,8523,True,Tue Apr 21 17:43:28 +0000 2009
RepVeasey,34191,3239,8379,True,Wed Jan 09 15:49:27 +0000 2013
RepRonEstes,13904,993,3938,True,Wed Apr 19 15:15:27 +0000 2017
RepCuellar,33188,3285,10093,True,Mon Nov 01 20:20:17 +0000 2010
RepMann,7437,253,1704,True,Sun Jan 03 20:11:11 +0000 2021
RepAuchincloss,39319,233,2626,True,Sat Nov 21 22:35:59 +0000 2020
Call_Me_Dutch,17407,2349,6825,True,Thu May 26 14:39:08 +0000 2011
DonaldNorcross,13976,1342,13608,True,Fri Mar 27 20:08:34 +0000 2015
RepRWilliams,24798,913,10485,True,Thu Jan 10 19:21:22 +0000 2013
RepWilson,68266,4160,20538,True,Tue Jan 04 17:08:09 +0000 2011
PeteSessions,39875,1238,9746,True,Mon Mar 16 17:54:52 +0000 2009
RepMikeTurner,56501,1371,6317,True,Fri Jun 26 21:15:07 +0000 2009
CongMikeSimpson,29883,469,4695,True,Mon Sep 21 20:26:26 +0000 2009
FrankPallone,59995,2920,26981,True,Thu Apr 16 13:51:56 +0000 2009
RepTimmons,44737,1079,3872,True,Mon Dec 31 16:06:47 +0000 2018
RepSylviaGarcia,63195,2851,12272,True,Wed Jan 02 22:10:54 +0000 2019
RepKweisiMfume,7154,692,1746,True,Thu Jun 25 17:44:54 +0000 2020
CongBoyle,24867,3434,7560,True,Fri Nov 20 20:17:53 +0000 2015
RepMeuser,32494,786,5087,True,Wed Jan 02 21:21:21 +0000 2019
Lancegooden,271424,196,6080,True,Mon Aug 13 19:56:08 +0000 2018
RepArrington,27246,1726,6578,True,Tue Jan 03 14:06:44 +0000 2017
RepShriThanedar,25325,289,2280,True,Wed Jan 04 19:31:18 +0000 2023
JayObernolte,11303,987,3113,True,Sat Mar 26 16:11:17 +0000 2011
RepAaronBean,8820,237,1807,True,Mon Dec 19 19:52:34 +0000 2022
RepCohen,83939,5946,18223,True,Fri Jul 02 15:10:21 +0000 2010
RepDavidKustoff,23685,1112,5788,True,Mon Jan 02 20:03:46 +0000 2017
RepCarolMiller,18966,320,3582,True,Fri Jan 04 22:37:26 +0000 2019
MarkAmodeiNV2,18965,1119,1863,True,Tue Nov 01 13:43:55 +0000 2011
RepStephenLynch,30253,705,6200,True,Fri Jun 03 14:48:36 +0000 2011
RepGarretGraves,21618,1105,6049,False,Tue Dec 30 17:51:24 +0000 2014
RepLouCorrea,23514,127,2499,True,Mon Jan 02 18:16:08 +0000 2017
RepAdrianSmith,21565,712,6221,True,Tue May 10 12:52:01 +0000 2011
RepRutherfordFL,21758,565,3199,True,Tue Feb 07 14:42:24 +0000 2017
RepDrewFerguson,15542,656,3363,True,Wed Dec 07 19:39:25 +0000 2016
NormaJTorres,81165,1281,16215,True,Mon Jan 10 06:30:14 +0000 2011
RepJimCosta,29787,1115,7985,True,Mon Jan 31 18:42:23 +0000 2011
RepHalRogers,24129,830,4267,True,Tue Apr 10 19:59:22 +0000 2012
RepCardenas,26983,2928,11567,True,Tue Feb 26 16:12:35 +0000 2013
RepJohnJoyce,20732,406,2889,True,Mon Jan 07 16:24:21 +0000 2019
RepChuck,30404,1145,7656,True,Fri Jan 07 15:46:29 +0000 2011
RepDinaTitus,51601,2003,21407,True,Thu Mar 11 21:05:31 +0000 2010
RepJuanVargas,27198,626,5187,True,Mon Mar 11 19:04:01 +0000 2013
RepGregoryMeeks,55847,1245,10223,True,Wed Mar 04 18:36:27 +0000 2009
MarioDB,110287,1691,15590,True,Sat May 02 00:52:48 +0000 2009
RepBlakeMoore,16259,458,2419,True,Fri Dec 11 17:42:41 +0000 2020
RepDavidScott,27601,1946,4073,True,Tue Jul 20 14:10:32 +0000 2010
RepGonzalez,14517,575,5560,True,Mon Jan 09 19:13:21 +0000 2017
repmaxmiller,11208,222,2509,True,Tue Jan 03 21:14:21 +0000 2023
RepRichardNeal,39417,109,5066,True,Wed Dec 21 14:18:30 +0000 2011
RepLarryBucshon,27692,2132,7707,True,Thu Jan 06 16:45:56 +0000 2011
PatrickMcHenry,63305,3150,6656,True,Mon Mar 30 16:42:39 +0000 2009
RepGregPence,13291,304,1916,True,Mon Jan 07 20:12:27 +0000 2019
RepLoriTrahan,39357,1896,11746,True,Mon Dec 31 18:12:28 +0000 2018
RepTrentKelly,17749,3952,2757,True,Wed Jun 10 19:56:03 +0000 2015
RepGarbarino,13782,360,2146,True,Wed Dec 30 18:28:49 +0000 2020
RepTerriSewell,53530,4058,11201,True,Tue Sep 27 20:47:50 +0000 2011
BobLatta,39556,3078,11737,True,Fri Jul 11 18:33:24 +0000 2008
EleanorNorton,64309,39201,10402,True,Tue Mar 10 14:47:46 +0000 2009
USRepGaryPalmer,30801,1074,5469,True,Tue Nov 04 22:58:38 +0000 2014
