screen_name,followers,following,tweets_count,verified,created_at
repdarrellissa,238875,203,2989,True,Fri Aug 07 05:39:34 +0000 2009
RepGregSteube,129682,649,5680,True,Wed Jan 09 22:17:33 +0000 2019
RepBeccaB,32045,400,2464,True,Fri Dec 23 02:31:32 +0000 2022
Rep_Stansbury,110428,350,6936,True,Mon Jun 14 19:25:16 +0000 2021
RepMcGovern,162001,976,20078,True,Mon Jan 24 19:18:36 +0000 2011
RepRobertGarcia,75388,839,3859,True,Tue Dec 13 22:27:41 +0000 2022
RepClayHiggins,231539,419,3115,True,Mon Mar 20 01:35:02 +0000 2017
RepSusanWild,18623,1096,5579,True,Mon Dec 03 16:57:05 +0000 2018
RepEricBurlison,59197,786,5163,True,Fri Dec 23 17:35:46 +0000 2022
RepCraigGoldman,2228,72,230,True,Fri Jan 03 14:49:31 +0000 2025
RepLucyMcBath,49932,523,2788,True,Mon Jan 07 20:56:25 +0000 2019
RepJoshHarder,20564,607,5019,True,Thu Jan 03 15:39:30 +0000 2019
RepMoulton,19492,2832,8607,True,Fri Mar 13 14:26:54 +0000 2015
RepGolden,25398,713,2383,True,Thu Jan 03 18:20:30 +0000 2019
RepTiffany,43581,980,3703,True,Tue Jun 02 15:30:54 +0000 2020
RepGrothman,18604,262,6511,True,Tue Jan 13 15:08:48 +0000 2015
GerryConnolly,81345,845,13016,True,Tue Sep 29 23:17:33 +0000 2009
RepFischbach,12299,599,2933,True,Wed Dec 30 20:11:55 +0000 2020
RepGabeVasquez,8986,284,1699,True,Tue Jan 03 02:12:21 +0000 2023
RepFeenstra,20765,643,9347,True,Fri Jan 01 22:31:08 +0000 2021
RepEmiliaSykes,5857,459,2744,True,Sat Jan 07 00:59:31 +0000 2023
reptomsuozzi,30031,221,4610,True,Wed Jan 04 17:58:38 +0000 2017
RepMenendez,8582,384,2911,True,Thu Dec 15 19:13:25 +0000 2022
RepWilliams,6438,303,1464,True,Tue Dec 13 20:08:34 +0000 2022
RepSwalwell,1509728,11505,22567,True,Sun Nov 11 20:26:01 +0000 2012
RepNancyMace,757418,1738,16685,True,Mon Dec 28 16:41:08 +0000 2020
RepMoskowitz,66024,1351,1822,True,Mon Jan 02 20:24:11 +0000 2023
RepJoeCourtney,27624,2190,10974,True,Mon Oct 26 19:45:09 +0000 2009
debbielesko,130234,1300,11619,False,Mon May 14 18:28:32 +0000 2018
repsalinas,4436,326,3594,True,Sat Jan 07 19:03:16 +0000 2023
ChelliePingree,33018,1610,9238,True,Mon Jun 02 20:29:56 +0000 2008
FmrRepRosendale,77055,353,4251,True,Thu Dec 31 21:05:04 +0000 2020
RepLowenthal,33149,2964,8525,False,Wed Jan 02 18:11:33 +0000 2013
RepMcCaul,66388,606,9753,True,Wed Mar 25 03:54:11 +0000 2009
JoaquinCastrotx,254379,3350,30732,True,Tue Dec 28 18:41:02 +0000 2010
repogles,118220,663,4877,True,Wed Dec 14 19:33:17 +0000 2022
RepAngieCraig,38217,1016,7363,True,Tue Jan 01 22:00:55 +0000 2019
RepJimBaird,14143,627,2707,True,Fri Jan 18 17:36:49 +0000 2019
RepLCD,6482,366,1158,False,Fri Oct 21 18:46:53 +0000 2022
RepMarcyKaptur,33302,1668,8825,True,Tue May 15 16:57:51 +0000 2012
RepAndyHarrisMD,41481,863,6442,True,Tue Nov 20 18:31:27 +0000 2012
RepNicole,48328,536,6022,True,Thu Dec 31 21:02:13 +0000 2020
RepJackBergman,32369,707,1651,True,Sat Dec 31 17:02:01 +0000 2016
ZachNunn,9104,254,4019,True,Tue Jan 03 17:15:12 +0000 2023
RepZoeLofgren,89567,529,4058,True,Thu Mar 17 21:06:21 +0000 2011
RepPeteStauber,20986,668,4316,True,Thu Dec 20 19:09:37 +0000 2018
repdeliaramirez,29602,1029,5549,True,Sun Dec 16 17:24:15 +0000 2018
RepMichaelCloud,50554,1595,2757,True,Wed Sep 12 14:13:25 +0000 2018
RepDanGoldman,100561,427,3388,True,Mon Jan 02 21:07:14 +0000 2023
RepDonDavis,5958,421,4215,True,Tue Jan 03 17:14:34 +0000 2023
RepScholten,6720,232,4463,True,Mon Jan 02 15:56:12 +0000 2023
JanSchakowsky,51361,1574,17064,True,Fri Mar 13 16:03:17 +0000 2009
RepMarkTakano,53296,734,8519,True,Wed Dec 26 14:58:17 +0000 2012
RepGregMurphy,31653,486,6027,True,Tue Sep 17 15:13:06 +0000 2019
