Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_abs
StefanikElise Stefanik (R),$15444946,$2636569,17.07%,Raised over $100k,R,Republican,15444946,2636569,17.07,Elise Stefanik,90.3,auto,Elise,Stefanik,Elise M. Stefanik,Republican,rep,NY,S001196,RepStefanik,Q4 (highest),full_house,NY,21.0,20.57798689445095,0.0,54.226567311586926,360458.0,repstefanik,0.307,-0.109,0.485,0.243,0.307
DavidsSharice Davids (D),$5915701,$979875,16.56%,Raised over $100k,D,Democrat,5915701,979875,16.56,Sharice Davids,100.0,auto,Sharice,Davids,Sharice Davids,Democrat,rep,KS,D000629,RepDavids,Q4 (highest),full_house,KS,3.0,10.754500639407311,0.0,53.357079116168734,393333.0,repdavids,-0.263,0.224,-0.293,0.289,0.263
GosarPaul Gosar (R),$459220,$75643,16.47%,Raised over $100k,R,Republican,459220,75643,16.47,Paul Gosar,87.0,auto,Paul,Gosar,Paul A. Gosar,Republican,rep,AZ,G000565,RepGosar,Q4 (highest),full_house,AZ,9.0,30.59549006731672,0.0,65.29774503365836,382223.0,repgosar,0.704,-0.522,0.758,-0.637,0.704
CammackKat Cammack (R),$2634508,$433343,16.45%,Raised over $100k,R,Republican,2634508,433343,16.45,Kat Cammack,100.0,auto,Katherine,Cammack,Kat Cammack,Republican,rep,FL,C001039,RepKatCammack,Q4 (highest),full_house,FL,3.0,23.218642149712487,0.0,61.60932107485624,391457.0,repkatcammack,0.591,-0.25,0.59,-0.264,0.591
HayesJahana Hayes (D),$4048084,$657678,16.25%,Raised over $100k,D,Democrat,4048084,657678,16.25,Jahana Hayes,100.0,auto,Jahana,Hayes,Jahana Hayes,Democrat,rep,CT,H001081,RepJahanaHayes,Q4 (highest),full_house,CT,5.0,4.170258141911404,1.0,50.75072940270434,337605.0,repjahanahayes,-0.339,-0.041,-0.309,-0.0,0.339
CaraveoYadira Caraveo (D),$8048643,$1294679,16.09%,Raised over $100k,D,Democrat,8048643,1294679,16.09,Yadira Caraveo,100.0,manual,,,Yadira Caraveo,Democrat,rep,CO,C001134,YadiraCaraveo,Q4 (highest),full_house,CO,8.0,0.734077502278069,1.0,48.95448659536713,333616.0,yadiracaraveo,-0.256,0.626,-0.256,0.626,0.256
FousheeValerie Foushee (D),$683926,$109725,16.04%,Raised over $100k,D,Democrat,683926,109725,16.04,Valerie Foushee,90.9,auto,Valerie,Foushee,Valerie P. Foushee,Democrat,rep,NC,F000477,ValerieFoushee,Q4 (highest),full_house,NC,4.0,45.70642287420122,0.0,71.8466346378096,428780.0,valeriefoushee,-0.498,-0.284,-0.529,-0.253,0.498
HinsonAshley Hinson (R),$5565617,$888904,15.97%,Raised over $100k,R,Republican,5565617,888904,15.97,Ashley Hinson,100.0,auto,Ashley,Hinson,Ashley Hinson,Republican,rep,IA,H001091,RepAshleyHinson,Q4 (highest),full_house,IA,2.0,15.557653827525307,0.0,57.07897710872256,408802.0,repashleyhinson,0.356,0.351,0.387,0.639,0.356
McClintockTom McClintock (R),$1143387,$180914,15.82%,Raised over $100k,R,Republican,1143387,180914,15.82,Tom McClintock,100.0,auto,Tom,McClintock,Tom McClintock,Republican,rep,CA,M001177,RepMcClintock,Q4 (highest),full_house,CA,5.0,23.530369381542314,0.0,61.76518469077116,368562.0,repmcclintock,0.67,-0.363,0.518,-0.39,0.67
UnderwoodLauren A Underwood (D),$4082518,$644232,15.78%,Raised over $100k,D,Democrat,4082518,644232,15.78,Lauren A Underwood,94.1,auto,Lauren,Underwood,Lauren Underwood,Democrat,rep,IL,U000040,RepUnderwood,Q4 (highest),full_house,IL,14.0,10.206981068035525,0.0,55.10063707276927,332929.0,repunderwood,-0.594,0.319,-0.645,0.018,0.594
IssaDarrell Issa (R),$1761806,$275631,15.64%,Raised over $100k,R,Republican,1761806,275631,15.64,Darrell Issa,100.0,auto,Darrell,Issa,Darrell Issa,Republican,rep,CA,I000056,repdarrellissa,Q4 (highest),full_house,CA,48.0,18.585028726858923,0.0,59.29251436342946,360290.0,repdarrellissa,0.476,0.031,0.432,0.08,0.476
SmithChris Smith (R),$838537,$130989,15.62%,Raised over $100k,R,Republican,838537,130989,15.62,Chris Smith,71.0,auto,Christopher,Smith,Christopher H. Smith,Republican,rep,NJ,S000522,RepChrisSmith,Q4 (highest),full_house,NJ,4.0,35.7278021855373,0.0,67.38537090211756,394228.0,repchrissmith,0.183,-0.173,0.302,-0.047,0.183
SteubeGreg Steube (R),$1710108,$266852,15.60%,Raised over $100k,R,Republican,1710108,266852,15.6,Greg Steube,78.6,auto,W.,Steube,W. Gregory Steube,Republican,rep,FL,S001214,RepGregSteube,Q4 (highest),full_house,FL,17.0,27.80766843378569,0.0,63.90295687191422,455921.0,repgregsteube,0.69,-0.352,0.732,-0.403,0.69
BalintBecca Balint (D),$1372634,$214118,15.60%,Raised over $100k,D,Democrat,1372634,214118,15.6,Becca Balint,100.0,auto,Becca,Balint,Becca Balint,Democrat,rep,VT,B001318,RepBeccaB,Q4 (highest),full_house,VT,1.0,30.55821499926251,0.0,58.569800340587584,372885.0,repbeccab,-0.444,-0.494,-0.452,-0.475,0.444
StansburyMelanie Stansbury (D),$1343239,$209339,15.58%,Raised over $100k,D,Democrat,1343239,209339,15.58,Melanie Stansbury,91.9,auto,Melanie,Stansbury,Melanie A. Stansbury,Democrat,rep,NM,S001218,Rep_Stansbury,Q4 (highest),full_house,NM,1.0,12.737309226285127,0.0,56.36865461314257,342749.0,rep_stansbury,-0.442,-0.217,-0.455,-0.172,0.442
McGovernJames P McGovern (D),$1092908,$170174,15.57%,Raised over $100k,D,Democrat,1092908,170174,15.57,James P McGovern,97.0,auto,James,McGovern,James P. McGovern,Democrat,rep,MA,M000312,RepMcGovern,Q4 (highest),full_house,MA,2.0,35.28459920326094,0.0,64.58184041074956,389337.0,repmcgovern,-0.538,-0.344,-0.422,-0.579,0.538
GarciaMike Garcia (R),$6485208,$1007275,15.53%,Raised over $100k,R,Republican,6485208,1007275,15.53,Robert Garcia,100.0,manual,,,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia,Q4 (highest),full_house,CA,42.0,36.28271601238209,0.0,68.14135800619104,233563.0,reprobertgarcia,-0.373,-0.601,-0.379,-0.622,0.373
HigginsClay Higgins (R),$1016991,$157875,15.52%,Raised over $100k,R,Republican,1016991,157875,15.52,Clay Higgins,100.0,auto,Clay,Higgins,Clay Higgins,Republican,rep,LA,H001077,RepClayHiggins,Q4 (highest),full_house,LA,3.0,51.90344328649566,0.0,70.56180265808496,320682.0,repclayhiggins,0.627,-0.319,0.628,-0.293,0.627
WildSusan Wild (D),$8856117,$1374447,15.52%,Raised over $100k,D,Democrat,8856117,1374447,15.52,Susan Wild,100.0,manual,,,Susan Wild,Democrat,rep,PA,W000826,RepSusanWild,Q4 (highest),full_house,PA,7.0,1.0071557149020407,1.0,50.50357785745102,403314.0,repsusanwild,-0.261,0.305,-0.25,0.266,0.261
BurlisonEric Burlison (R),$923026,$143138,15.51%,Raised over $100k,R,Republican,923026,143138,15.51,Eric Burlison,100.0,auto,Eric,Burlison,Eric Burlison,Republican,rep,MO,B001316,RepEricBurlison,Q4 (highest),full_house,MO,7.0,45.281459654006326,0.0,71.55582980851827,367868.0,repericburlison,0.733,-0.536,0.711,-0.521,0.733
GluesenkampMarie Gluesenkamp Perez (D),$11660957,$1798924,15.43%,Raised over $100k,D,Democrat,11660957,1798924,15.43,Craig A. Goldman,100.0,manual,,,Craig A. Goldman,Republican,rep,TX,G000601,RepCraigGoldman,Q4 (highest),full_house,,,,,,,repcraiggoldman,,,,,
McBathLucy McBath (D),$2431244,$368999,15.18%,Raised over $100k,D,Democrat,2431244,368999,15.18,Lucy McBath,100.0,auto,Lucy,McBath,Lucy McBath,Democrat,rep,GA,M001208,RepLucyMcBath,Q4 (highest),full_house,GA,7.0,29.70369639104743,0.0,64.85184819552371,425442.0,replucymcbath,-0.371,0.314,-0.479,0.272,0.371
HarderJosh Harder (D),$5306590,$800349,15.08%,Raised over $100k,D,Democrat,5306590,800349,15.08,Josh Harder,100.0,auto,Josh,Harder,Josh Harder,Democrat,rep,CA,H001090,RepJoshHarder,Q4 (highest),full_house,CA,9.0,3.5841452595312617,1.0,51.79207262976563,251357.0,repjoshharder,-0.3,0.448,-0.287,0.435,0.3
MoultonSeth Moulton (D),$2849440,$428950,15.05%,Raised over $100k,D,Democrat,2849440,428950,15.05,Seth Moulton,100.0,auto,Seth,Moulton,Seth Moulton,Democrat,rep,MA,M001196,RepMoulton,Q4 (highest),full_house,MA,6.0,48.1082966803702,0.0,73.23433043073787,438573.0,repmoulton,-0.286,-0.044,-0.286,0.018,0.286
GoldenJared Golden (D),$7743101,$1128219,14.57%,Raised over $100k,D,Democrat,7743101,1128219,14.57,Jared Golden,88.9,auto,Jared,Golden,Jared F. Golden,Democrat,rep,ME,G000592,RepGolden,Q4 (highest),full_house,ME,2.0,0.6715706712728533,1.0,48.928613973434985,402936.0,repgolden,-0.105,0.38,-0.085,0.36,0.105
TiffanyTom Tiffany (R),$1241429,$177927,14.33%,Raised over $100k,R,Republican,1241429,177927,14.33,Thomas P. Tiffany,100.0,manual,,,Thomas P. Tiffany,Republican,rep,WI,T000165,RepTiffany,Q4 (highest),full_house,WI,7.0,27.19176363433584,0.0,63.5602159931596,430384.0,reptiffany,0.642,-0.252,0.669,-0.271,0.642
GrothmanGlenn Grothman (R),$985756,$139944,14.20%,Raised over $100k,R,Republican,985756,139944,14.2,Glenn Grothman,100.0,auto,Glenn,Grothman,Glenn Grothman,Republican,rep,WI,G000576,RepGrothman,Q4 (highest),full_house,WI,6.0,22.57134452739644,0.0,61.23486382609414,411349.0,repgrothman,0.599,-0.205,0.644,-0.005,0.599
ConnollyGerry Connolly (D),$2517838,$356034,14.14%,Raised over $100k,D,Democrat,2517838,356034,14.14,Gerald E. Connolly,100.0,manual,,,Gerald E. Connolly,Democrat,rep,VA,C001078,GerryConnolly,Q4 (highest),full_house,VA,11.0,33.82051069514805,0.0,66.68413841525552,410186.0,gerryconnolly,-0.309,-0.047,-0.349,-0.209,0.309
FischbachMichelle Fischbach (R),$2010301,$281783,14.02%,Raised over $100k,R,Republican,2010301,281783,14.02,Michelle Fischbach,100.0,auto,Michelle,Fischbach,Michelle Fischbach,Republican,rep,MN,F000470,RepFischbach,Q4 (highest),full_house,MN,7.0,41.002535146347086,0.0,70.44582725154285,390510.0,repfischbach,0.539,-0.024,0.56,-0.099,0.539
VasquezGabe Vasquez (D),$6956820,$966637,13.89%,Raised over $100k,D,Democrat,6956820,966637,13.89,Gabe Vasquez,100.0,auto,Gabriel (Gabe),Vasquez,Gabe Vasquez,Democrat,rep,NM,V000136,RepGabeVasquez,Q4 (highest),full_house,NM,2.0,4.157966546309773,1.0,52.07898327315489,265322.0,repgabevasquez,-0.325,0.554,-0.303,0.494,0.325
FeenstraRandy Feenstra (R),$4242569,$585320,13.80%,Raised over $100k,R,Republican,4242569,585320,13.8,Randy Feenstra,100.0,auto,Randy,Feenstra,Randy Feenstra,Republican,rep,IA,F000446,RepFeenstra,Q4 (highest),full_house,IA,4.0,34.333536637562055,0.0,67.01602893340181,373824.0,repfeenstra,0.467,0.179,0.486,0.177,0.467
SykesEmilia Sykes (D),$5270437,$715744,13.58%,Raised over $100k,D,Democrat,5270437,715744,13.58,Emilia Sykes,77.4,auto,Emilia,Sykes,Emilia Strong Sykes,Democrat,rep,OH,S001223,RepEmiliaSykes,Q4 (highest),full_house,OH,13.0,2.2107197391236757,1.0,51.10535986956184,386390.0,repemiliasykes,-0.325,0.18,-0.333,0.152,0.325
SuozziTom Suozzi (D),$9538256,$1289185,13.52%,Raised over $100k,D,Democrat,9538256,1289185,13.52,Tom Suozzi,76.9,auto,Thomas,Suozzi,Thomas R. Suozzi,Democrat,rep,NY,S001201,reptomsuozzi,Q4 (highest),full_house,NY,3.0,6.361912842186847,1.0,48.57285758427996,381882.0,reptomsuozzi,-0.213,0.159,-0.253,0.331,0.213
SherrillMikie Sherrill (D),$4400561,$591662,13.45%,Raised over $100k,D,Democrat,4400561,591662,13.45,Mikie Sherrill,100.0,manual,,,Mikie Sherrill,Democrat,rep,NJ,S001207,RepSherrill,Q4 (highest),full_house,NJ,11.0,14.736978445769026,0.0,56.52887230762589,393751.0,repsherrill,-0.234,0.243,-0.293,0.283,0.234
MolinaroMarc Molinaro (R),$5501365,$735985,13.38%,Raised over $100k,R,Republican,5501365,735985,13.38,Robert Menendez,100.0,manual,,,Robert Menendez,Democrat,rep,NJ,M001226,RepMenendez,Q4 (highest),full_house,NJ,8.0,24.5379005412548,0.0,59.17414174268798,196765.0,repmenendez,-0.521,0.247,-0.487,0.216,0.521
WilliamsBrandon Williams (R),$4172151,$554346,13.29%,Raised over $100k,R,Republican,4172151,554346,13.29,Brandon Williams,100.0,manual,,,Brandon Williams,Republican,rep,NY,W000828,RepWilliams,Q3,full_house,NY,22.0,9.887192556832566,1.0,48.573910249603145,367263.0,repwilliams,0.314,0.11,0.314,0.11,0.314
PoseyBill Posey (R),$434040,$57383,13.22%,Raised over $100k,R,Republican,434040,57383,13.22,Bill Posey,100.0,manual,,,Bill Posey,Republican,rep,FL,P000599,CongBillPosey,Q3,full_house,FL,8.0,24.476965154690447,0.0,62.23848257734522,450448.0,congbillposey,0.533,-0.353,0.593,-0.354,0.533
SwalwellEric Swalwell (D),$3885636,$511246,13.16%,Raised over $100k,D,Democrat,3885636,511246,13.16,Eric Swalwell,100.0,auto,Eric,Swalwell,Eric Swalwell,Democrat,rep,CA,S001193,RepSwalwell,Q3,full_house,CA,14.0,35.50733027483104,0.0,67.75366513741552,276388.0,repswalwell,-0.355,-0.05,-0.345,0.182,0.355
MaceNancy Mace (R),$3461772,$449704,12.99%,Raised over $100k,R,Republican,3461772,449704,12.99,Nancy Mace,100.0,auto,Nancy,Mace,Nancy Mace,Republican,rep,SC,M000194,RepNancyMace,Q3,full_house,SC,1.0,16.613055527833012,0.0,58.21785826699115,390777.0,repnancymace,0.348,-0.291,0.309,-0.338,0.348
MoskowitzJared Moskowitz (D),$2169791,$280960,12.95%,Raised over $100k,D,Democrat,2169791,280960,12.95,Jared Moskowitz,100.0,auto,Jared,Moskowitz,Jared Moskowitz,Democrat,rep,FL,M001217,RepMoskowitz,Q3,full_house,FL,23.0,4.890240090618377,1.0,52.44512004530919,374317.0,repmoskowitz,-0.228,0.312,-0.233,0.311,0.228
CourtneyJoe Courtney (D),$1265677,$160372,12.67%,Raised over $100k,D,Democrat,1265677,160372,12.67,Joe Courtney,100.0,auto,Joe,Courtney,Joe Courtney,Democrat,rep,CT,C001069,RepJoeCourtney,Q3,full_house,CT,2.0,16.030974851547818,0.0,58.01455669105192,376047.0,repjoecourtney,-0.337,0.042,-0.322,0.221,0.337
LeskoDebbie Lesko (R),$319014,$40398,12.66%,Raised over $100k,R,Republican,319014,40398,12.66,Debbie Lesko,100.0,manual,,,Debbie Lesko,Republican,rep,AZ,L000589,debbielesko,Q3,full_house,AZ,8.0,13.001440535195457,0.0,56.50072026759773,368613.0,debbielesko,0.616,-0.104,0.637,-0.091,0.616
SalinasAndrea Salinas (D),$5312185,$670954,12.63%,Raised over $100k,D,Democrat,5312185,670954,12.63,Andrea Salinas,100.0,auto,Andrea,Salinas,Andrea Salinas,Democrat,rep,OR,S001226,repsalinas,Q3,full_house,OR,6.0,6.852668367422169,1.0,53.34345921873387,339065.0,repsalinas,-0.222,-0.209,-0.205,-0.194,0.222
PingreeChellie Pingree (D),$661687,$82710,12.50%,Raised over $100k,D,Democrat,661687,82710,12.5,Chellie Pingree,100.0,auto,Chellie,Pingree,Chellie Pingree,Democrat,rep,ME,P000597,ChelliePingree,Q3,full_house,ME,1.0,21.60057511141645,0.0,56.82819683916217,439567.0,chelliepingree,-0.423,-0.36,-0.44,-0.321,0.423
RosendaleMatt Rosendale (R),$790441,$97482,12.33%,Raised over $100k,R,Republican,790441,97482,12.33,"Matthew M. Rosendale, Sr.",100.0,manual,,,"Matthew M. Rosendale, Sr.",Republican,rep,MT,R000103,FmrRepRosendale,Q3,full_house,MT,2.0,31.9798943911158,0.0,65.9899471955579,275545.0,fmrreprosendale,0.753,-0.658,0.739,-0.674,0.753
LegerTeresa Leger Fernandez (D),$2105098,$254871,12.11%,Raised over $100k,D,Democrat,2105098,254871,12.11,Alan S. Lowenthal,100.0,manual,,,Alan S. Lowenthal,Democrat,rep,CA,L000579,RepLowenthal,Q3,full_house,,,,,,,replowenthal,,,,,
McCaulMichael McCaul (R),$3127715,$377739,12.08%,Raised over $100k,R,Republican,3127715,377739,12.08,Michael McCaul,90.3,auto,Michael,McCaul,Michael T. McCaul,Republican,rep,TX,M001157,RepMcCaul,Q3,full_house,TX,10.0,29.598525665721723,0.0,63.60481631197925,347818.0,repmccaul,0.411,0.176,0.39,0.264,0.411
CastroJoaquin Castro (D),$677236,$80805,11.93%,Raised over $100k,D,Democrat,677236,80805,11.93,Joaquin Castro,100.0,auto,Joaquin,Castro,Joaquin Castro,Democrat,rep,TX,C001091,JoaquinCastrotx,Q3,full_house,TX,20.0,100.0,0.0,100.0,157890.0,joaquincastrotx,-0.401,-0.137,-0.39,-0.463,0.401
OglesAndy Ogles (R),$953830,$113373,11.89%,Raised over $100k,R,Republican,953830,113373,11.89,Andy Ogles,81.8,auto,Andrew,Ogles,Andrew Ogles,Republican,rep,TN,O000175,repogles,Q3,full_house,TN,5.0,17.378865250586337,0.0,56.85252027922398,360714.0,repogles,0.776,-0.364,0.802,-0.359,0.776
CraigAngie Craig (D),$7785521,$920160,11.82%,Raised over $100k,D,Democrat,7785521,920160,11.82,Angie Craig,100.0,auto,Angie,Craig,Angie Craig,Democrat,rep,MN,C001119,RepAngieCraig,Q3,full_house,MN,2.0,13.45014245696936,0.0,55.53329707010703,417319.0,repangiecraig,-0.274,0.548,-0.24,0.539,0.274
BairdJim Baird (R),$455568,$52686,11.56%,Raised over $100k,R,Republican,455568,52686,11.56,James R. Baird,100.0,manual,,,James R. Baird,Republican,rep,IN,B001307,RepJimBaird,Q3,full_house,IN,4.0,33.90132727637941,0.0,64.83227491154065,323595.0,repjimbaird,0.446,0.417,0.37,0.248,0.446
Chavez-DeremerLori Chavez-Deremer (R),$5962097,$687815,11.54%,Raised over $100k,R,Republican,5962097,687815,11.54,Lori Chavez-DeRemer,100.0,manual,,,Lori Chavez-DeRemer,Republican,rep,OR,C001135,RepLCD,Q3,full_house,OR,5.0,2.727433570981802,1.0,47.68710144458039,401293.0,replcd,0.167,0.426,0.167,0.426,0.167
KapturMarcy Kaptur (D),$5030990,$574735,11.42%,Raised over $100k,D,Democrat,5030990,574735,11.42,Marcy Kaptur,100.0,auto,Marcy,Kaptur,Marcy Kaptur,Democrat,rep,OH,K000009,RepMarcyKaptur,Q3,full_house,OH,9.0,0.6348698676688045,1.0,48.26770079558629,375195.0,repmarcykaptur,-0.341,0.132,-0.292,0.341,0.341
HarrisAndy Harris (R),$1349540,$152803,11.32%,Raised over $100k,R,Republican,1349540,152803,11.32,Andy Harris,100.0,auto,Andy,Harris,Andy Harris,Republican,rep,MD,H001052,RepAndyHarrisMD,Q3,full_house,MD,1.0,22.034098582039164,0.0,59.40870068486544,414680.0,repandyharrismd,0.674,-0.37,0.677,-0.308,0.674
MalliotakisNicole Malliotakis (R),$3303258,$368457,11.15%,Raised over $100k,R,Republican,3303258,368457,11.15,Nicole Malliotakis,100.0,auto,Nicole,Malliotakis,Nicole Malliotakis,Republican,rep,NY,M000317,RepNicole,Q3,full_house,NY,11.0,21.6756679983539,0.0,55.75787813787151,274589.0,repnicole,0.335,-0.079,0.363,-0.069,0.335
BergmanJohn Bergman (R),$1948889,$215674,11.07%,Raised over $100k,R,Republican,1948889,215674,11.07,John Bergman,75.0,auto,Jack,Bergman,Jack Bergman,Republican,rep,MI,B001301,RepJackBergman,Q3,full_house,MI,1.0,21.234366617489265,0.0,59.15202521459227,477184.0,repjackbergman,0.433,0.084,0.424,0.046,0.433
NunnZach Nunn (R),$5752268,$635937,11.06%,Raised over $100k,R,Republican,5752268,635937,11.06,Zach Nunn,85.7,auto,Zachary (Zach),Nunn,Zachary Nunn,Republican,rep,IA,N000193,ZachNunn,Q3,full_house,IA,3.0,3.822671074460224,1.0,51.76638694130611,412905.0,zachnunn,0.29,0.193,0.291,0.195,0.29
LofgrenZoe Lofgren (D),$2276594,$247668,10.88%,Raised over $100k,D,Democrat,2276594,247668,10.88,Zoe Lofgren,100.0,auto,Zoe,Lofgren,Zoe Lofgren,Democrat,rep,CA,L000397,RepZoeLofgren,Q3,full_house,CA,18.0,29.25174831295459,0.0,64.6258741564773,228506.0,repzoelofgren,-0.397,-0.402,-0.313,-0.272,0.397
StauberPete Stauber (R),$2260576,$245854,10.88%,Raised over $100k,R,Republican,2260576,245854,10.88,Pete Stauber,100.0,auto,Pete,Stauber,Pete Stauber,Republican,rep,MN,S001212,RepPeteStauber,Q3,full_house,MN,8.0,16.075198170804022,0.0,57.99205893654265,421606.0,reppetestauber,0.384,-0.101,0.445,-0.036,0.384
RamirezDelia Ramirez (D),$1115639,$121089,10.85%,Raised over $100k,D,Democrat,1115639,121089,10.85,Delia Ramirez,89.7,auto,Delia,Ramirez,Delia C. Ramirez,Democrat,rep,IL,R000617,repdeliaramirez,Q3,full_house,IL,3.0,34.565307724271655,0.0,67.26418578881757,259908.0,repdeliaramirez,-0.496,-0.868,-0.739,-0.674,0.496
CloudMichael Cloud (R),$785113,$80300,10.23%,Raised over $100k,R,Republican,785113,80300,10.23,Michael Cloud,100.0,auto,Michael,Cloud,Michael Cloud,Republican,rep,TX,C001115,RepMichaelCloud,Q3,full_house,TX,27.0,32.08603756246052,0.0,66.04301878123026,278576.0,repmichaelcloud,0.692,-0.362,0.709,-0.461,0.692
GoldmanDan Goldman (D),$3604421,$365993,10.15%,Raised over $100k,D,Democrat,3604421,365993,10.15,Dan Goldman,78.6,auto,Dan,Goldman,Daniel S. Goldman,Democrat,rep,NY,G000599,RepDanGoldman,Q3,full_house,NY,10.0,60.389080258097785,0.0,73.83644735994042,279274.0,repdangoldman,-0.444,0.127,-0.428,0.105,0.444
DavisDon Davis (D),$5997022,$607763,10.13%,Raised over $100k,D,Democrat,5997022,607763,10.13,Don Davis,75.0,auto,Donald,Davis,Donald G. Davis,Democrat,rep,NC,D000230,RepDonDavis,Q3,full_house,NC,1.0,1.6759494478162438,1.0,49.51610845973151,376324.0,repdondavis,-0.245,0.876,-0.259,0.893,0.245
ScholtenHillary Scholten (D),$5219042,$524791,10.06%,Raised over $100k,D,Democrat,5219042,524791,10.06,Hillary Scholten,91.4,auto,Hillary,Scholten,Hillary J. Scholten,Democrat,rep,MI,S001221,RepScholten,Q3,full_house,MI,3.0,9.887958047914651,1.0,53.65593674828511,420289.0,repscholten,-0.257,0.23,-0.258,0.217,0.257
SchakowskyJan Schakowsky (D),$1547043,$153233,9.90%,Raised over $100k,D,Democrat,1547043,153233,9.9,Jan Schakowsky,82.4,auto,Janice,Schakowsky,Janice D. Schakowsky,Democrat,rep,IL,S001145,JanSchakowsky,Q3,full_house,IL,9.0,36.77854250534193,0.0,68.38927125267097,338828.0,janschakowsky,-0.602,-0.289,-0.435,-0.55,0.602
TakanoMark Takano (D),$1281860,$125289,9.77%,Raised over $100k,D,Democrat,1281860,125289,9.77,Mark Takano,100.0,auto,Mark,Takano,Mark Takano,Democrat,rep,CA,T000472,RepMarkTakano,Q3,full_house,CA,39.0,13.3771662457546,0.0,56.6885831228773,229660.0,repmarktakano,-0.456,-0.331,-0.431,-0.495,0.456
ManningKathy Manning (D),$428505,$41882,9.77%,Raised over $100k,D,Democrat,428505,41882,9.77,Gregory F. Murphy,100.0,manual,,,Gregory F. Murphy,Republican,rep,NC,M001210,RepGregMurphy,Q3,full_house,NC,3.0,54.7657562468637,0.0,77.38287812343185,320841.0,repgregmurphy,0.486,0.132,0.49,0.216,0.486
GreenMark Green (R),$2140409,$207720,9.70%,Raised over $100k,R,Republican,2140409,207720,9.7,Mark E. Green,100.0,manual,,,Mark E. Green,Republican,rep,TN,G000590,RepMarkGreen,Q3,full_house,TN,7.0,21.45566795596549,0.0,59.50361995437866,322656.0,repmarkgreen,0.671,0.018,0.653,0.004,0.671
LevinMike Levin (D),$5512893,$533760,9.68%,Raised over $100k,D,Democrat,5512893,533760,9.68,Mike Levin,100.0,auto,Mike,Levin,Mike Levin,Democrat,rep,CA,L000593,RepMikeLevin,Q3,full_house,CA,49.0,4.347067638966351,1.0,52.173533819483175,378347.0,repmikelevin,-0.319,0.161,-0.307,0.15,0.319
SorensenEric Sorensen (D),$4999828,$479638,9.59%,Raised over $100k,D,Democrat,4999828,479638,9.59,Eric Sorensen,100.0,auto,Eric,Sorensen,Eric Sorensen,Democrat,rep,IL,S001225,RepEricSorensen,Q3,full_house,IL,17.0,8.85278811359597,1.0,54.42639405679799,312828.0,repericsorensen,-0.239,0.241,-0.246,0.288,0.239
FulcherRuss Fulcher (R),$626646,$59964,9.57%,Raised over $100k,R,Republican,626646,59964,9.57,Russ Fulcher,100.0,auto,Russ,Fulcher,Russ Fulcher,Republican,rep,ID,F000469,RepRussFulcher,Q3,full_house,ID,1.0,43.42651394642252,0.0,67.68727790204586,489086.0,reprussfulcher,0.648,-0.096,0.671,-0.145,0.648
RyanPat Ryan (D),$7966965,$761213,9.55%,Raised over $100k,D,Democrat,7966965,761213,9.55,Pat Ryan,80.0,auto,Patrick,Ryan,Patrick Ryan,Democrat,rep,NY,R000579,RepPatRyanNY,Q3,full_house,NY,18.0,13.536440173484143,0.0,50.31917042265499,376288.0,reppatryanny,-0.226,0.218,-0.239,0.275,0.226
MrvanFrank Mrvan Jr (D),$3182521,$299007,9.40%,Raised over $100k,D,Democrat,3182521,299007,9.4,Frank Mrvan Jr,92.9,auto,Frank,Mrvan,Frank J. Mrvan,Democrat,rep,IN,M001214,RepMrvan,Q3,full_house,IN,1.0,8.493661747071016,1.0,53.44118640443972,322723.0,repmrvan,-0.305,0.36,-0.323,0.414,0.305
PflugerAugust Pfluger (R),$3462839,$320725,9.26%,Raised over $100k,R,Republican,3462839,320725,9.26,August Pfluger,100.0,auto,August,Pfluger,August Pfluger,Republican,rep,TX,P000048,RepPfluger,Q3,full_house,TX,11.0,100.0,0.0,100.0,211975.0,reppfluger,0.634,0.37,0.594,0.308,0.634
DeluzioChristopher Deluzio (D),$5017315,$463798,9.24%,Raised over $100k,D,Democrat,5017315,463798,9.24,Christopher Deluzio,92.7,auto,Chris,Deluzio,Christopher R. Deluzio,Democrat,rep,PA,D000530,RepDeluzio,Q3,full_house,PA,17.0,7.751287887863896,1.0,53.87564394393195,450738.0,repdeluzio,-0.26,-0.13,-0.239,-0.147,0.26
TonkoPaul Tonko (D),$1541765,$141725,9.19%,Raised over $100k,D,Democrat,1541765,141725,9.19,Paul Tonko,100.0,auto,Paul,Tonko,Paul Tonko,Democrat,rep,NY,T000469,RepPaulTonko,Q3,full_house,NY,20.0,20.84590785391319,0.0,53.039063079089765,377748.0,reppaultonko,-0.416,-0.263,-0.352,-0.293,0.416
