Username                   , avg_sentiment       , sentiment_std     , tweet_count, pct_negative       , pct_positive      , pct_extreme
Bernie Sanders             , -0.05650699806225647, 0.6583872510002106,       23321, 0.39132112688135157, 0.3048325543501565, 0.3636636507868445
Marjorie Taylor Greene 🇺🇸, -0.0331700647529531 , 0.7136809054196412,       39149, 0.3945439219392577 , 0.332422284094102 , 0.48340953791923164
Alexandria Ocasio-Cortez   , 0.08559148573844105 , 0.6868370348771847,       19791, 0.31751806376635844, 0.3775958769137487, 0.428831286948613
Elizabeth Warren           , 0.09673327090455253 , 0.7064314508586218,       24532, 0.33633621392466984, 0.4173732268058047, 0.4455812815913908
Nancy Pelosi               , 0.17590464401526687 , 0.7157996171625796,       10923, 0.300650004577497  , 0.4886935823491715, 0.5003204247917239
Jim Jordan                 , 0.3112695472581046  , 0.8121362217352687,           7, 0.2857142857142857 , 0.5714285714285714, 0.7142857142857143
Eli Crane                  , 0.42730162989403914 , 0.6097787100080754,        7886, 0.13390819173218363, 0.6065178797869643, 0.5346183109307634
