Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
HickenlooperJohn Hickenlooper (D),$45083518,$15427930,34.22%,Raised over $100k,D,Democrat,45083518,15427930,34.22,John Hickenlooper,91.9,auto,John,Hickenlooper,John W. Hickenlooper,Democrat,sen,CO,H000273,SenatorHick,Q4 (highest),all senators kept
SlotkinElissa Slotkin (D),$51168064,$16845959,32.92%,Raised over $100k,D,Democrat,51168064,16845959,32.92,Elissa Slotkin,100.0,auto,Elissa,Slotkin,Elissa Slotkin,Democrat,sen,MI,S001208,RepSlotkin,Q4 (highest),all senators kept
SmithTina Smith (D),$19239090,$6330821,32.91%,Raised over $100k,D,Democrat,19239090,6330821,32.91,Tina Smith,100.0,auto,Tina,Smith,Tina Smith,Democrat,sen,MN,S001203,SenTinaSmith,Q4 (highest),all senators kept
JohnsonRon Johnson (R),$40097440,$13016509,32.46%,Raised over $100k,R,Republican,40097440,13016509,32.46,Ron Johnson,100.0,auto,Ron,Johnson,Ron Johnson,Republican,sen,WI,J000293,SenRonJohnson,Q3,all senators kept
BaldwinTammy Baldwin (D),$58515037,$18576727,31.75%,Raised over $100k,D,Democrat,58515037,18576727,31.75,Tammy Baldwin,100.0,auto,Tammy,Baldwin,Tammy Baldwin,Democrat,sen,WI,B001230,SenatorBaldwin,Q3,all senators kept
TesterJon Tester (D),$96070839,$30441610,31.69%,Raised over $100k,D,Democrat,96070839,30441610,31.69,Jon Tester,100.0,manual,,,Jon Tester,Democrat,sen,MT,T000464,SenatorTester,Q3,all senators kept
ErnstJoni Ernst (R),$32364554,$10214624,31.56%,Raised over $100k,R,Republican,32364554,10214624,31.56,Joni Ernst,100.0,auto,Joni,Ernst,Joni Ernst,Republican,sen,IA,E000295,SenJoniErnst,Q3,all senators kept
BookerCory Booker (D),$21523391,$6786966,31.53%,Raised over $100k,D,Democrat,21523391,6786966,31.53,Cory Booker,88.0,auto,Cory,Booker,Cory A. Booker,Democrat,sen,NJ,B001288,SenBooker,Q3,all senators kept
MurphyChristopher S Murphy (D),$15089795,$4756253,31.52%,Raised over $100k,D,Democrat,15089795,4756253,31.52,Christopher S Murphy,94.7,auto,Christopher,Murphy,Christopher Murphy,Democrat,sen,CT,M001169,SenMurphyOffice,Q3,all senators kept
BrownSherrod Brown (D),$100378888,$31507010,31.39%,Raised over $100k,D,Democrat,100378888,31507010,31.39,Sherrod Brown,100.0,manual,,,Sherrod Brown,Democrat,sen,OH,B000944,SenSherrodBrown,Q3,all senators kept
RosenJacky Rosen (D),$50872605,$15915856,31.29%,Raised over $100k,D,Democrat,50872605,15915856,31.29,Jacky Rosen,100.0,auto,Jacky,Rosen,Jacky Rosen,Democrat,sen,NV,R000608,SenJackyRosen,Q3,all senators kept
KlobucharAmy Klobuchar (D),$21485514,$6582687,30.64%,Raised over $100k,D,Democrat,21485514,6582687,30.64,Amy Klobuchar,100.0,auto,Amy,Klobuchar,Amy Klobuchar,Democrat,sen,MN,K000367,SenAmyKlobuchar,Q3,all senators kept
HassanMaggie Hassan (D),$43065876,$12823476,29.78%,Raised over $100k,D,Democrat,43065876,12823476,29.78,Margaret Wood Hassan,100.0,manual,,,Margaret Wood Hassan,Democrat,sen,NH,H001076,SenatorHassan,Q3,all senators kept
CaseyBob Casey (D),$63676634,$18276575,28.70%,Raised over $100k,D,Democrat,63676634,18276575,28.7,"Robert P. Casey, Jr.",100.0,manual,,,"Robert P. Casey, Jr.",Democrat,sen,PA,C001070,SenAngusKing,Q3,all senators kept
VanceJ D Vance (R),$17237583,$4872613,28.27%,Raised over $100k,R,Republican,17237583,4872613,28.27,J.D. Vance,100.0,manual,,,J.D. Vance,Republican,sen,OH,V000137,SenVancePress,Q3,all senators kept
RayBen Ray Lujan (D),$11637120,$3163925,27.19%,Raised over $100k,D,Democrat,11637120,3163925,27.19,Ben Ray Luján,100.0,manual,,,Ben Ray Luján,Democrat,sen,NM,L000570,SenatorLujan,Q3,all senators kept
ShaheenJeanne Shaheen (D),$20017666,$5344343,26.70%,Raised over $100k,D,Democrat,20017666,5344343,26.7,Jeanne Shaheen,100.0,auto,Jeanne,Shaheen,Jeanne Shaheen,Democrat,sen,NH,S001181,SenatorShaheen,Q3,all senators kept
MurrayPatty Murray (D),$20331360,$5206827,25.61%,Raised over $100k,D,Democrat,20331360,5206827,25.61,Patty Murray,100.0,auto,Patty,Murray,Patty Murray,Democrat,sen,WA,M001111,PattyMurray,Q3,all senators kept
BennetMichael Bennet (D),$22125113,$5501310,24.86%,Raised over $100k,D,Democrat,22125113,5501310,24.86,Michael Bennet,90.3,auto,Michael,Bennet,Michael F. Bennet,Democrat,sen,CO,B001267,SenatorBennet,Q3,all senators kept
MarkeyEd Markey (D),$14024552,$3468332,24.73%,Raised over $100k,D,Democrat,14024552,3468332,24.73,Ed Markey,72.0,auto,Edward,Markey,Edward J. Markey,Democrat,sen,MA,M000133,SenMarkey,Q3,all senators kept
BuddTed Budd (R),$16254047,$3890366,23.93%,Raised over $100k,R,Republican,16254047,3890366,23.93,Ted Budd,100.0,auto,Ted,Budd,Ted Budd,Republican,sen,NC,B001305,RepTedBudd,Q3,all senators kept
KaineTim Kaine (D),$21401882,$5065478,23.67%,Raised over $100k,D,Democrat,21401882,5065478,23.67,Tim Kaine,100.0,auto,Timothy,Kaine,Tim Kaine,Democrat,sen,VA,K000384,timkaine,Q3,all senators kept
GrassleyChuck Grassley (R),$10945190,$2587304,23.64%,Raised over $100k,R,Republican,10945190,2587304,23.64,Chuck Grassley,100.0,auto,Charles,Grassley,Chuck Grassley,Republican,sen,IA,G000386,ChuckGrassley,Q3,all senators kept
KimAndy Kim (D),$12170781,$2839921,23.33%,Raised over $100k,D,Democrat,12170781,2839921,23.33,Andy Kim,100.0,auto,Andy,Kim,Andy Kim,Democrat,sen,NJ,K000394,SenatorAndyKim,Q3,all senators kept
TillisThom Tillis (R),$25523707,$5578136,21.85%,Raised over $100k,R,Republican,25523707,5578136,21.85,Thom Tillis,100.0,auto,Thom,Tillis,Thom Tillis,Republican,sen,NC,T000476,SenThomTillis,Q3,all senators kept
BluntLisa Blunt Rochester (D),$9889594,$2160238,21.84%,Raised over $100k,D,Democrat,9889594,2160238,21.84,Lisa Blunt Rochester,100.0,manual,,,Lisa Blunt Rochester,Democrat,sen,DE,B001303,SenLBR,Q3,all senators kept
TubervilleTommy Tuberville (R),$11684053,$2464217,21.09%,Raised over $100k,R,Republican,11684053,2464217,21.09,Tommy Tuberville,100.0,auto,Tommy,Tuberville,Tommy Tuberville,Republican,sen,AL,T000278,SenTuberville,Q3,all senators kept
