"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"GrassleyChuck Grassley (R)","$9828566","$1222982","12.44%","Raised over $100k"
"AmashJustin Amash (R)","$674288","$83368","12.36%","Raised over $100k"
"TesterJon Tester (D)","$14254215","$1755325","12.31%","Raised over $100k"
"GallegoRuben Gallego (D)","$1088292","$132972","12.22%","Raised over $100k"
"InhofeJames M Inhofe (R)","$4912855","$597378","12.16%","Raised over $100k"
"HarrisAndy Harris (R)","$1290564","$156655","12.14%","Raised over $100k"
"FeinsteinDianne Feinstein (D)","$12701760","$1535181","12.09%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$18214086","$2181954","11.98%","Raised over $100k"
"WalzTim Walz (D)","$1547890","$185362","11.98%","Raised over $100k"
"TonkoPaul Tonko (D)","$1154454","$137270","11.89%","Raised over $100k"
"RoePhil Roe (R)","$399977","$47288","11.82%","Raised over $100k"
"DainesSteven Daines (R)","$7920197","$902159","11.39%","Raised over $100k"
"HeckJoe Heck (R)","$12190604","$1386259","11.37%","Raised over $100k"
"GrahamGwen Graham (D)","$1782795","$202418","11.35%","Raised over $100k"
"BridenstineJames Bridenstine (R)","$922385","$101956","11.05%","Raised over $100k"
"TillisThom Tillis (R)","$11563094","$1276405","11.04%","Raised over $100k"
"BarlettaLou Barletta (R)","$1309267","$144516","11.04%","Raised over $100k"
"EmmerTom Emmer (R)","$1837927","$202485","11.02%","Raised over $100k"
"JonesWalter B Jones Jr (R)","$673186","$73110","10.86%","Raised over $100k"
"DeSantisRon DeSantis (R)","$4678618","$505242","10.80%","Raised over $100k"
"DuncanJeff Duncan (R)","$610666","$65590","10.74%","Raised over $100k"
"BeraAmi Bera (D)","$4078146","$419706","10.29%","Raised over $100k"
"KingAngus King (I)","$3558325","$365702","10.28%","Raised over $100k"
"GosarPaul Gosar (R)","$702261","$71359","10.16%","Raised over $100k"
"MclaneAnn Mclane Kuster (D)","$3159505","$320772","10.15%","Raised over $100k"
"BenishekDan Benishek (R)","$436547","$43747","10.02%","Raised over $100k"
"ThuneJohn Thune (R)","$10524094","$1043464","9.92%","Raised over $100k"
"PriceDavid Price (D)","$785244","$77074","9.82%","Raised over $100k"
"TsongasNiki Tsongas (D)","$1200582","$117531","9.79%","Raised over $100k"
"MassieThomas Massie (R)","$463955","$44470","9.59%","Raised over $100k"
"FosterBill Foster (D)","$2886538","$273121","9.46%","Raised over $100k"
"LewisJohn Lewis (D)","$1085379","$102514","9.45%","Raised over $100k"
