"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"WilsonJoe Wilson (R)","$4739095","$2878602","60.74%","Raised over $100k"
"GraysonAlan Grayson (D)","$5928282","$3365802","56.78%","Raised over $100k"
"KucinichDennis J Kucinich (D)","$972635","$542462","55.77%","Raised over $100k"
"BachmannMichele Bachmann (R)","$13562811","$7523398","55.47%","Raised over $100k"
"SandersBernie Sanders (I)","$6509405","$3499698","53.76%","Raised over $100k"
"BrownScott Brown (R)","$18272033","$8819032","48.27%","Raised over $100k"
"FranksTrent Franks (R)","$965569","$408521","42.31%","Raised over $100k"
"McClintockTom McClintock (R)","$1871674","$789270","42.17%","Raised over $100k"
"FeingoldRuss Feingold (D)","$20803357","$7385876","35.50%","Raised over $100k"
"PlattsTodd Platts (R)","$218611","$75479","34.53%","Raised over $100k"
"BrounPaul Broun Jr (R)","$2032417","$683268","33.62%","Raised over $100k"
"FrankenAl Franken (D)","$29075107","$9461475","32.54%","Raised over $100k"
"SmithChris Smith (R)","$748363","$238857","31.92%","Raised over $100k"
"WebbJim Webb (D)","$9645866","$2990336","31.00%","Raised over $100k"
"CaoJoseph Cao (R)","$2079915","$633691","30.47%","Raised over $100k"
"RischJames E Risch (R)","$3533403","$1063355","30.09%","Raised over $100k"
"CantwellMaria Cantwell (D)","$16277062","$4858201","29.85%","Raised over $100k"
"BrownbackSam Brownback (R)","$436470","$128452","29.43%","Raised over $100k"
"BoehnerJohn Boehner (R)","$9796947","$2740906","27.98%","Raised over $100k"
"LinderJohn Linder (R)","$146982","$40456","27.52%","Raised over $100k"
"TesterJon Tester (D)","$7084758","$1832649","25.87%","Raised over $100k"
"SablanGregorio Sablan (D)","$87303","$22424","25.68%","Raised less than $100k"
"McCarthyCarolyn McCarthy (D)","$1684444","$422683","25.09%","Raised over $100k"
"KingSteven A King (R)","$1015039","$254385","25.06%","Raised over $100k"
"DeFazioPeter DeFazio (D)","$1315473","$324481","24.67%","Raised over $100k"
"RehbergDenny Rehberg (R)","$1384402","$340258","24.58%","Raised over $100k"
"WolfFrank Wolf (R)","$1365313","$330246","24.19%","Raised over $100k"
"GrijalvaRaul M Grijalva (D)","$1470861","$354012","24.07%","Raised over $100k"
"CaseyBob Casey (D)","$20885112","$5013518","24.01%","Raised over $100k"
"Brown-WaiteGinny Brown-Waite (R)","$515415","$122524","23.77%","Raised over $100k"
"FeinsteinDianne Feinstein (D)","$10362852","$2399654","23.16%","Raised over $100k"
"PerrielloTom Perriello (D)","$3775363","$862917","22.86%","Raised over $100k"
"HaganKay R Hagan (D)","$9138691","$2074521","22.70%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$12013223","$2680529","22.31%","Raised over $100k"
"BurtonDan Burton (R)","$1131679","$248171","21.93%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$419147","$89902","21.45%","Raised over $100k"
"RyanPaul Ryan (R)","$3922760","$840962","21.44%","Raised over $100k"
"EllisonKeith Ellison (D)","$1397497","$298741","21.38%","Raised over $100k"
"McDermottJim McDermott (D)","$582232","$124461","21.38%","Raised over $100k"
"IssaDarrell Issa (R)","$1495193","$318482","21.30%","Raised over $100k"
"DjouCharles Djou (R)","$2698779","$571098","21.16%","Raised over $100k"
"FlakeJeff Flake (R)","$538758","$112133","20.81%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$13707396","$2850602","20.80%","Raised over $100k"
"MarkeyBetsy Markey (D)","$3505293","$726007","20.71%","Raised over $100k"
"Shea-PorterCarol Shea-Porter (D)","$1647774","$339643","20.61%","Raised over $100k"
"MurrayPatty Murray (D)","$17124667","$3495955","20.41%","Raised over $100k"
"JoMary Jo Kilroy (D)","$2680124","$546588","20.39%","Raised over $100k"
"WeinerAnthony D Weiner (D)","$1628372","$331248","20.34%","Raised over $100k"
"BoxerBarbara Boxer (D)","$18932013","$3767999","19.90%","Raised over $100k"
"MerkleyJeff Merkley (D)","$7699377","$1497235","19.45%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$8789915","$1687672","19.20%","Raised over $100k"
"PenceMike Pence (R)","$2684316","$499002","18.59%","Raised over $100k"
"HincheyMaurice Hinchey (D)","$1161667","$213207","18.35%","Raised over $100k"
"WalzTim Walz (D)","$2163759","$394249","18.22%","Raised over $100k"
"AnnDeborah Ann Stabenow (D)","$12946759","$2277328","17.59%","Raised over $100k"
"SchakowskyJan Schakowsky (D)","$1520106","$267261","17.58%","Raised over $100k"
"HastingsDoc Hastings (R)","$1056585","$184660","17.48%","Raised over $100k"
"LevinCarl Levin (D)","$8641285","$1500274","17.36%","Raised over $100k"
"PaulRon Paul (R)","$986269","$170252","17.26%","Raised over $100k"
"UdallMark Udall (D)","$12404178","$2126251","17.14%","Raised over $100k"
"WittmanRob Wittman (R)","$1292243","$210944","16.32%","Raised over $100k"
"McGovernJames P McGovern (D)","$1839052","$288752","15.70%","Raised over $100k"
"BrownSherrod Brown (D)","$12832430","$2010381","15.67%","Raised over $100k"
"PriceDavid Price (D)","$994557","$154111","15.50%","Raised over $100k"
"HarkinTom Harkin (D)","$9619616","$1481308","15.40%","Raised over $100k"
"JohnsonTimothy V Johnson (R)","$342063","$52145","15.24%","Raised over $100k"
"VitterDavid Vitter (R)","$12560392","$1884825","15.01%","Raised over $100k"
"InsleeJay Inslee (D)","$1403962","$207832","14.80%","Raised over $100k"
"MitchellHarry E Mitchell (D)","$2174509","$313788","14.43%","Raised over $100k"
"PingreeChellie Pingree (D)","$1282675","$184165","14.36%","Raised over $100k"
"MillerJeff Miller (R)","$567898","$81063","14.27%","Raised over $100k"
"TierneyJohn F Tierney (D)","$901893","$125876","13.96%","Raised over $100k"
"McCollumBetty McCollum (D)","$844301","$117827","13.96%","Raised over $100k"
"GiffordsGabrielle Giffords (D)","$3504410","$482649","13.77%","Raised over $100k"
"InhofeJames M Inhofe (R)","$6386287","$868653","13.60%","Raised over $100k"
"FoxxVirginia Foxx (R)","$853579","$115052","13.48%","Raised over $100k"
"FrankBarney Frank (D)","$4052944","$544694","13.44%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$1453240","$195201","13.43%","Raised over $100k"
"HallJohn Hall (D)","$2176219","$290842","13.36%","Raised over $100k"
"SestakJoe Sestak (D)","$13548332","$1803559","13.31%","Raised over $100k"
"CappsLois Capps (D)","$955565","$126620","13.25%","Raised over $100k"
"CoonsChris Coons (D)","$3852049","$509906","13.24%","Raised over $100k"
"WoolseyLynn Woolsey (D)","$846466","$111974","13.23%","Raised over $100k"
"CoffmanMike Coffman (R)","$904466","$119116","13.17%","Raised over $100k"
"HoltRush Holt (D)","$2616604","$342325","13.08%","Raised over $100k"
"EdwardsDonna Edwards (D)","$672650","$87611","13.02%","Raised over $100k"
"GalleglyElton Gallegly (R)","$783257","$101582","12.97%","Raised over $100k"
"KapturMarcy Kaptur (D)","$652273","$82050","12.58%","Raised over $100k"
"PoseyBill Posey (R)","$1094169","$137150","12.53%","Raised over $100k"
"KirkpatrickAnn Kirkpatrick (D)","$1957922","$240775","12.30%","Raised over $100k"
"NelsonBill Nelson (D)","$18367838","$2252418","12.26%","Raised over $100k"
"AkakaDaniel K Akaka (D)","$2911827","$355980","12.23%","Raised over $100k"
"McCainJohn McCain (R)","$21878921","$2647370","12.10%","Raised over $100k"
"RoskamPeter Roskam (R)","$2381858","$283029","11.88%","Raised over $100k"
"LynchStephen Lynch (D)","$911231","$106605","11.70%","Raised over $100k"
"ShadeggJohn Shadegg (R)","$385088","$44290","11.50%","Raised over $100k"
"ConnollyGerry Connolly (D)","$2435798","$279238","11.46%","Raised over $100k"
"StutzmanMarlin Stutzman (R)","$597306","$67496","11.30%","Raised over $100k"
"PoeTed Poe (R)","$876075","$98908","11.29%","Raised over $100k"
"BordalloMadeleine Z Bordallo (D)","$222121","$24815","11.17%","Raised over $100k"
"OwensBill Owens (D)","$2829090","$312561","11.05%","Raised over $100k"
"ChuJudy Chu (D)","$2502171","$275940","11.03%","Raised over $100k"
"FortenberryJeff Fortenberry (R)","$568390","$62263","10.95%","Raised over $100k"
"MikulskiBarbara A Mikulski (D)","$5508300","$601535","10.92%","Raised over $100k"
"CourtneyJoe Courtney (D)","$1781959","$193957","10.88%","Raised over $100k"
"TiahrtTodd Tiahrt (R)","$3273759","$356229","10.88%","Raised over $100k"
"FarrSam Farr (D)","$704177","$76357","10.84%","Raised over $100k"
"RogersMike Rogers (R)","$1778687","$191964","10.79%","Raised over $100k"
"PriceTom Price (R)","$2070230","$223381","10.79%","Raised over $100k"
"MeekKendrick B Meek (D)","$9632322","$1033187","10.73%","Raised over $100k"
"EllsworthBrad Ellsworth (D)","$2368351","$252598","10.67%","Raised over $100k"
"CastorKathy Castor (D)","$887033","$94245","10.62%","Raised over $100k"
"HeinrichMartin Heinrich (D)","$2750081","$288626","10.50%","Raised over $100k"
"ForbesRandy Forbes (R)","$987976","$103071","10.43%","Raised over $100k"
"GravesTom Graves (R)","$1312938","$136186","10.37%","Raised over $100k"
"TitusDina Titus (D)","$2565868","$263867","10.28%","Raised over $100k"
"SchiffAdam Schiff (D)","$1378951","$139205","10.09%","Raised over $100k"
"KingPete King (R)","$1713817","$172162","10.05%","Raised over $100k"
"HunterDuncan D Hunter (R)","$765971","$76845","10.03%","Raised over $100k"
"BoozmanJohn Boozman (R)","$3680529","$366307","9.95%","Raised over $100k"
"HalvorsonDeborah Halvorson (D)","$2695432","$268113","9.95%","Raised over $100k"
"TonkoPaul Tonko (D)","$987959","$98223","9.94%","Raised over $100k"
"KlineJohn Kline (R)","$1552172","$153901","9.92%","Raised over $100k"
"FilnerBob Filner (D)","$943216","$93091","9.87%","Raised over $100k"
"BilirakisGus Bilirakis (R)","$1088911","$107046","9.83%","Raised over $100k"
"McNerneyJerry McNerney (D)","$3208078","$312033","9.73%","Raised over $100k"
"HergerWally Herger (R)","$1010415","$97191","9.62%","Raised over $100k"
"UdallTom Udall (D)","$7839033","$751711","9.59%","Raised over $100k"
"LugarRichard G Lugar (R)","$4371231","$419005","9.59%","Raised over $100k"
"SchraderKurt Schrader (D)","$1872837","$178959","9.56%","Raised over $100k"
"PaulsenErik Paulsen (R)","$2688948","$255422","9.50%","Raised over $100k"
"SueBetty Sue Sutton (D)","$1799214","$170748","9.49%","Raised over $100k"
"ManzulloDon Manzullo (R)","$1160685","$109613","9.44%","Raised over $100k"
"ClarkeYvette D Clarke (D)","$733049","$69115","9.43%","Raised over $100k"
"StupakBart Stupak (D)","$551014","$51921","9.42%","Raised over $100k"
"ScottBobby Scott (D)","$444548","$41406","9.31%","Raised over $100k"
"LattaBob Latta (R)","$591070","$55036","9.31%","Raised over $100k"
"MarieCynthia Marie Lummis (R)","$780426","$72507","9.29%","Raised over $100k"
"ThuneJohn Thune (R)","$12518942","$1160723","9.27%","Raised over $100k"
"WatsonDiane E Watson (D)","$220380","$20424","9.27%","Raised over $100k"
"MooreGwen Moore (D)","$603253","$55814","9.25%","Raised over $100k"
"HodesPaul W Hodes (D)","$4939739","$453905","9.19%","Raised over $100k"
"CardinBen Cardin (D)","$10058581","$924109","9.19%","Raised over $100k"
"MillerBrad Miller (D)","$930351","$85250","9.16%","Raised over $100k"
"KosmasSuzanne Kosmas (D)","$2540354","$232083","9.14%","Raised over $100k"
"KirkMark Kirk (R)","$14305287","$1302251","9.10%","Raised over $100k"
"BennetMichael F Bennet (D)","$13237572","$1185176","8.95%","Raised over $100k"
"BurrRichard Burr (R)","$10868382","$970470","8.93%","Raised over $100k"
