"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"ShimkusJohn Shimkus (R)","$1845128","$164661","8.92%","Raised over $100k"
"MicaJohn L Mica (R)","$1205985","$107581","8.92%","Raised over $100k"
"GrassleyChuck Grassley (R)","$7701183","$685266","8.90%","Raised over $100k"
"KildeeDale E Kildee (D)","$622561","$55342","8.89%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$1537401","$135822","8.83%","Raised over $100k"
"WaldenGreg Walden (R)","$1944720","$171552","8.82%","Raised over $100k"
"SchockAaron Schock (R)","$2300387","$200085","8.70%","Raised over $100k"
"LeeBarbara Lee (D)","$1156049","$99862","8.64%","Raised over $100k"
"MoranJerry Moran (R)","$4154081","$357553","8.61%","Raised over $100k"
"JohnsonTim Johnson (D)","$6821395","$586336","8.60%","Raised over $100k"
"ThornberryMac Thornberry (R)","$689960","$59120","8.57%","Raised over $100k"
"McCotterThad McCotter (R)","$1195301","$101591","8.50%","Raised over $100k"
"GarrettScott Garrett (R)","$1757865","$148151","8.43%","Raised over $100k"
"MurphyChris Murphy (D)","$3034971","$255668","8.42%","Raised over $100k"
"ThompsonMike Thompson (D)","$1912475","$160501","8.39%","Raised over $100k"
"HersethStephanie Herseth Sandlin (D)","$2086660","$171033","8.20%","Raised over $100k"
"MurphyPatrick J Murphy (D)","$4246047","$346226","8.15%","Raised over $100k"
"HarePhil Hare (D)","$1364578","$111041","8.14%","Raised over $100k"
"PittsJoe Pitts (R)","$759218","$61466","8.10%","Raised over $100k"
"DavisSusan Davis (D)","$623886","$50440","8.08%","Raised over $100k"
"LathamTom Latham (R)","$1329211","$107351","8.08%","Raised over $100k"
"PetersGary Peters (D)","$3284646","$264541","8.05%","Raised over $100k"
"KagenSteve Kagen (D)","$2076971","$165448","7.97%","Raised over $100k"
"SchauerMark Schauer (D)","$3255382","$258893","7.95%","Raised over $100k"
"MooreDennis Moore (D)","$460991","$36403","7.90%","Raised over $100k"
"DriehausSteve Driehaus (D)","$1930201","$152338","7.89%","Raised over $100k"
"ReidHarry Reid (D)","$24815104","$1955725","7.88%","Raised over $100k"
"PetriTom Petri (R)","$737019","$57863","7.85%","Raised over $100k"
"MackConnie Mack (R)","$963782","$75526","7.84%","Raised over $100k"
"MelanconCharles Melancon (D)","$3957917","$309384","7.82%","Raised over $100k"
"CornynJohn Cornyn (R)","$19594473","$1523441","7.77%","Raised over $100k"
"BegichMark Begich (D)","$5161874","$400616","7.76%","Raised over $100k"
"SmithAdrian Smith (R)","$943619","$73050","7.74%","Raised over $100k"
"DeMintJames W DeMint (R)","$7199774","$554900","7.71%","Raised over $100k"
"RobertsPat Roberts (R)","$6681622","$511403","7.65%","Raised over $100k"
"JonesWalter B Jones Jr (R)","$672357","$51364","7.64%","Raised over $100k"
"GoodlatteBob Goodlatte (R)","$1006727","$76428","7.59%","Raised over $100k"
"JordanJim Jordan (R)","$850292","$64374","7.57%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$637380","$48208","7.56%","Raised over $100k"
"CantorEric Cantor (R)","$5955025","$446960","7.51%","Raised over $100k"
"TurnerMichael R Turner (R)","$764224","$56815","7.43%","Raised over $100k"
"BarrassoJohn A Barrasso (R)","$3111511","$229751","7.38%","Raised over $100k"
"ReedTom Reed (R)","$1081565","$79127","7.32%","Raised over $100k"
"FosterBill Foster (D)","$3804082","$278090","7.31%","Raised over $100k"
"CooperJim Cooper (D)","$1044042","$76187","7.30%","Raised over $100k"
"SessionsJeff Sessions (R)","$5806114","$418825","7.21%","Raised over $100k"
"BishopTimothy H Bishop (D)","$3066831","$220946","7.20%","Raised over $100k"
"SchmidtJean Schmidt (R)","$1048529","$75536","7.20%","Raised over $100k"
"ReichertDave Reichert (R)","$2793788","$200864","7.19%","Raised over $100k"
"WarnerMark Warner (D)","$15093441","$1083549","7.18%","Raised over $100k"
"LujanBen R Lujan (D)","$1176087","$84281","7.17%","Raised over $100k"
"JohnsonSam Johnson (R)","$1110253","$79337","7.15%","Raised over $100k"
"HensarlingJeb Hensarling (R)","$1745500","$124426","7.13%","Raised over $100k"
"MurphyScott Murphy (D)","$5366128","$382063","7.12%","Raised over $100k"
"SalazarJohn Salazar (D)","$2067198","$146582","7.09%","Raised over $100k"
"BillC W Bill Young (R)","$697978","$49439","7.08%","Raised over $100k"
"BartlettRoscoe G Bartlett (R)","$334113","$23608","7.07%","Raised over $100k"
"ConradKent Conrad (D)","$6035952","$423831","7.02%","Raised over $100k"
"RooneyTom Rooney (R)","$1426151","$100101","7.02%","Raised over $100k"
"HigginsBrian Higgins (D)","$1115608","$78072","7.00%","Raised over $100k"
"KratovilFrank M Kratovil Jr (D)","$2642168","$184417","6.98%","Raised over $100k"
"ArcuriMike Arcuri (D)","$1863854","$130014","6.98%","Raised over $100k"
"BonoMary Bono Mack (R)","$2427224","$168086","6.93%","Raised over $100k"
"HarperGregg Harper (R)","$715014","$48285","6.75%","Raised over $100k"
"BurrisRoland Burris (D)","$112005","$7555","6.75%","Raised over $100k"
"CarsonAndre Carson (D)","$946229","$62907","6.65%","Raised over $100k"
"YoungDon Young (R)","$1001015","$66313","6.62%","Raised over $100k"
"QuigleyMike Quigley (D)","$1301374","$85409","6.56%","Raised over $100k"
"HoldenTim Holden (D)","$1363850","$89234","6.54%","Raised over $100k"
"StearnsCliff Stearns (R)","$771907","$49982","6.48%","Raised over $100k"
"KylJon L Kyl (R)","$15282357","$987022","6.46%","Raised over $100k"
"LarsenRick Larsen (D)","$2028596","$130907","6.45%","Raised over $100k"
"CoburnTom Coburn (R)","$2644376","$169597","6.41%","Raised over $100k"
"PomeroyEarl Pomeroy (D)","$3048387","$195464","6.41%","Raised over $100k"
"CohenSteve Cohen (D)","$1151408","$73764","6.41%","Raised over $100k"
"MichaudMike Michaud (D)","$1044372","$66864","6.40%","Raised over $100k"
"ThompsonGlenn Thompson (R)","$1069415","$68113","6.37%","Raised over $100k"
"WhitehouseSheldon Whitehouse (D)","$8151043","$514328","6.31%","Raised over $100k"
"LambornDouglas L Lamborn (R)","$338476","$21236","6.27%","Raised over $100k"
"LungrenDan Lungren (R)","$2025541","$126472","6.24%","Raised over $100k"
"SimpsonMike Simpson (R)","$792074","$49443","6.24%","Raised over $100k"
"MillerCandice S Miller (R)","$761649","$47242","6.20%","Raised over $100k"
"LarsonJohn Larson (D)","$2401252","$148718","6.19%","Raised over $100k"
"McMahonMichael E McMahon (D)","$2716161","$166764","6.14%","Raised over $100k"
"HillBaron Hill (D)","$2167449","$132640","6.12%","Raised over $100k"
"JohannsMichael O Johanns (R)","$4267968","$261096","6.12%","Raised over $100k"
"GohmertLouis B Gohmert Jr (R)","$793679","$48056","6.05%","Raised over $100k"
"ChamblissSaxby Chambliss (R)","$16930745","$1024223","6.05%","Raised over $100k"
"CarneyChris Carney (D)","$1617154","$96952","6.00%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1309373","$78351","5.98%","Raised over $100k"
"DurbinDick Durbin (D)","$11884582","$711079","5.98%","Raised over $100k"
"DonnellyJoe Donnelly (D)","$1718200","$102775","5.98%","Raised over $100k"
"MyrickSue Myrick (R)","$1038833","$62027","5.97%","Raised over $100k"
"WuDavid Wu (D)","$1537849","$91071","5.92%","Raised over $100k"
"PetersonCollin C Peterson (D)","$1174500","$68726","5.85%","Raised over $100k"
"BoccieriJohn A Boccieri (D)","$2071652","$120960","5.84%","Raised over $100k"
"RoePhil Roe (R)","$518529","$30142","5.81%","Raised over $100k"
"ChandlerBen Chandler (D)","$1674100","$97281","5.81%","Raised over $100k"
"DahlkemperKathleen Dahlkemper (D)","$2028593","$117587","5.80%","Raised over $100k"
"RohrabacherDana Rohrabacher (R)","$404285","$23235","5.75%","Raised over $100k"
"AkinTodd Akin (R)","$767798","$44046","5.74%","Raised over $100k"
"SpeierJackie Speier (D)","$1060953","$60767","5.73%","Raised over $100k"
"BlumenauerEarl Blumenauer (D)","$1286059","$73094","5.68%","Raised over $100k"
"CobleHoward Coble (R)","$503434","$28415","5.64%","Raised over $100k"
"CassidyBill Cassidy (R)","$1584256","$88949","5.61%","Raised over $100k"
"SnoweOlympia J Snowe (R)","$4217348","$236756","5.61%","Raised over $100k"
"SmithAdam Smith (D)","$948533","$53212","5.61%","Raised over $100k"
"DentCharlie Dent (R)","$2415571","$134031","5.55%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$13449052","$742811","5.52%","Raised over $100k"
"TerryLee Terry (R)","$1924726","$106106","5.51%","Raised over $100k"
"McHenryPatrick McHenry (R)","$1015155","$55736","5.49%","Raised over $100k"
"BluntRoy Blunt (R)","$11932403","$647826","5.43%","Raised over $100k"
"SmithLamar Smith (R)","$1312958","$71170","5.42%","Raised over $100k"
"LoebsackDavid Loebsack (D)","$1122051","$60137","5.36%","Raised over $100k"
"LevinSander Levin (D)","$2345155","$125598","5.36%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$1563193","$83537","5.34%","Raised over $100k"
"AderholtRobert B Aderholt (R)","$828588","$44224","5.34%","Raised over $100k"
"TsongasNiki Tsongas (D)","$1933422","$102170","5.28%","Raised over $100k"
"DoddChris Dodd (D)","$9000032","$474950","5.28%","Raised over $100k"
"RogersMike D Rogers (R)","$1141732","$60250","5.28%","Raised over $100k"
"MooreShelley Moore Capito (R)","$1531270","$79828","5.21%","Raised over $100k"
"HondaMike Honda (D)","$773921","$40075","5.18%","Raised over $100k"
"RossMike Ross (D)","$2426280","$123592","5.09%","Raised over $100k"
"BraleyBruce Braley (D)","$2098471","$104948","5.00%","Raised over $100k"
"ColeTom Cole (R)","$852384","$42612","5.00%","Raised over $100k"
"BiggertJudy Biggert (R)","$1584517","$78812","4.97%","Raised over $100k"
"LangevinJim Langevin (D)","$1095292","$54291","4.96%","Raised over $100k"
"MurphyTim Murphy (R)","$1841766","$90961","4.94%","Raised over $100k"
"BilbrayBrian P Bilbray (R)","$1207757","$59648","4.94%","Raised over $100k"
"BerniceEddie Bernice Johnson (D)","$613624","$30102","4.91%","Raised over $100k"
"GrangerKay Granger (R)","$1341260","$65792","4.91%","Raised over $100k"
"McConnellMitch McConnell (R)","$22702661","$1111091","4.89%","Raised over $100k"
"EtheridgeBob Etheridge (D)","$1414630","$68995","4.88%","Raised over $100k"
"MckeonBuck Mckeon (R)","$1254590","$61174","4.88%","Raised over $100k"
"OlverJohn W Olver (D)","$863992","$41742","4.83%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1200342","$57762","4.81%","Raised over $100k"
"CulbersonJohn Culberson (R)","$779425","$37479","4.81%","Raised over $100k"
"BingamanJeff Bingaman (D)","$4228268","$202229","4.78%","Raised over $100k"
"RyanTim Ryan (D)","$1071074","$51225","4.78%","Raised over $100k"
"HellerDean Heller (R)","$1487453","$71065","4.78%","Raised over $100k"
"AustriaSteve Austria (R)","$785806","$37217","4.74%","Raised over $100k"
"JenkinsLynn Jenkins (R)","$1471057","$68769","4.67%","Raised over $100k"
"CarnahanRuss Carnahan (D)","$2127173","$99186","4.66%","Raised over $100k"
"BoswellLeonard L Boswell (D)","$1519582","$70692","4.65%","Raised over $100k"
"KissellLarry Kissell (D)","$1104141","$50957","4.62%","Raised over $100k"
"GuthrieBrett Guthrie (R)","$1233305","$56652","4.59%","Raised over $100k"
"CarterJohn Carter (R)","$997508","$45396","4.55%","Raised over $100k"
"CapuanoMichael E Capuano (D)","$3699635","$167333","4.52%","Raised over $100k"
"InglisBob Inglis (R)","$649827","$29370","4.52%","Raised over $100k"
"BoustanyCharles W Boustany Jr (R)","$1677845","$74765","4.46%","Raised over $100k"
"OberstarJames L Oberstar (D)","$1757326","$76900","4.38%","Raised over $100k"
"LandrieuMary L Landrieu (D)","$11825211","$517021","4.37%","Raised over $100k"
"FudgeMarcia L Fudge (D)","$566127","$24707","4.36%","Raised over $100k"
"IsaksonJohnny Isakson (R)","$9671553","$421281","4.36%","Raised over $100k"
"HastingsAlcee L Hastings (D)","$780445","$33816","4.33%","Raised over $100k"
"GerlachJim Gerlach (R)","$2120901","$91627","4.32%","Raised over $100k"
"SkeltonIke Skelton (D)","$2923038","$125205","4.28%","Raised over $100k"
"TeagueHarry Teague (D)","$2088025","$88312","4.23%","Raised over $100k"
"FallinMary Fallin (R)","$10282","$432","4.20%","Raised less than $100k"
"KindRon Kind (D)","$1857853","$77820","4.19%","Raised over $100k"
"DavisGeoff Davis (R)","$1591164","$66426","4.17%","Raised over $100k"
"CollinsSusan Collins (R)","$8318119","$346995","4.17%","Raised over $100k"
"DavisDanny K Davis (D)","$593861","$24719","4.16%","Raised over $100k"
"LeeChristopher J Lee (R)","$1727161","$71824","4.16%","Raised over $100k"
"FrelinghuysenRodney Frelinghuysen (R)","$1044840","$43233","4.14%","Raised over $100k"
"GreenGene Green (D)","$1080909","$44638","4.13%","Raised over $100k"
"LanceLeonard Lance (R)","$1341109","$55249","4.12%","Raised over $100k"
"LucasFrank D Lucas (R)","$1024225","$42167","4.12%","Raised over $100k"
"CostelloJerry F Costello (D)","$1351182","$55528","4.11%","Raised over $100k"
"MatsuiDoris O Matsui (D)","$835400","$33760","4.04%","Raised over $100k"
"EhlersVernon J Ehlers (R)","$140210","$5622","4.01%","Raised over $100k"
"ConyersJohn Conyers Jr (D)","$1137010","$45525","4.00%","Raised over $100k"
"HironoMazie K Hirono (D)","$992526","$39723","4.00%","Raised over $100k"
"MinnickWalt Minnick (D)","$2649048","$104785","3.96%","Raised over $100k"
"ConawayMike Conaway (R)","$1098814","$43311","3.94%","Raised over $100k"
"TaylorGene Taylor (D)","$828148","$32561","3.93%","Raised over $100k"
"KerryJohn Kerry (D)","$8721850","$341760","3.92%","Raised over $100k"
"JohnsonHank Johnson (D)","$581545","$22734","3.91%","Raised over $100k"
"BaileyKay Bailey Hutchison (R)","$8851942","$345803","3.91%","Raised over $100k"
"HimesJim Himes (D)","$3660498","$142891","3.90%","Raised over $100k"
"SprattJohn M Spratt Jr (D)","$2035361","$79245","3.89%","Raised over $100k"
"SpaceZachary Space (D)","$2687568","$104519","3.89%","Raised over $100k"
"VanChris Van Hollen (D)","$1901713","$73889","3.89%","Raised over $100k"
"DavisLincoln Davis (D)","$1488038","$57466","3.86%","Raised over $100k"
"McCaulMichael McCaul (R)","$1624577","$62625","3.85%","Raised over $100k"
"UptonFred Upton (R)","$2014321","$77505","3.85%","Raised over $100k"
"CritzMark Critz (D)","$2437268","$92606","3.80%","Raised over $100k"
"BunningJim Bunning (R)","$1241508","$47063","3.79%","Raised over $100k"
"SchwartzAllyson Schwartz (D)","$2906212","$109276","3.76%","Raised over $100k"
"CastleMichael N Castle (R)","$3499586","$131009","3.74%","Raised over $100k"
"KennedyPatrick J Kennedy (D)","$750867","$28020","3.73%","Raised over $100k"
"EdwardsChet Edwards (D)","$3686768","$135550","3.68%","Raised over $100k"
"WestmorelandLynn A Westmoreland (R)","$785044","$28840","3.67%","Raised over $100k"
"BoucherRick Boucher (D)","$2639353","$96128","3.64%","Raised over $100k"
"LiebermanJoe Lieberman (I)","$19626065","$713836","3.64%","Raised over $100k"
"McIntyreMike McIntyre (D)","$1320793","$47873","3.62%","Raised over $100k"
"NeugebauerRandy Neugebauer (R)","$1135652","$40712","3.58%","Raised over $100k"
"MenendezRobert Menendez (D)","$17005062","$603327","3.55%","Raised over $100k"
"LoweyNita M Lowey (D)","$2062770","$73122","3.54%","Raised over $100k"
"WatersMaxine Waters (D)","$694021","$24547","3.54%","Raised over $100k"
"WickerRoger Wicker (R)","$7031139","$247802","3.52%","Raised over $100k"
"GaramendiJohn Garamendi (D)","$1764504","$61831","3.50%","Raised over $100k"
"DeGetteDiana DeGette (D)","$825016","$28809","3.49%","Raised over $100k"
"MaffeiDan Maffei (D)","$3192682","$110442","3.46%","Raised over $100k"
"PolisJared Polis (D)","$1248539","$43120","3.45%","Raised over $100k"
"BacaJoe Baca (D)","$758696","$26187","3.45%","Raised over $100k"
"OlsonPete Olson (R)","$1268559","$43718","3.45%","Raised over $100k"
"Christian-ChristensenDonna Christian-Christensen (D)","$279153","$9578","3.43%","Raised over $100k"
"HolmesEleanor Holmes Norton (D)","$425600","$14500","3.41%","Raised over $100k"
"KleinRon Klein (D)","$3776867","$127899","3.39%","Raised over $100k"
