"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"SandersBernie Sanders (I)","$11795106","$8910652","75.55%","Raised over $100k"
"GowdyTrey Gowdy (R)","$2053085","$1220101","59.43%","Raised over $100k"
"WarrenElizabeth Warren (D)","$34897111","$19501458","55.88%","Raised over $100k"
"LewisJohn Lewis (D)","$3811172","$2126290","55.79%","Raised over $100k"
"JonesDoug Jones (D)","$25029181","$13798345","55.13%","Raised over $100k"
"EllisonKeith Ellison (D)","$2448142","$1349251","55.11%","Raised over $100k"
"NunesDevin Nunes (R)","$12619096","$6201129","49.14%","Raised over $100k"
"O'RourkeBeto O'Rourke (D)","$78979726","$36861722","46.67%","Raised over $100k"
"LambConor Lamb (D)","$8989889","$4085548","45.45%","Raised over $100k"
"MerkleyJeff Merkley (D)","$14521093","$6218742","42.83%","Raised over $100k"
"LoveMia Love (R)","$5732989","$2404594","41.94%","Raised over $100k"
"GabbardTulsi Gabbard (D)","$1392547","$547200","39.29%","Raised over $100k"
"ScaliseSteve Scalise (R)","$13180265","$5130113","38.92%","Raised over $100k"
"PaulRand Paul (R)","$11352366","$4351829","38.33%","Raised over $100k"
"HeitkampHeidi Heitkamp (D)","$31025854","$11704417","37.72%","Raised over $100k"
"BarlettaLou Barletta (R)","$7284879","$2589750","35.55%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$30898416","$10976876","35.53%","Raised over $100k"
"HarrisKamala Harris (D)","$22756387","$7935969","34.87%","Raised over $100k"
"CortezCatherine Cortez Masto (D)","$21772595","$7377277","33.88%","Raised over $100k"
"DuckworthTammy Duckworth (D)","$18560735","$6210241","33.46%","Raised over $100k"
"HandelKaren Handel (R)","$8685781","$2878141","33.14%","Raised over $100k"
"RosenJacky Rosen (D)","$25627244","$8395572","32.76%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$20360118","$6661993","32.72%","Raised over $100k"
"PelosiNancy Pelosi (D)","$4537320","$1473075","32.47%","Raised over $100k"
"SchiffAdam Schiff (D)","$6250005","$1995736","31.93%","Raised over $100k"
"MeadowsMark R Meadows (R)","$1795754","$567694","31.61%","Raised over $100k"
"CruzTed Cruz (R)","$45260806","$14136463","31.23%","Raised over $100k"
"MastBrian Mast (R)","$6091715","$1875276","30.78%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$38934452","$11900312","30.56%","Raised over $100k"
"SmithTina Smith (D)","$9147179","$2784907","30.45%","Raised over $100k"
"HassanMaggie Hassan (D)","$19829218","$6030469","30.41%","Raised over $100k"
"McSallyMartha McSally (R)","$21618743","$6337632","29.32%","Raised over $100k"
"TsongasNiki Tsongas (D)","$103338","$30262","29.28%","Raised over $100k"
"JordanJim Jordan (R)","$1239307","$346363","27.95%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$16663863","$4589061","27.54%","Raised over $100k"
"MurphyChristopher S Murphy (D)","$15032338","$4065735","27.05%","Raised over $100k"
"LeskoDebbie Lesko (R)","$2073430","$545146","26.29%","Raised over $100k"
"GrijalvaRaul M Grijalva (D)","$697816","$181765","26.05%","Raised over $100k"
"CantwellMaria Cantwell (D)","$11667705","$2979376","25.54%","Raised over $100k"
"SinemaKyrsten Sinema (D)","$22197141","$5541965","24.97%","Raised over $100k"
"IssaDarrell Issa (R)","$1582171","$387449","24.49%","Raised over $100k"
"BrownSherrod Brown (D)","$28659987","$6967549","24.31%","Raised over $100k"
"BrooksMo Brooks (R)","$1509390","$365225","24.20%","Raised over $100k"
"McClintockTom McClintock (R)","$1733024","$414366","23.91%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$10681536","$2473504","23.16%","Raised over $100k"
"Shea-PorterCarol Shea-Porter (D)","$225963","$52134","23.07%","Raised over $100k"
"JohnsonSam Johnson (R)","$1259","$290","22.99%","Raised less than $100k"
"KingSteven A. King (R)","$873305","$199045","22.79%","Raised over $100k"
"BratDave Brat (R)","$3305499","$735238","22.24%","Raised over $100k"
"SchneiderBrad Schneider (D)","$4363338","$949661","21.76%","Raised over $100k"
"NelsonBill Nelson (D)","$33628769","$7289235","21.68%","Raised over $100k"
"PingreeChellie Pingree (D)","$772709","$167333","21.66%","Raised over $100k"
"TaylorScott Taylor (R)","$4010407","$847418","21.13%","Raised over $100k"
"LeeBarbara Lee (D)","$1839973","$384648","20.91%","Raised over $100k"
"RubioMarco Rubio (R)","$22656696","$4668356","20.60%","Raised over $100k"
"UdallTom Udall (D)","$8687804","$1769006","20.36%","Raised over $100k"
"JayapalPramila Jayapal (D)","$2198056","$434041","19.75%","Raised over $100k"
"McGovernJames P McGovern (D)","$1170272","$230310","19.68%","Raised over $100k"
"ErnstJoni Ernst (R)","$14649046","$2837998","19.37%","Raised over $100k"
"KennedyJoe Kennedy III (D)","$4415068","$837574","18.97%","Raised over $100k"
"AguilarPete Aguilar (D)","$2718737","$514608","18.93%","Raised over $100k"
"TesterJon Tester (D)","$20944242","$3931136","18.77%","Raised over $100k"
"ComstockBarbara Comstock (R)","$6375623","$1187031","18.62%","Raised over $100k"
"GaetzMatt Gaetz (R)","$1278061","$236517","18.51%","Raised over $100k"
"CottonTom Cotton (R)","$17454786","$3224124","18.47%","Raised over $100k"
"MarkeyEd Markey (D)","$21069088","$3760686","17.85%","Raised over $100k"
"ZeldinLee Zeldin (R)","$4447149","$776252","17.46%","Raised over $100k"
"RaskinJamie Raskin (D)","$1164008","$201525","17.31%","Raised over $100k"
"StabenowDebbie Stabenow (D)","$17570218","$3038016","17.29%","Raised over $100k"
"NolanRick Nolan (D)","$610972","$105484","17.26%","Raised over $100k"
"DurbinDick Durbin (D)","$10886840","$1879241","17.26%","Raised over $100k"
"WassermanDebbie Wasserman Schultz (D)","$2186433","$373109","17.06%","Raised over $100k"
"DeFazioPeter DeFazio (D)","$1781777","$303761","17.05%","Raised over $100k"
"CaseyBob Casey (D)","$21266619","$3613423","16.99%","Raised over $100k"
"ToomeyPat Toomey (R)","$30638133","$5157647","16.83%","Raised over $100k"
"SmithChris Smith (R)","$1317498","$221376","16.80%","Raised over $100k"
"WildSusan Wild (D)","$3280397","$541814","16.52%","Raised over $100k"
"DonnellyJoe Donnelly (D)","$17174180","$2833451","16.50%","Raised over $100k"
"SchakowskyJan Schakowsky (D)","$1552224","$254586","16.40%","Raised over $100k"
"HartzlerVicky Hartzler (R)","$1248454","$200631","16.07%","Raised over $100k"
"SasseBen Sasse (R)","$8476695","$1346717","15.89%","Raised over $100k"
"PocanMark Pocan (D)","$1099658","$173880","15.81%","Raised over $100k"
"PetersGary Peters (D)","$12233691","$1921696","15.71%","Raised over $100k"
"JohnsonRon Johnson (R)","$20248897","$3169780","15.65%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$354461","$55380","15.62%","Raised over $100k"
