"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"MurrayPatty Murray (D)","$14439587","$2200689","15.24%","Raised over $100k"
"HerreraJaime Herrera Beutler (R)","$2648718","$402154","15.18%","Raised over $100k"
"PerryScott Perry (R)","$1469281","$221944","15.11%","Raised over $100k"
"BlumRod Blum (R)","$2311730","$342492","14.82%","Raised over $100k"
"RischJames E Risch (R)","$2435331","$357664","14.69%","Raised over $100k"
"LeeMike Lee (R)","$6048504","$864693","14.30%","Raised over $100k"
"ConnollyGerry Connolly (D)","$2062538","$283219","13.73%","Raised over $100k"
"RuizRaul Ruiz (D)","$3124119","$426816","13.66%","Raised over $100k"
"GosarPaul Gosar (R)","$580004","$78955","13.61%","Raised over $100k"
"DuncanJeff Duncan (R)","$893068","$120550","13.50%","Raised over $100k"
"KaineTim Kaine (D)","$21472986","$2868213","13.36%","Raised over $100k"
"GianforteGreg Gianforte (R)","$9575312","$1265652","13.22%","Raised over $100k"
"FosterBill Foster (D)","$2581423","$336073","13.02%","Raised over $100k"
"BustosCheri Bustos (D)","$3931138","$502877","12.79%","Raised over $100k"
"TonkoPaul Tonko (D)","$1338047","$170035","12.71%","Raised over $100k"
"AmashJustin Amash (R)","$628562","$78742","12.53%","Raised over $100k"
"GrassleyChuck Grassley (R)","$9883101","$1226508","12.41%","Raised over $100k"
"GardnerCory Gardner (R)","$14766949","$1825211","12.36%","Raised over $100k"
"WebsterDaniel Webster (R)","$603084","$74221","12.31%","Raised over $100k"
"KingAngus King (I)","$5339838","$656727","12.30%","Raised over $100k"
"RenacciJim Renacci (R)","$4522306","$551207","12.19%","Raised over $100k"
"BookerCory Booker (D)","$26199872","$3177223","12.13%","Raised over $100k"
"HeinrichMartin Heinrich (D)","$8552893","$1024751","11.98%","Raised over $100k"
"HironoMazie K Hirono (D)","$4867005","$562856","11.56%","Raised over $100k"
"PolisJared Polis (D)","$200168","$22864","11.42%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$5757569","$644058","11.19%","Raised over $100k"
"HarrisAndy Harris (R)","$1666395","$184949","11.10%","Raised over $100k"
"BonamiciSuzanne Bonamici (D)","$939393","$103698","11.04%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$14400857","$1567245","10.88%","Raised over $100k"
"DainesSteven Daines (R)","$8854930","$962045","10.86%","Raised over $100k"
"BennetMichael F Bennet (D)","$17579297","$1881727","10.70%","Raised over $100k"
"LujanMichelle Lujan Grisham (D)","$1677","$177","10.54%","Raised less than $100k"
"GallegoRuben Gallego (D)","$1026853","$108153","10.53%","Raised over $100k"
"BrownleyJulia Brownley (D)","$2552123","$267741","10.49%","Raised over $100k"
"KeatingBill Keating (D)","$1214381","$126781","10.44%","Raised over $100k"
"InhofeJames M Inhofe (R)","$4646940","$478227","10.29%","Raised over $100k"
"BeraAmi Bera (D)","$2919622","$299704","10.27%","Raised over $100k"
"GrothmanGlenn S Grothman (R)","$1988833","$203912","10.25%","Raised over $100k"
"MassieThomas Massie (R)","$373333","$37941","10.16%","Raised over $100k"
"TillisThom Tillis (R)","$13919227","$1412415","10.15%","Raised over $100k"
"LoebsackDavid Loebsack (D)","$2053806","$208249","10.14%","Raised over $100k"
"LewisJason Lewis (R)","$2916211","$294739","10.11%","Raised over $100k"
"McNerneyJerry McNerney (D)","$1220017","$123032","10.08%","Raised over $100k"
"PatrickSean Patrick Maloney (D)","$2662474","$268013","10.07%","Raised over $100k"
"KusterAnn Kuster (D)","$3345077","$334484","10.00%","Raised over $100k"
"RyanPaul Ryan (R)","$7701946","$765654","9.94%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1297847","$128506","9.90%","Raised over $100k"
"WydenRon Wyden (D)","$13705548","$1334357","9.74%","Raised over $100k"
"Hyde-SmithCindy Hyde-Smith (R)","$5161798","$502413","9.73%","Raised over $100k"
"CollinsSusan Collins (R)","$8181090","$791614","9.68%","Raised over $100k"
"JonesBrenda Jones (D)","$269838","$25961","9.62%","Raised over $100k"
"BanksJim Banks (R)","$982043","$93415","9.51%","Raised over $100k"
"CourtneyJoe Courtney (D)","$1145994","$108464","9.46%","Raised over $100k"
"BuddTed Budd (R)","$2301060","$217075","9.43%","Raised over $100k"
"McCollumBetty McCollum (D)","$931351","$87661","9.41%","Raised over $100k"
"ColemanBonnie Coleman (D)","$899051","$84314","9.38%","Raised over $100k"
"WarnerMark Warner (D)","$17060003","$1592620","9.34%","Raised over $100k"
"BlumenthalRichard Blumenthal (D)","$9049428","$830736","9.18%","Raised over $100k"
"BarraganNanette Barragan (D)","$1540795","$140554","9.12%","Raised over $100k"
"HellerDean Heller (R)","$15090764","$1370927","9.08%","Raised over $100k"
"DesaulnierMark Desaulnier (D)","$573950","$51911","9.04%","Raised over $100k"
"MooneyAlex Mooney (R)","$1835393","$164461","8.96%","Raised over $100k"
"PriceDavid Price (D)","$918540","$81917","8.92%","Raised over $100k"
"CastroJoaquin Castro (D)","$937006","$83432","8.90%","Raised over $100k"
"O'HalleranTom O'Halleran (D)","$2703036","$236887","8.76%","Raised over $100k"
"HuffmanJared Huffman (D)","$928167","$80793","8.70%","Raised over $100k"
"CramerKevin Cramer (R)","$5947202","$516986","8.69%","Raised over $100k"
"NadlerJerrold Nadler (D)","$1465405","$126597","8.64%","Raised over $100k"
"CummingsElijah E Cummings (D)","$1068025","$91775","8.59%","Raised over $100k"
"RoePhil Roe (R)","$358034","$30741","8.59%","Raised over $100k"
"KindRon Kind (D)","$2310672","$196679","8.51%","Raised over $100k"
"GohmertLouis B Gohmert Jr. (R)","$815818","$68257","8.37%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$955464","$79798","8.35%","Raised over $100k"
"WittmanRob Wittman (R)","$1554176","$129671","8.34%","Raised over $100k"
"RyanTim Ryan (D)","$1597051","$132970","8.33%","Raised over $100k"
"ThompsonMike Thompson (D)","$2123048","$176427","8.31%","Raised over $100k"
"LankfordJames Lankford (R)","$7870202","$647866","8.23%","Raised over $100k"
"MurphyStephanie Murphy (D)","$3190877","$261578","8.20%","Raised over $100k"
"PerlmutterEd Perlmutter (D)","$1750017","$142331","8.13%","Raised over $100k"
"HimesJim Himes (D)","$2005609","$163077","8.13%","Raised over $100k"
"JonesWalter B Jones Jr. (R)","$587113","$47414","8.08%","Raised over $100k"
"BaldersonTroy Balderson (R)","$2534605","$204095","8.05%","Raised over $100k"
"BlumenauerEarl Blumenauer (D)","$1470602","$118198","8.04%","Raised over $100k"
"TakanoMark Takano (D)","$1067703","$85492","8.01%","Raised over $100k"
"CastorKathy Castor (D)","$757607","$60460","7.98%","Raised over $100k"
"KingPete King (R)","$1327460","$105291","7.93%","Raised over $100k"
"DingellDebbie Dingell (D)","$1291890","$101140","7.83%","Raised over $100k"
"FeinsteinDianne Feinstein (D)","$16092233","$1249090","7.76%","Raised over $100k"
"EstyElizabeth Esty (D)","$1121537","$86973","7.75%","Raised over $100k"
"ClarkeYvette D Clarke (D)","$1081925","$82497","7.62%","Raised over $100k"
"VanChris Van Hollen (D)","$12498595","$936749","7.49%","Raised over $100k"
"ThuneJohn Thune (R)","$10467075","$781492","7.47%","Raised over $100k"
"GayMary Gay Scanlon (D)","$1932953","$143351","7.42%","Raised over $100k"
"PetersScott Peters (D)","$2660918","$197318","7.42%","Raised over $100k"
"CoffmanMike Coffman (R)","$3752316","$275949","7.35%","Raised over $100k"
"MoultonSeth Moulton (D)","$2368561","$172350","7.28%","Raised over $100k"
"DelBeneSuzan DelBene (D)","$2104647","$152810","7.26%","Raised over $100k"
"SwalwellEric Swalwell (D)","$3074115","$222673","7.24%","Raised over $100k"
"HurdWill Hurd (R)","$5129917","$366816","7.15%","Raised over $100k"
"HunterDuncan D Hunter (R)","$1171872","$83469","7.12%","Raised over $100k"
"LipinskiDaniel Lipinski (D)","$1587077","$112767","7.11%","Raised over $100k"
"GarrettTom Garrett (R)","$548212","$38533","7.03%","Raised over $100k"
"DavidsonWarren Davidson (R)","$663970","$46377","6.98%","Raised over $100k"
"NormanRalph Norman (R)","$2595747","$179878","6.93%","Raised over $100k"
"FrankelLois Frankel (D)","$977131","$67405","6.90%","Raised over $100k"
"CassidyBill Cassidy (R)","$19489269","$1328720","6.82%","Raised over $100k"
"EmmerTom Emmer (R)","$2203827","$149656","6.79%","Raised over $100k"
"TitusDina Titus (D)","$742770","$49916","6.72%","Raised over $100k"
"TenneyClaudia Tenney (R)","$3224299","$214487","6.65%","Raised over $100k"
"ReichertDave Reichert (R)","$421052","$27934","6.63%","Raised over $100k"
"WelchPeter Welch (D)","$861403","$57125","6.63%","Raised over $100k"
"KellyRobin Kelly (D)","$1006603","$65935","6.55%","Raised over $100k"
"KihuenRuben Kihuen (D)","$744574","$48629","6.53%","Raised over $100k"
"EvansDwight Evans (D)","$1115460","$72694","6.52%","Raised over $100k"
"BluntLisa Blunt Rochester (D)","$1314379","$85253","6.49%","Raised over $100k"
"DuffySean P Duffy (R)","$3615921","$233997","6.47%","Raised over $100k"
"GriffithMorgan Griffith (R)","$1163575","$75126","6.46%","Raised over $100k"
"RiceKathleen Rice (D)","$1392733","$88911","6.38%","Raised over $100k"
"WenstrupBrad Wenstrup (R)","$1452518","$92541","6.37%","Raised over $100k"
"WaltersMimi Walters (R)","$4901654","$311655","6.36%","Raised over $100k"
"BassKaren Bass (D)","$882542","$55486","6.29%","Raised over $100k"
"WalbergTim Walberg (R)","$2166545","$134812","6.22%","Raised over $100k"
"KildeeDan Kildee (D)","$1158022","$71318","6.16%","Raised over $100k"
"ClarkKatherine Clark (D)","$1223164","$74663","6.10%","Raised over $100k"
"ScottBobby Scott (D)","$644425","$39223","6.09%","Raised over $100k"
"KilmerDerek Kilmer (D)","$2349308","$142574","6.07%","Raised over $100k"
"KhannaRo Khanna (D)","$2722116","$165194","6.07%","Raised over $100k"
"BeyerDon Beyer (D)","$2078525","$125460","6.04%","Raised over $100k"
"DeGetteDiana DeGette (D)","$1259631","$75336","5.98%","Raised over $100k"
"ValadaoDavid Valadao (R)","$3279453","$195302","5.96%","Raised over $100k"
"PoseyBill Posey (R)","$924991","$54871","5.93%","Raised over $100k"
"HeckDennis Heck (D)","$1605024","$94099","5.86%","Raised over $100k"
"CorkerBob Corker (R)","$2361745","$135828","5.75%","Raised over $100k"
"LarsenRick Larsen (D)","$1147124","$65848","5.74%","Raised over $100k"
"CloudMichael Cloud (R)","$740442","$41941","5.66%","Raised over $100k"
"RoskamPeter Roskam (R)","$6967864","$393950","5.65%","Raised over $100k"
"AllenRichard W Allen (R)","$1122559","$63310","5.64%","Raised over $100k"
"NewhouseDan Newhouse (R)","$1131484","$62753","5.55%","Raised over $100k"
"CarbajalSalud Carbajal (D)","$2732106","$150864","5.52%","Raised over $100k"
"LieuTed Lieu (D)","$1771606","$96049","5.42%","Raised over $100k"
"WalzTim Walz (D)","$101568","$5496","5.41%","Raised over $100k"
"RohrabacherDana Rohrabacher (R)","$2747619","$147277","5.36%","Raised over $100k"
"FasoJohn Faso (R)","$3950851","$208863","5.29%","Raised over $100k"
"LynchStephen Lynch (D)","$849711","$43514","5.12%","Raised over $100k"
"SchatzBrian Schatz (D)","$10853661","$552344","5.09%","Raised over $100k"
"LaHoodDarin LaHood (R)","$2483378","$126177","5.08%","Raised over $100k"
"DavisRodney Davis (R)","$3624118","$183344","5.06%","Raised over $100k"
"LowenthalAlan Lowenthal (D)","$701799","$35381","5.04%","Raised over $100k"
"KellyTrent Kelly (R)","$925455","$46513","5.03%","Raised over $100k"
"CapuanoMichael E Capuano (D)","$1796091","$90183","5.02%","Raised over $100k"
"GaramendiJohn Garamendi (D)","$1107347","$55145","4.98%","Raised over $100k"
"PortmanRob Portman (R)","$26328525","$1305891","4.96%","Raised over $100k"
"CartwrightMatt Cartwright (D)","$2396418","$118428","4.94%","Raised over $100k"
"LawrenceBrenda Lawrence (D)","$918509","$45324","4.93%","Raised over $100k"
"FischerDeb Fischer (R)","$6389119","$311978","4.88%","Raised over $100k"
"MorelleJoseph D Morelle (D)","$1880192","$91753","4.88%","Raised over $100k"
"BaconDon Bacon (R)","$2589636","$125843","4.86%","Raised over $100k"
"CrawfordRick Crawford (R)","$1018464","$49477","4.86%","Raised over $100k"
"ThompsonGlenn Thompson (R)","$1388912","$67417","4.85%","Raised over $100k"
"YohoTed Yoho (R)","$911782","$44062","4.83%","Raised over $100k"
"McEachinDonald McEachin (D)","$858272","$41290","4.81%","Raised over $100k"
"StefanikElise Stefanik (R)","$2799518","$132866","4.75%","Raised over $100k"
"TiptonScott Tipton (R)","$1587446","$75284","4.74%","Raised over $100k"
"YoungTodd Young (R)","$11108033","$526295","4.74%","Raised over $100k"
"WatersMaxine Waters (D)","$1591392","$75302","4.73%","Raised over $100k"
"CoonsChris Coons (D)","$5872276","$276058","4.70%","Raised over $100k"
"McConnellMitch McConnell (R)","$26225399","$1232630","4.70%","Raised over $100k"
"LawsonAl Lawson (D)","$545840","$25621","4.69%","Raised over $100k"
"BilirakisGus Bilirakis (R)","$2021336","$93664","4.63%","Raised over $100k"
"SullivanDan Sullivan (R)","$9525919","$439661","4.62%","Raised over $100k"
"PetersonCollin Peterson (D)","$1425449","$65603","4.60%","Raised over $100k"
"LujanBen R Lujan (D)","$1949818","$89685","4.60%","Raised over $100k"
"ChuJudy Chu (D)","$1395417","$63835","4.57%","Raised over $100k"
"DavisSusan Davis (D)","$415768","$18936","4.55%","Raised over $100k"
"CristCharlie Crist (D)","$3112230","$140205","4.50%","Raised over $100k"
"MooreShelley Moore Capito (R)","$8566606","$385399","4.50%","Raised over $100k"
"MaloneyCarolyn B Maloney (D)","$2055099","$91713","4.46%","Raised over $100k"
"WestermanBruce Westerman (R)","$1610555","$71727","4.45%","Raised over $100k"
"NoemKristi Noem (R)","$24783","$1100","4.44%","Raised less than $100k"
"ChabotSteve Chabot (R)","$1949962","$86418","4.43%","Raised over $100k"
"HigginsBrian Higgins (D)","$1077931","$47691","4.42%","Raised over $100k"
"GrahamLindsey Graham (R)","$11873431","$524540","4.42%","Raised over $100k"
"VelazquezNydia Velazquez (D)","$1001145","$44164","4.41%","Raised over $100k"
"CornynJohn Cornyn (R)","$18542242","$812823","4.38%","Raised over $100k"
"LanceLeonard Lance (R)","$2537776","$109873","4.33%","Raised over $100k"
"LarsonJohn Larson (D)","$1604275","$67766","4.22%","Raised over $100k"
"BostMike Bost (R)","$2856248","$119831","4.20%","Raised over $100k"
"ManchinJoe Manchin (D)","$9375411","$392653","4.19%","Raised over $100k"
"CardenasTony Cardenas (D)","$1495827","$62152","4.15%","Raised over $100k"
"CarterBuddy Carter (R)","$1802887","$73951","4.10%","Raised over $100k"
"AdamsAlma Adams (D)","$589687","$24128","4.09%","Raised over $100k"
"MooreGwen Moore (D)","$1036174","$42181","4.07%","Raised over $100k"
"RoundsMike Rounds (R)","$6105119","$247012","4.05%","Raised over $100k"
"EshooAnna Eshoo (D)","$1434923","$57738","4.02%","Raised over $100k"
"WilsonJoe Wilson (R)","$1252337","$50321","4.02%","Raised over $100k"
"CicillineDavid Cicilline (D)","$1572793","$63040","4.01%","Raised over $100k"
"BurrRichard Burr (R)","$12825614","$512019","3.99%","Raised over $100k"
"DemingsVal Demings (D)","$834715","$33174","3.97%","Raised over $100k"
"BarrAndy Barr (R)","$5238577","$207753","3.97%","Raised over $100k"
"FlakeJeff Flake (R)","$4866082","$191831","3.94%","Raised over $100k"
"PoeTed Poe (R)","$275376","$10753","3.90%","Raised over $100k"
"HigginsClay Higgins (R)","$894439","$34788","3.89%","Raised over $100k"
"RokitaTodd Rokita (R)","$2386096","$92750","3.89%","Raised over $100k"
"RobertsPat Roberts (R)","$7646348","$296833","3.88%","Raised over $100k"
"RothfusKeith J Rothfus (R)","$3162163","$122494","3.87%","Raised over $100k"
"BuckKenneth R Buck (R)","$601208","$23136","3.85%","Raised over $100k"
"BoozmanJohn Boozman (R)","$4918549","$189116","3.84%","Raised over $100k"
"WhitehouseSheldon Whitehouse (D)","$6608027","$252971","3.83%","Raised over $100k"
"GomezJimmy Gomez (D)","$1549677","$58554","3.78%","Raised over $100k"
"KapturMarcy Kaptur (D)","$772003","$29024","3.76%","Raised over $100k"
"YoungDon Young (R)","$1227283","$46107","3.76%","Raised over $100k"
"LeeJohn Lee Ratcliffe (R)","$748187","$28032","3.75%","Raised over $100k"
"CurtisJohn Curtis (R)","$1543322","$57523","3.73%","Raised over $100k"
"YoungDavid Young (R)","$2759712","$102704","3.72%","Raised over $100k"
"BergmanJohn Bergman (R)","$1421947","$52476","3.69%","Raised over $100k"
"SarbanesJohn Sarbanes (D)","$910190","$33494","3.68%","Raised over $100k"
"KrishnamoorthiRaja Krishnamoorthi (D)","$5242332","$192376","3.67%","Raised over $100k"
"LattaBob Latta (R)","$1573523","$57525","3.66%","Raised over $100k"
"WaldenGreg Walden (R)","$5312778","$193261","3.64%","Raised over $100k"
"HiceJody B Hice (R)","$652368","$23707","3.63%","Raised over $100k"
"ColemanAmata Coleman Radewagen (R)","$167191","$6041","3.61%","Raised over $100k"
"HoevenJohn Hoeven (R)","$3890166","$140432","3.61%","Raised over $100k"
"SpeierJackie Speier (D)","$950657","$34216","3.60%","Raised over $100k"
"WoodallRob Woodall (R)","$1237369","$44165","3.57%","Raised over $100k"
"RuppersbergerDutch Ruppersberger (D)","$1009013","$35540","3.52%","Raised over $100k"
"StewartChris Stewart (R)","$971130","$34038","3.51%","Raised over $100k"
"WalorskiJackie Walorski (R)","$2889929","$100586","3.48%","Raised over $100k"
"FortenberryJeff Fortenberry (R)","$762133","$26373","3.46%","Raised over $100k"
"CarsonAndre Carson (D)","$991930","$34017","3.43%","Raised over $100k"
"GottheimerJosh Gottheimer (D)","$6830942","$233878","3.42%","Raised over $100k"
"BishopMike Bishop (R)","$3385093","$115589","3.41%","Raised over $100k"
"BluntRoy Blunt (R)","$16251752","$552660","3.40%","Raised over $100k"
"CarperTom Carper (D)","$4262961","$144958","3.40%","Raised over $100k"
"QuigleyMike Quigley (D)","$1328976","$45122","3.40%","Raised over $100k"
"MengGrace Meng (D)","$1328553","$44884","3.38%","Raised over $100k"
"HultgrenRandy Hultgren (R)","$2218155","$74731","3.37%","Raised over $100k"
"LeahyPatrick Leahy (D)","$4940984","$166387","3.37%","Raised over $100k"
"ReedJack Reed (D)","$4408613","$146822","3.33%","Raised over $100k"
"KnightSteve Knight (R)","$2573689","$85274","3.31%","Raised over $100k"
"TurnerMichael R Turner (R)","$1227261","$40443","3.30%","Raised over $100k"
"MenendezRobert Menendez (D)","$12271086","$401787","3.27%","Raised over $100k"
"SmithLamar Smith (R)","$563771","$18178","3.22%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$1166215","$37351","3.20%","Raised over $100k"
"PaulsenErik Paulsen (R)","$5778480","$184181","3.19%","Raised over $100k"
"HuizengaBill Huizenga (R)","$2136543","$67811","3.17%","Raised over $100k"
"KatkoJohn Katko (R)","$2760682","$86971","3.15%","Raised over $100k"
"BiggsAndy Biggs (R)","$611114","$19150","3.13%","Raised over $100k"
"CollinsDoug Collins (R)","$1408230","$44052","3.13%","Raised over $100k"
"DeutchTed Deutch (D)","$1278145","$39273","3.07%","Raised over $100k"
"BabinBrian Babin (R)","$1158533","$35510","3.07%","Raised over $100k"
"IsaksonJohnny Isakson (R)","$10762336","$328429","3.05%","Raised over $100k"
"HastingsAlcee L Hastings (D)","$789051","$24061","3.05%","Raised over $100k"
"ScottTim Scott (R)","$14334118","$431272","3.01%","Raised over $100k"
"FitzpatrickBrian Fitzpatrick (R)","$3383112","$101693","3.01%","Raised over $100k"
"CardinBen Cardin (D)","$5071964","$150055","2.96%","Raised over $100k"
"HillFrench Hill (R)","$2934565","$86124","2.93%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1115717","$32361","2.90%","Raised over $100k"
"SchraderKurt Schrader (D)","$2062382","$59700","2.89%","Raised over $100k"
"DonovanDan Donovan (R)","$2572458","$74300","2.89%","Raised over $100k"
"LoweyNita M Lowey (D)","$1602207","$46142","2.88%","Raised over $100k"
"LangevinJim Langevin (D)","$1135330","$32470","2.86%","Raised over $100k"
"SablanGregorio Sablan (I)","$114633","$3245","2.83%","Raised over $100k"
"CooperJim Cooper (D)","$522078","$14770","2.83%","Raised over $100k"
"FergusonDrew Ferguson (R)","$1248869","$35332","2.83%","Raised over $100k"
"SuozziTom Suozzi (D)","$2693877","$74759","2.78%","Raised over $100k"
"ReedTom Reed (R)","$3440005","$95012","2.76%","Raised over $100k"
"KennedyJohn Kennedy (R)","$9029283","$245081","2.71%","Raised over $100k"
"WeberRandy Weber (R)","$776543","$20967","2.70%","Raised over $100k"
"MoolenaarJohn Moolenaar (R)","$1168833","$31384","2.69%","Raised over $100k"
"PerdueDavid Perdue (R)","$16971655","$455500","2.68%","Raised over $100k"
"JohnsonBill Johnson (R)","$1878827","$50382","2.68%","Raised over $100k"
"JenkinsEvan Jenkins (R)","$1305532","$34864","2.67%","Raised over $100k"
