"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"JindalBobby Jindal (R)","$4369","$4369","100.00%","Raised less than $100k"
"KucinichDennis J Kucinich (D)","$2408616","$1500530","62.30%","Raised over $100k"
"FeingoldRuss Feingold (D)","$15231659","$8508652","55.86%","Raised over $100k"
"SandersBernie Sanders (I)","$5720662","$3134128","54.79%","Raised over $100k"
"AndrewsRobert E Andrews (D)","$3629256","$1913049","52.71%","Raised over $100k"
"SmithChris Smith (R)","$928729","$416725","44.87%","Raised over $100k"
"ByrdRobert C Byrd (D)","$5182959","$2184186","42.14%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$1471567","$613199","41.67%","Raised over $100k"
"JeffersonWilliam J Jefferson (D)","$350862","$132034","37.63%","Raised over $100k"
"MusgraveMarilyn Musgrave (R)","$2862907","$966058","33.74%","Raised over $100k"
"BoxerBarbara Boxer (D)","$19731300","$6538753","33.14%","Raised over $100k"
"McCarthyCarolyn McCarthy (D)","$1336619","$441459","33.03%","Raised over $100k"
"BurtonDan Burton (R)","$1417754","$467789","33.00%","Raised over $100k"
"EdwardsDonna Edwards (D)","$1457357","$479400","32.90%","Raised over $100k"
"MikulskiBarbara A Mikulski (D)","$7412153","$2431539","32.80%","Raised over $100k"
"MurrayPatty Murray (D)","$15443226","$4993537","32.33%","Raised over $100k"
"WebbJim Webb (D)","$8928271","$2886039","32.32%","Raised over $100k"
"ThuneJohn Thune (R)","$22226130","$7051058","31.72%","Raised over $100k"
"CantwellMaria Cantwell (D)","$16483941","$5188801","31.48%","Raised over $100k"
"FeinsteinDianne Feinstein (D)","$11586703","$3522852","30.40%","Raised over $100k"
"TesterJon Tester (D)","$5948193","$1758530","29.56%","Raised over $100k"
"BachmannMichele Bachmann (R)","$3494045","$994609","28.47%","Raised over $100k"
"DoleElizabeth Dole (R)","$19508712","$5547061","28.43%","Raised over $100k"
"RehbergDenny Rehberg (R)","$1164171","$326092","28.01%","Raised over $100k"
"ClintonHillary Clinton (D)","$50597582","$14062864","27.79%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$479866","$131998","27.51%","Raised over $100k"
"KennedyEdward M Kennedy (D)","$12035128","$3296286","27.39%","Raised over $100k"
"GoodeVirgil H Goode Jr (R)","$1797226","$490093","27.27%","Raised over $100k"
"PlattsTodd Platts (R)","$214284","$57496","26.83%","Raised over $100k"
"WexlerRobert Wexler (D)","$2908098","$769049","26.45%","Raised over $100k"
"CaseyBob Casey (D)","$18749758","$4934820","26.32%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$10303313","$2694670","26.15%","Raised over $100k"
"KingSteven A King (R)","$1023904","$262996","25.69%","Raised over $100k"
"Shea-PorterCarol Shea-Porter (D)","$1543513","$383825","24.87%","Raised over $100k"
"McCainJohn McCain (R)","$6884391","$1680340","24.41%","Raised over $100k"
"LevinCarl Levin (D)","$8632073","$2051547","23.77%","Raised over $100k"
"TancredoTom Tancredo (R)","$20516","$4870","23.74%","Raised less than $100k"
"HincheyMaurice Hinchey (D)","$698167","$165123","23.65%","Raised over $100k"
"KildeeDale E Kildee (D)","$606568","$143290","23.62%","Raised over $100k"
"WalzTim Walz (D)","$2729819","$635815","23.29%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$12397338","$2861483","23.08%","Raised over $100k"
"BrounPaul Broun Jr (R)","$1726314","$396709","22.98%","Raised over $100k"
"HayesRobin Hayes (R)","$3768678","$861625","22.86%","Raised over $100k"
"Brown-WaiteGinny Brown-Waite (R)","$722174","$161444","22.36%","Raised over $100k"
"GilchrestWayne T Gilchrest (R)","$710612","$150577","21.19%","Raised over $100k"
"AllenTom H Allen (D)","$5998773","$1267267","21.13%","Raised over $100k"
"AnnDeborah Ann Stabenow (D)","$13103330","$2685020","20.49%","Raised over $100k"
"UdallMark Udall (D)","$11667048","$2380146","20.40%","Raised over $100k"
"VitterDavid Vitter (R)","$11018531","$2246006","20.38%","Raised over $100k"
"DavisGeoff Davis (R)","$2100351","$417042","19.86%","Raised over $100k"
"McGovernJames P McGovern (D)","$1085779","$209475","19.29%","Raised over $100k"
"PearceSteve Pearce (R)","$4690979","$904877","19.29%","Raised over $100k"
"IssaDarrell Issa (R)","$1035312","$199111","19.23%","Raised over $100k"
"GalleglyElton Gallegly (R)","$743200","$142810","19.22%","Raised over $100k"
"HarkinTom Harkin (D)","$9179122","$1749999","19.06%","Raised over $100k"
"MoranJerry Moran (R)","$1745101","$332039","19.03%","Raised over $100k"
"RenziRick Renzi (R)","$185823","$35318","19.01%","Raised over $100k"
"SchakowskyJan Schakowsky (D)","$1408942","$264748","18.79%","Raised over $100k"
"EllisonKeith Ellison (D)","$1530396","$287503","18.79%","Raised over $100k"
"MillerJeff Miller (R)","$360055","$66888","18.58%","Raised over $100k"
"CoburnTom Coburn (R)","$5665660","$1046884","18.48%","Raised over $100k"
"WoolseyLynn Woolsey (D)","$732486","$134067","18.30%","Raised over $100k"
"McCollumBetty McCollum (D)","$722054","$131721","18.24%","Raised over $100k"
