"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"BonoMary Bono Mack (R)","$1795640","$320947","17.87%","Raised over $100k"
"HoltRush Holt (D)","$1181465","$210984","17.86%","Raised over $100k"
"GiffordsGabrielle Giffords (D)","$3303130","$588929","17.83%","Raised over $100k"
"InhofeJames M Inhofe (R)","$6484560","$1144890","17.66%","Raised over $100k"
"GrijalvaRaul M Grijalva (D)","$708514","$124518","17.57%","Raised over $100k"
"SnyderVic Snyder (D)","$301981","$51596","17.09%","Raised over $100k"
"WolfFrank Wolf (R)","$2051358","$346747","16.90%","Raised over $100k"
"JohnsonTimothy V Johnson (R)","$321390","$53504","16.65%","Raised over $100k"
"LeeBarbara Lee (D)","$1051437","$174933","16.64%","Raised over $100k"
"BrownbackSam Brownback (R)","$3057152","$507333","16.59%","Raised over $100k"
"BrownSherrod Brown (D)","$10737475","$1767220","16.46%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$1442687","$233382","16.18%","Raised over $100k"
"PaulRon Paul (R)","$5014283","$807951","16.11%","Raised over $100k"
"BoydaNancy Boyda (D)","$1726192","$276130","16.00%","Raised over $100k"
"McDermottJim McDermott (D)","$614932","$97969","15.93%","Raised over $100k"
"McNerneyJerry McNerney (D)","$3047771","$482480","15.83%","Raised over $100k"
"RogersMike Rogers (R)","$1384974","$217430","15.70%","Raised over $100k"
"WilsonHeather A Wilson (R)","$2608446","$406066","15.57%","Raised over $100k"
"CappsLois Capps (D)","$1054974","$162923","15.44%","Raised over $100k"
"LathamTom Latham (R)","$1573136","$238781","15.18%","Raised over $100k"
"WeldonDave Weldon (R)","$329540","$49339","14.97%","Raised over $100k"
"LinderJohn Linder (R)","$581976","$86910","14.93%","Raised over $100k"
"LaHoodRay LaHood (R)","$237485","$35046","14.76%","Raised over $100k"
"ThompsonMike Thompson (D)","$1916753","$276756","14.44%","Raised over $100k"
"KlineJohn Kline (R)","$1464906","$208526","14.23%","Raised over $100k"
"SaliBill Sali (R)","$1178118","$167212","14.19%","Raised over $100k"
"SaxtonJim Saxton (R)","$256965","$36096","14.05%","Raised over $100k"
"SouderMark E Souder (R)","$1077170","$150580","13.98%","Raised over $100k"
"DeFazioPeter DeFazio (D)","$729421","$101707","13.94%","Raised over $100k"
"ColemanNorm Coleman (R)","$23673308","$3291421","13.90%","Raised over $100k"
"TierneyJohn F Tierney (D)","$735813","$101000","13.73%","Raised over $100k"
"SmithGordon H Smith (R)","$13297429","$1822720","13.71%","Raised over $100k"
"LeahyPatrick Leahy (D)","$3399414","$456845","13.44%","Raised over $100k"
"SestakJoe Sestak (D)","$3889073","$520089","13.37%","Raised over $100k"
"LambornDouglas L Lamborn (R)","$611755","$80584","13.17%","Raised over $100k"
"NelsonBill Nelson (D)","$17709866","$2328064","13.15%","Raised over $100k"
"HarePhil Hare (D)","$896347","$117178","13.07%","Raised over $100k"
"WalbergTim Walberg (R)","$2112214","$271265","12.84%","Raised over $100k"
"AkakaDaniel K Akaka (D)","$2904294","$372042","12.81%","Raised over $100k"
"BartlettRoscoe G Bartlett (R)","$323051","$41256","12.77%","Raised over $100k"
"FoxxVirginia Foxx (R)","$1096759","$139254","12.70%","Raised over $100k"
"CourtneyJoe Courtney (D)","$2370575","$299644","12.64%","Raised over $100k"
"LattaBob Latta (R)","$1911371","$241494","12.63%","Raised over $100k"
"ManzulloDon Manzullo (R)","$1352576","$170868","12.63%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$1246326","$156072","12.52%","Raised over $100k"
"LugarRichard G Lugar (R)","$5432435","$678961","12.50%","Raised over $100k"
"FilnerBob Filner (D)","$990586","$123757","12.49%","Raised over $100k"
"FarrSam Farr (D)","$743122","$91631","12.33%","Raised over $100k"
"HersethStephanie Herseth Sandlin (D)","$1456448","$179497","12.32%","Raised over $100k"
"UdallTom Udall (D)","$7447684","$907540","12.19%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$2136760","$260200","12.18%","Raised over $100k"
"MitchellHarry E Mitchell (D)","$2437569","$291556","11.96%","Raised over $100k"
"HooleyDarlene Hooley (D)","$626285","$74678","11.92%","Raised over $100k"
"RoskamPeter Roskam (R)","$2659880","$316178","11.89%","Raised over $100k"
"JohnsonTim Johnson (D)","$6423536","$751648","11.70%","Raised over $100k"
"TsongasNiki Tsongas (D)","$3292898","$383097","11.63%","Raised over $100k"
"KagenSteve Kagen (D)","$2129039","$246179","11.56%","Raised over $100k"
"SchmidtJean Schmidt (R)","$1289300","$148971","11.55%","Raised over $100k"
"HoekstraPeter Hoekstra (R)","$742940","$85621","11.52%","Raised over $100k"
"WittmanRob Wittman (R)","$998593","$114714","11.49%","Raised over $100k"
"GarrettScott Garrett (R)","$1550008","$175757","11.34%","Raised over $100k"
"FranksTrent Franks (R)","$485040","$54927","11.32%","Raised over $100k"
"FortenberryJeff Fortenberry (R)","$725529","$81766","11.27%","Raised over $100k"
"HastingsDoc Hastings (R)","$615270","$69220","11.25%","Raised over $100k"
"ColeTom Cole (R)","$1123657","$125637","11.18%","Raised over $100k"
"PetersonJohn E Peterson (R)","$278121","$31008","11.15%","Raised over $100k"
"BordalloMadeleine Z Bordallo (D)","$262275","$29105","11.10%","Raised over $100k"
"ShimkusJohn Shimkus (R)","$1333108","$147576","11.07%","Raised over $100k"
"VoinovichGeorge V Voinovich (R)","$10655260","$1174862","11.03%","Raised over $100k"
"CastorKathy Castor (D)","$631095","$69382","10.99%","Raised over $100k"
"MurphyPatrick J Murphy (D)","$3964703","$435792","10.99%","Raised over $100k"
"ReidHarry Reid (D)","$12451645","$1368594","10.99%","Raised over $100k"
"FallinMary Fallin (R)","$1140478","$124064","10.88%","Raised over $100k"
"GrahamLindsey Graham (R)","$9713500","$1056228","10.87%","Raised over $100k"
"WelchPeter Welch (D)","$954510","$103468","10.84%","Raised over $100k"
"FlakeJeff Flake (R)","$1289321","$139424","10.81%","Raised over $100k"
"ForbesRandy Forbes (R)","$729040","$77468","10.63%","Raised over $100k"
"BurrRichard Burr (R)","$13741194","$1450374","10.55%","Raised over $100k"
"StupakBart Stupak (D)","$1326898","$139471","10.51%","Raised over $100k"
"RyanPaul Ryan (R)","$1653204","$171733","10.39%","Raised over $100k"
"ReichertDave Reichert (R)","$2855897","$295741","10.36%","Raised over $100k"
"BishopTimothy H Bishop (D)","$1391804","$143279","10.29%","Raised over $100k"
"HallJohn Hall (D)","$2234776","$229699","10.28%","Raised over $100k"
"MillerCandice S Miller (R)","$835527","$85036","10.18%","Raised over $100k"
"MillerBrad Miller (D)","$948618","$96540","10.18%","Raised over $100k"
"EhlersVernon J Ehlers (R)","$413365","$42058","10.17%","Raised over $100k"
"HigginsBrian Higgins (D)","$1088825","$110699","10.17%","Raised over $100k"
"GrassleyChuck Grassley (R)","$7593423","$770149","10.14%","Raised over $100k"
"KingPete King (R)","$1791786","$178559","9.97%","Raised over $100k"
"SalazarKen Salazar (D)","$13464865","$1340967","9.96%","Raised over $100k"
"ShulerHeath Shuler (D)","$1670728","$166052","9.94%","Raised over $100k"
"CardinBen Cardin (D)","$9337198","$925848","9.92%","Raised over $100k"
"MooreDennis Moore (D)","$1864356","$184313","9.89%","Raised over $100k"
"WaldenGreg Walden (R)","$1582984","$156215","9.87%","Raised over $100k"
"PriceDavid Price (D)","$1152754","$113598","9.85%","Raised over $100k"
"GoodlatteBob Goodlatte (R)","$1407767","$138518","9.84%","Raised over $100k"
"FeeneyTom Feeney (R)","$2143602","$209403","9.77%","Raised over $100k"
"HEni F H Faleomavaega (D)","$119020","$11570","9.72%","Raised over $100k"
"HagelChuck Hagel (R)","$1271056","$123299","9.70%","Raised over $100k"
"DrakeThelma Drake (R)","$2043585","$198171","9.70%","Raised over $100k"
"ScottBobby Scott (D)","$525140","$50807","9.67%","Raised over $100k"
"DeMintJames W DeMint (R)","$12490824","$1199066","9.60%","Raised over $100k"
"LarsonJohn Larson (D)","$1606567","$153439","9.55%","Raised over $100k"
"DentCharlie Dent (R)","$1881014","$173568","9.23%","Raised over $100k"
"BarrettGresham Barrett (R)","$1182187","$108638","9.19%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$4649651","$425752","9.16%","Raised over $100k"
"LevinSander Levin (D)","$725438","$66368","9.15%","Raised over $100k"
"McCotterThad McCotter (R)","$1133906","$102759","9.06%","Raised over $100k"
"SessionsJeff Sessions (R)","$6370595","$574951","9.03%","Raised over $100k"
"TurnerMichael R Turner (R)","$1211637","$109164","9.01%","Raised over $100k"
"MooreGwen Moore (D)","$546188","$49204","9.01%","Raised over $100k"
"RobertsPat Roberts (R)","$6506851","$583843","8.97%","Raised over $100k"
"CornynJohn Cornyn (R)","$19326337","$1732596","8.96%","Raised over $100k"
"BlumenauerEarl Blumenauer (D)","$1181680","$105870","8.96%","Raised over $100k"
"ArcuriMike Arcuri (D)","$1612038","$144132","8.94%","Raised over $100k"
"FrankBarney Frank (D)","$2202677","$196800","8.93%","Raised over $100k"
"FossellaVito Fossella (R)","$1025052","$90188","8.80%","Raised over $100k"
"DoolittleJohn T Doolittle (R)","$407668","$35703","8.76%","Raised over $100k"
"SmithAdrian Smith (R)","$806088","$70359","8.73%","Raised over $100k"
"FosterBill Foster (D)","$4917715","$426132","8.67%","Raised over $100k"
"Christian-ChristensenDonna Christian-Christensen (D)","$233098","$20128","8.63%","Raised over $100k"
"StearnsCliff Stearns (R)","$806444","$69635","8.63%","Raised over $100k"
"RadanovichGeorge Radanovich (R)","$728770","$62810","8.62%","Raised over $100k"
"DavisDavid Davis (R)","$704379","$60442","8.58%","Raised over $100k"
"WilsonJoe Wilson (R)","$1161187","$99415","8.56%","Raised over $100k"
"AnnJo Ann Emerson (R)","$1246268","$106326","8.53%","Raised over $100k"
"PetersonCollin C Peterson (D)","$1218264","$103816","8.52%","Raised over $100k"
"KapturMarcy Kaptur (D)","$640879","$54606","8.52%","Raised over $100k"
"MurphyChris Murphy (D)","$3080818","$261992","8.50%","Raised over $100k"
"BilirakisGus Bilirakis (R)","$1494533","$126842","8.49%","Raised over $100k"
"HoldenTim Holden (D)","$1038657","$88004","8.47%","Raised over $100k"
"MackConnie Mack (R)","$1293054","$109151","8.44%","Raised over $100k"
"PetriTom Petri (R)","$769225","$63917","8.31%","Raised over $100k"
"SpeierJackie Speier (D)","$1564736","$129674","8.29%","Raised over $100k"
"BacaJoe Baca (D)","$941695","$77739","8.26%","Raised over $100k"
"ChamblissSaxby Chambliss (R)","$18346273","$1508750","8.22%","Raised over $100k"
"BradyRobert A Brady (D)","$764048","$62470","8.18%","Raised over $100k"
"SchiffAdam Schiff (D)","$1190021","$96128","8.08%","Raised over $100k"
"HodesPaul W Hodes (D)","$2026760","$163711","8.08%","Raised over $100k"
"CobleHoward Coble (R)","$569684","$46011","8.08%","Raised over $100k"
"MurthaJohn P Murtha (D)","$3523106","$283787","8.06%","Raised over $100k"
"CarneyChris Carney (D)","$2348306","$187509","7.98%","Raised over $100k"
"MooreShelley Moore Capito (R)","$2217688","$175228","7.90%","Raised over $100k"
"""Kit""Christopher ""Kit"" Bond (R)","$9744974","$769376","7.90%","Raised over $100k"
"WalshJames T Walsh (R)","$796854","$62593","7.86%","Raised over $100k"
"ThornberryMac Thornberry (R)","$778206","$60773","7.81%","Raised over $100k"
"EllsworthBrad Ellsworth (D)","$1571814","$122506","7.79%","Raised over $100k"
"RahallNick Rahall (D)","$794933","$61922","7.79%","Raised over $100k"
"LucasFrank D Lucas (R)","$543187","$42294","7.79%","Raised over $100k"
"CastleMichael N Castle (R)","$1480591","$115010","7.77%","Raised over $100k"
"MicaJohn L Mica (R)","$1125803","$87186","7.74%","Raised over $100k"
"CulbersonJohn Culberson (R)","$1747989","$135346","7.74%","Raised over $100k"
"BarrassoJohn A Barrasso (R)","$2585977","$199331","7.71%","Raised over $100k"
"MatsuiDoris O Matsui (D)","$964536","$73750","7.65%","Raised over $100k"
"KennedyPatrick J Kennedy (D)","$1496417","$114298","7.64%","Raised over $100k"
"KnollenbergJoe Knollenberg (R)","$3774155","$288214","7.64%","Raised over $100k"
"DurbinDick Durbin (D)","$11317550","$861793","7.61%","Raised over $100k"
"ClarkeYvette D Clarke (D)","$534750","$40478","7.57%","Raised over $100k"
"KindRon Kind (D)","$1301638","$98146","7.54%","Raised over $100k"
"ConradKent Conrad (D)","$6284154","$472721","7.52%","Raised over $100k"
"PriceTom Price (R)","$1603701","$120574","7.52%","Raised over $100k"
"WellerJerry Weller (R)","$504298","$37890","7.51%","Raised over $100k"
"LoebsackDavid Loebsack (D)","$887184","$66623","7.51%","Raised over $100k"
"DavisTom Davis (R)","$1653251","$123030","7.44%","Raised over $100k"
"RohrabacherDana Rohrabacher (R)","$746799","$55344","7.41%","Raised over $100k"
"WatsonDiane E Watson (D)","$233831","$17265","7.38%","Raised over $100k"
"KellerRic Keller (R)","$1619406","$119251","7.36%","Raised over $100k"
"RodriguezCiro D Rodriguez (D)","$2347718","$172699","7.36%","Raised over $100k"
"GohmertLouis B Gohmert Jr (R)","$888649","$64850","7.30%","Raised over $100k"
"SullivanJohn Sullivan (R)","$1093526","$79614","7.28%","Raised over $100k"
"IsaksonJohnny Isakson (R)","$10626476","$770868","7.25%","Raised over $100k"
"OlverJohn W Olver (D)","$817743","$59081","7.22%","Raised over $100k"
"TownsEdolphus Towns (D)","$1545288","$111479","7.21%","Raised over $100k"
"BorenDan Boren (D)","$1748479","$126049","7.21%","Raised over $100k"
"BunningJim Bunning (R)","$5615750","$403586","7.19%","Raised over $100k"
"ShadeggJohn Shadegg (R)","$2892553","$207368","7.17%","Raised over $100k"
"BoozmanJohn Boozman (R)","$396807","$28440","7.17%","Raised over $100k"
"WhitehouseSheldon Whitehouse (D)","$7007123","$496813","7.09%","Raised over $100k"
"McHenryPatrick McHenry (R)","$1525720","$107610","7.05%","Raised over $100k"
"HillBaron Hill (D)","$2151725","$150108","6.98%","Raised over $100k"
"SpaceZachary Space (D)","$2265350","$157697","6.96%","Raised over $100k"
"BerryMarion Berry (D)","$1166377","$80979","6.94%","Raised over $100k"
"DomeniciPete V Domenici (R)","$2817150","$195514","6.94%","Raised over $100k"
"HolmesEleanor Holmes Norton (D)","$446781","$30928","6.92%","Raised over $100k"
"SiresAlbio Sires (D)","$993228","$68729","6.92%","Raised over $100k"
"PomeroyEarl Pomeroy (D)","$2090272","$143277","6.85%","Raised over $100k"
"KylJon L Kyl (R)","$15679167","$1065802","6.80%","Raised over $100k"
"HatchOrrin G Hatch (R)","$7029385","$474858","6.76%","Raised over $100k"
"SalazarJohn Salazar (D)","$1335166","$90084","6.75%","Raised over $100k"
"ObeyDavid R Obey (D)","$1749164","$117869","6.74%","Raised over $100k"
"PoeTed Poe (R)","$800692","$53570","6.69%","Raised over $100k"
"MurphyTim Murphy (R)","$1825275","$122058","6.69%","Raised over $100k"
"BilbrayBrian P Bilbray (R)","$1366324","$91162","6.67%","Raised over $100k"
"JordanJim Jordan (R)","$950218","$63339","6.67%","Raised over $100k"
"MartinezMel Martinez (R)","$16123949","$1068344","6.63%","Raised over $100k"
"BraleyBruce Braley (D)","$1150967","$75640","6.57%","Raised over $100k"
"JohnsonSam Johnson (R)","$1213670","$79724","6.57%","Raised over $100k"
"RamstadJim Ramstad (R)","$543477","$35634","6.56%","Raised over $100k"
"LynchStephen Lynch (D)","$1066677","$69827","6.55%","Raised over $100k"
"AkinTodd Akin (R)","$966369","$63076","6.53%","Raised over $100k"
"SmithLamar Smith (R)","$1242140","$80675","6.49%","Raised over $100k"
"WuDavid Wu (D)","$1029675","$66727","6.48%","Raised over $100k"
"MyrickSue Myrick (R)","$1198840","$76924","6.42%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$554095","$35435","6.40%","Raised over $100k"
"MurkowskiLisa Murkowski (R)","$6319964","$403629","6.39%","Raised over $100k"
"KirkMark Kirk (R)","$5451604","$343019","6.29%","Raised over $100k"
"HergerWally Herger (R)","$970055","$60997","6.29%","Raised over $100k"
"ShaysChristopher Shays (R)","$3774740","$236100","6.25%","Raised over $100k"
"SkeltonIke Skelton (D)","$1127899","$70493","6.25%","Raised over $100k"
"WickerRoger Wicker (R)","$5969342","$368091","6.17%","Raised over $100k"
"PenceMike Pence (R)","$1612797","$99367","6.16%","Raised over $100k"
"RyanTim Ryan (D)","$1360624","$83745","6.15%","Raised over $100k"
"TiahrtTodd Tiahrt (R)","$1334556","$82087","6.15%","Raised over $100k"
"GerlachJim Gerlach (R)","$2370625","$143850","6.07%","Raised over $100k"
"TerryLee Terry (R)","$1746226","$105358","6.03%","Raised over $100k"
"FrelinghuysenRodney Frelinghuysen (R)","$1084231","$65236","6.02%","Raised over $100k"
"RossMike Ross (D)","$1791656","$107674","6.01%","Raised over $100k"
"InglisBob Inglis (R)","$454141","$27102","5.97%","Raised over $100k"
"InsleeJay Inslee (D)","$1033928","$61274","5.93%","Raised over $100k"
"SnoweOlympia J Snowe (R)","$3825204","$226264","5.92%","Raised over $100k"
"LincolnBlanche Lincoln (D)","$6922733","$409350","5.91%","Raised over $100k"
"SimpsonMike Simpson (R)","$707482","$41580","5.88%","Raised over $100k"
"RogersMike D Rogers (R)","$1471800","$86316","5.86%","Raised over $100k"
"ConawayMike Conaway (R)","$1137066","$66547","5.85%","Raised over $100k"
"UptonFred Upton (R)","$1413946","$82678","5.85%","Raised over $100k"
"CostelloJerry F Costello (D)","$1475768","$86241","5.84%","Raised over $100k"
"JonesWalter B Jones Jr (R)","$670132","$39103","5.84%","Raised over $100k"
"EverettTerry Everett (R)","$268320","$15656","5.83%","Raised over $100k"
"KuhlJohn R Kuhl Jr (R)","$1501071","$87542","5.83%","Raised over $100k"
"BeanMelissa Bean (D)","$3107765","$179285","5.77%","Raised over $100k"
"CarterJohn Carter (R)","$947701","$54551","5.76%","Raised over $100k"
"InouyeDaniel K Inouye (D)","$4388673","$250054","5.70%","Raised over $100k"
"GravesSam Graves (R)","$2626310","$149425","5.69%","Raised over $100k"
"SmithAdam Smith (D)","$648477","$36708","5.66%","Raised over $100k"
"MichaudMike Michaud (D)","$792499","$44823","5.66%","Raised over $100k"
"NapolitanoGrace Napolitano (D)","$425757","$23982","5.63%","Raised over $100k"
"AltmireJason Altmire (D)","$2945099","$165780","5.63%","Raised over $100k"
"McConnellMitch McConnell (R)","$20991678","$1181265","5.63%","Raised over $100k"
"Ros-LehtinenIleana Ros-Lehtinen (R)","$1834650","$102679","5.60%","Raised over $100k"
"LandrieuMary L Landrieu (D)","$11304952","$629785","5.57%","Raised over $100k"
"BuyerSteve Buyer (R)","$870667","$48495","5.57%","Raised over $100k"
"ChabotSteve Chabot (R)","$2349745","$129730","5.52%","Raised over $100k"
"BaileyKay Bailey Hutchison (R)","$10926075","$597546","5.47%","Raised over $100k"
"HensarlingJeb Hensarling (R)","$1598453","$87410","5.47%","Raised over $100k"
"CohenSteve Cohen (D)","$1238073","$67420","5.45%","Raised over $100k"
"ChildersTravis W Childers (D)","$1851648","$100694","5.44%","Raised over $100k"
"EtheridgeBob Etheridge (D)","$1270858","$69019","5.43%","Raised over $100k"
"BoehnerJohn Boehner (R)","$5161985","$280159","5.43%","Raised over $100k"
"WampZach Wamp (R)","$1239746","$66780","5.39%","Raised over $100k"
"GrangerKay Granger (R)","$1380779","$74364","5.39%","Raised over $100k"
"CarsonAndre Carson (D)","$1652313","$88836","5.38%","Raised over $100k"
"SolisHilda L Solis (D)","$800763","$42796","5.34%","Raised over $100k"
"LoBiondoFrank A LoBiondo (R)","$1365485","$72911","5.34%","Raised over $100k"
"LungrenDan Lungren (R)","$904196","$48276","5.34%","Raised over $100k"
"BoswellLeonard L Boswell (D)","$1537390","$81467","5.30%","Raised over $100k"
"CrenshawAnder Crenshaw (R)","$681603","$36055","5.29%","Raised over $100k"
"CardozaDennis Cardoza (D)","$1042839","$54712","5.25%","Raised over $100k"
"HondaMike Honda (D)","$983449","$51567","5.24%","Raised over $100k"
"CampDave Camp (R)","$2237726","$116602","5.21%","Raised over $100k"
"BingamanJeff Bingaman (D)","$4254620","$221103","5.20%","Raised over $100k"
"PerlmutterEdwin G Perlmutter (D)","$1770087","$91538","5.17%","Raised over $100k"
"ChandlerBen Chandler (D)","$1034153","$52492","5.08%","Raised over $100k"
"DavisSusan Davis (D)","$591715","$29385","4.97%","Raised over $100k"
"BairdBrian Baird (D)","$741621","$36529","4.93%","Raised over $100k"
"EnglishPhil English (R)","$2659966","$130835","4.92%","Raised over $100k"
"PastorEd Pastor (D)","$1174759","$57259","4.87%","Raised over $100k"
"LangevinJim Langevin (D)","$804924","$39185","4.87%","Raised over $100k"
"HironoMazie K Hirono (D)","$1230402","$59671","4.85%","Raised over $100k"
"HulshofKenny Hulshof (R)","$445432","$21513","4.83%","Raised over $100k"
"LoweyNita M Lowey (D)","$1394481","$67204","4.82%","Raised over $100k"
"MillerGeorge Miller (D)","$1155882","$55143","4.77%","Raised over $100k"
"DavisLincoln Davis (D)","$1062420","$50636","4.77%","Raised over $100k"
"DonnellyJoe Donnelly (D)","$1846892","$87610","4.74%","Raised over $100k"
"DorganByron L Dorgan (D)","$4383323","$206156","4.70%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1150661","$53953","4.69%","Raised over $100k"
"AderholtRobert B Aderholt (R)","$666973","$31192","4.68%","Raised over $100k"
"McCarthyKevin McCarthy (R)","$1040018","$48607","4.67%","Raised over $100k"
"YoungDon Young (R)","$1407578","$65675","4.67%","Raised over $100k"
"CalvertKen Calvert (R)","$1048730","$48690","4.64%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1151850","$53360","4.63%","Raised over $100k"
"CantorEric Cantor (R)","$3990894","$183394","4.60%","Raised over $100k"
"LampsonNick Lampson (D)","$2299794","$105377","4.58%","Raised over $100k"
"SchwartzAllyson Schwartz (D)","$3161116","$144774","4.58%","Raised over $100k"
"CapuanoMichael E Capuano (D)","$1087336","$49747","4.58%","Raised over $100k"
"LarsenRick Larsen (D)","$1336438","$61025","4.57%","Raised over $100k"
"BiggertJudy Biggert (R)","$1424178","$64381","4.52%","Raised over $100k"
"EdwardsChet Edwards (D)","$2267333","$102066","4.50%","Raised over $100k"
"ReedJack Reed (D)","$4735246","$213069","4.50%","Raised over $100k"
"LewisRon Lewis (R)","$582463","$25959","4.46%","Raised over $100k"
"MenendezRobert Menendez (D)","$14241214","$632400","4.44%","Raised over $100k"
"CollinsSusan Collins (R)","$8039750","$354315","4.41%","Raised over $100k"
"ReynoldsTom Reynolds (R)","$1305991","$57254","4.38%","Raised over $100k"
"MathesonJim Matheson (D)","$1789766","$78156","4.37%","Raised over $100k"
"KingstonJack Kingston (R)","$968547","$42281","4.37%","Raised over $100k"
