"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"BachmannMichele Bachmann (R)","$678666","$578747","85.28%","Raised over $100k"
"SandersBernie Sanders (I)","$8173915","$4958422","60.66%","Raised over $100k"
"GraysonAlan Grayson (D)","$3105576","$1755295","56.52%","Raised over $100k"
"McCarthyCarolyn McCarthy (D)","$744688","$394806","53.02%","Raised over $100k"
"WassermanDebbie Wasserman Schultz (D)","$2577292","$1220777","47.37%","Raised over $100k"
"WarrenElizabeth Warren (D)","$45964247","$21540833","46.86%","Raised over $100k"
"PaulRand Paul (R)","$14009888","$6067772","43.31%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$16007429","$6842765","42.75%","Raised over $100k"
"EllisonKeith Ellison (D)","$2090932","$853241","40.81%","Raised over $100k"
"FrankenAl Franken (D)","$30770856","$12274969","39.89%","Raised over $100k"
"RubioMarco Rubio (R)","$30554421","$10321479","33.78%","Raised over $100k"
"McClintockTom McClintock (R)","$1593896","$518505","32.53%","Raised over $100k"
"BratDave Brat (R)","$1469113","$474775","32.32%","Raised over $100k"
"MerkleyJeff Merkley (D)","$12018377","$3657903","30.44%","Raised over $100k"
"BrownSherrod Brown (D)","$25406082","$7727033","30.41%","Raised over $100k"
"BentivolioKerry Bentivolio (R)","$643851","$185366","28.79%","Raised over $100k"
"KingSteven A King (R)","$2000378","$569507","28.47%","Raised over $100k"
"BoxerBarbara Boxer (D)","$13906926","$3830268","27.54%","Raised over $100k"
"SmithChris Smith (R)","$486141","$131195","26.99%","Raised over $100k"
"PelosiNancy Pelosi (D)","$2926899","$766973","26.20%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$16515174","$4231475","25.62%","Raised over $100k"
"BrounPaul Broun (R)","$1941759","$488746","25.17%","Raised over $100k"
"WolfFrank Wolf (R)","$212500","$52635","24.77%","Raised over $100k"
"IssaDarrell Issa (R)","$3750001","$918447","24.49%","Raised over $100k"
"CantwellMaria Cantwell (D)","$12684881","$3089452","24.36%","Raised over $100k"
"AdamsAlma Adams (D)","$766898","$183996","23.99%","Raised over $100k"
"KirkpatrickAnn Kirkpatrick (D)","$3403186","$811707","23.85%","Raised over $100k"
"HeitkampHeidi Heitkamp (D)","$6530709","$1527592","23.39%","Raised over $100k"
"HuelskampTim Huelskamp (R)","$845472","$188251","22.27%","Raised over $100k"
"StockmanSteve Stockman (R)","$250033","$54759","21.90%","Raised over $100k"
"MurrayPatty Murray (D)","$16694426","$3540432","21.21%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$21055467","$4462411","21.19%","Raised over $100k"
"AmashJustin Amash (R)","$1800541","$381472","21.19%","Raised over $100k"
"HironoMazie K Hirono (D)","$6152466","$1277600","20.77%","Raised over $100k"
"HarkinTom Harkin (D)","$2582782","$535360","20.73%","Raised over $100k"
"Shea-PorterCarol Shea-Porter (D)","$1708116","$350404","20.51%","Raised over $100k"
"PingreeChellie Pingree (D)","$435540","$88654","20.36%","Raised over $100k"
