"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"SandersBernie Sanders (I)","$38310351","$26913409","70.25%","Raised over $100k"
"TaylorMarjorie Taylor Greene (R)","$12546634","$8572027","68.32%","Raised over $100k"
"Ocasio-CortezAlexandria Ocasio-Cortez (D)","$12304636","$8326902","67.67%","Raised over $100k"
"GaetzMatt Gaetz (R)","$6384832","$3973659","62.24%","Raised over $100k"
"JordanJim Jordan (R)","$13975653","$8113157","58.05%","Raised over $100k"
"SchiffAdam Schiff (D)","$24993914","$14152934","56.63%","Raised over $100k"
"PorterKatie Porter (D)","$25655727","$14267851","55.61%","Raised over $100k"
"WarrenElizabeth Warren (D)","$37334457","$19960011","53.46%","Raised over $100k"
"DemingsVal Demings (D)","$79502411","$42051703","52.89%","Raised over $100k"
"EllzeyJake Ellzey (R)","$6802674","$3564741","52.40%","Raised over $100k"
"PaulRand Paul (R)","$27751257","$14133287","50.93%","Raised over $100k"
"BushCori Bush (D)","$2408956","$1192645","49.51%","Raised over $100k"
"BiggsAndy Biggs (R)","$2042934","$1006685","49.28%","Raised over $100k"
"PelosiNancy Pelosi (D)","$25070651","$12325626","49.16%","Raised over $100k"
"CrenshawDan Crenshaw (R)","$15380087","$7494686","48.73%","Raised over $100k"
"IssaDarrell Issa (R)","$1375006","$666251","48.45%","Raised over $100k"
"GrahamLindsey Graham (R)","$116814187","$56529465","48.39%","Raised over $100k"
"OssoffJon Ossoff (D)","$164843559","$77138008","46.79%","Raised over $100k"
"MerkleyJeff Merkley (D)","$11943858","$5555336","46.51%","Raised over $100k"
"JacksonRonny Jackson (R)","$4822113","$2218712","46.01%","Raised over $100k"
"BoebertLauren Boebert (R)","$7744744","$3544475","45.77%","Raised over $100k"
"WarnockRaphael Warnock (D)","$180898147","$80955072","44.75%","Raised over $100k"
"PeltolaMary Peltola (D)","$7595108","$3362533","44.27%","Raised over $100k"
"CruzTed Cruz (R)","$66892012","$29385292","43.93%","Raised over $100k"
"DonaldsByron Donalds (R)","$5601598","$2447309","43.69%","Raised over $100k"
"KellyMark Kelly (D)","$89153865","$38607395","43.30%","Raised over $100k"
"KennedyJohn Kennedy (R)","$39406698","$17010409","43.17%","Raised over $100k"
"MastBrian Mast (R)","$6284971","$2611306","41.55%","Raised over $100k"
"DuckworthTammy Duckworth (D)","$20976943","$8703573","41.49%","Raised over $100k"
"CortezCatherine Cortez Masto (D)","$64845011","$26440936","40.78%","Raised over $100k"
"ScottTim Scott (R)","$51691050","$21030946","40.69%","Raised over $100k"
"GosarPaul Gosar (R)","$935271","$377774","40.39%","Raised over $100k"
"RyanTim Ryan (D)","$56405069","$22701503","40.25%","Raised over $100k"
"ZeldinLee Zeldin (R)","$766925","$305402","39.82%","Raised over $100k"
"StefanikElise Stefanik (R)","$9459594","$3761868","39.77%","Raised over $100k"
"McConnellMitch McConnell (R)","$75486702","$29290004","38.80%","Raised over $100k"
"SpartzVictoria Spartz (R)","$4078334","$1569672","38.49%","Raised over $100k"
"OmarIlhan Omar (D)","$3056049","$1167638","38.21%","Raised over $100k"
"MillerMary Miller (R)","$2011403","$767678","38.17%","Raised over $100k"
"LoefflerKelly Loeffler (R)","$15215116","$5787398","38.04%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$36468332","$13765325","37.75%","Raised over $100k"
"McCarthyKevin McCarthy (R)","$27362324","$10300577","37.65%","Raised over $100k"
"PressleyAyanna Pressley (D)","$1443190","$540121","37.43%","Raised over $100k"
"PerryScott Perry (R)","$2948007","$1083366","36.75%","Raised over $100k"
"DainesSteven Daines (R)","$33576234","$12197482","36.33%","Raised over $100k"
"PetersGary Peters (D)","$54893451","$19737030","35.96%","Raised over $100k"
"RubioMarco Rubio (R)","$50321441","$18076749","35.92%","Raised over $100k"
"RosenJacky Rosen (D)","$33455281","$11817062","35.32%","Raised over $100k"
"FloresMayra Flores (R)","$4583512","$1612681","35.18%","Raised over $100k"
"HickenlooperJohn Hickenlooper (D)","$43930243","$15219413","34.64%","Raised over $100k"
"PenceGreg Pence (R)","$2233391","$760964","34.07%","Raised over $100k"
"HawleyJosh Hawley (R)","$25388189","$8599918","33.87%","Raised over $100k"
"SmithTina Smith (D)","$17789497","$5959415","33.50%","Raised over $100k"
"RaskinJamie Raskin (D)","$4597356","$1537310","33.44%","Raised over $100k"
"WaltzMichael Waltz (R)","$2939406","$975299","33.18%","Raised over $100k"
"CottonTom Cotton (R)","$16505658","$5466558","33.12%","Raised over $100k"
"HarshbargerDiana Harshbarger (R)","$1982165","$652734","32.93%","Raised over $100k"
"ReschenthalerGuy Reschenthaler (R)","$1980349","$642069","32.42%","Raised over $100k"
"OwensBurgess Owens (R)","$3482745","$1128841","32.41%","Raised over $100k"
"BustosCheri Bustos (D)","$193779","$62542","32.27%","Raised over $100k"
"JohnsonRon Johnson (R)","$35984222","$11452582","31.83%","Raised over $100k"
"ErnstJoni Ernst (R)","$31208127","$9890652","31.69%","Raised over $100k"
"KellerFred Keller (R)","$634267","$199853","31.51%","Raised over $100k"
"KimYoung Kim (R)","$9118989","$2870492","31.48%","Raised over $100k"
"GohmertLouie Gohmert (R)","$236692","$74372","31.42%","Raised over $100k"
"BookerCory Booker (D)","$19591935","$6139149","31.34%","Raised over $100k"
"MurphyChristopher S Murphy (D)","$14934050","$4656923","31.18%","Raised over $100k"
"DuncanJeff Duncan (R)","$1674501","$512751","30.62%","Raised over $100k"
"HassanMaggie Hassan (D)","$41623667","$12696288","30.50%","Raised over $100k"
"GallegoRuben Gallego (D)","$2896212","$880576","30.40%","Raised over $100k"
"MassieThomas Massie (R)","$1095764","$329989","30.11%","Raised over $100k"
"JayapalPramila Jayapal (D)","$2727975","$812026","29.77%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$23328147","$6912438","29.63%","Raised over $100k"
"BuckKen Buck (R)","$1590445","$465143","29.25%","Raised over $100k"
"RayBen Ray Lujan (D)","$10297679","$2904156","28.20%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$19831700","$5508967","27.78%","Raised over $100k"
"CantwellMaria Cantwell (D)","$11027332","$3061168","27.76%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$14991513","$4161364","27.76%","Raised over $100k"
"BowmanJamaal Bowman (D)","$1859145","$515759","27.74%","Raised over $100k"
"GarciaMike Garcia (R)","$7134367","$1971474","27.63%","Raised over $100k"
"ToomeyPat Toomey (R)","$6517481","$1797641","27.58%","Raised over $100k"
"NormanRalph Norman (R)","$394573","$108339","27.46%","Raised over $100k"
"BanksJim Banks (R)","$2594222","$709720","27.36%","Raised over $100k"
"MoultonSeth Moulton (D)","$2103315","$561041","26.67%","Raised over $100k"
"MarkeyEd Markey (D)","$14505160","$3868594","26.67%","Raised over $100k"
"BrooksMo Brooks (R)","$3153275","$837741","26.57%","Raised over $100k"
"TlaibRashida Tlaib (D)","$3252710","$863530","26.55%","Raised over $100k"
"StansburyMelanie Stansbury (D)","$3511059","$922172","26.26%","Raised over $100k"
"BrownSherrod Brown (D)","$29187962","$7591082","26.01%","Raised over $100k"
"MurrayPatty Murray (D)","$20110430","$5184610","25.78%","Raised over $100k"
"HerrellYvette Herrell (R)","$4352525","$1102951","25.34%","Raised over $100k"
"LeeMike Lee (R)","$12297322","$3051018","24.81%","Raised over $100k"
"SteelMichelle Steel (R)","$7264049","$1788262","24.62%","Raised over $100k"
