"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"CrowJason Crow (D)","$2182039","$614488","28.16%","Raised over $100k"
"PressleyAyanna Pressley (D)","$1411509","$394610","27.96%","Raised over $100k"
"JohnsonMike Johnson (R)","$19065042","$5236369","27.47%","Raised over $100k"
"RayBen Ray Lujan (D)","$11637120","$3163925","27.19%","Raised over $100k"
"PerryScott Perry (R)","$4471323","$1202185","26.89%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$20017666","$5344343","26.70%","Raised over $100k"
"JayapalPramila Jayapal (D)","$2793025","$738280","26.43%","Raised over $100k"
"LuttrellMorgan Luttrell (R)","$1861800","$491411","26.39%","Raised over $100k"
"HuntWesley Hunt (R)","$2760120","$719422","26.06%","Raised over $100k"
"JamesJohn James (R)","$9477442","$2441780","25.76%","Raised over $100k"
"MurrayPatty Murray (D)","$20331360","$5206827","25.61%","Raised over $100k"
"KimYoung Kim (R)","$9067799","$2273294","25.07%","Raised over $100k"
"BennetMichael Bennet (D)","$22125113","$5501310","24.86%","Raised over $100k"
"MarkeyEd Markey (D)","$14024552","$3468332","24.73%","Raised over $100k"
"BuddTed Budd (R)","$16254047","$3890366","23.93%","Raised over $100k"
"WaltzMichael Waltz (R)","$2791083","$661047","23.68%","Raised over $100k"
"KaineTim Kaine (D)","$21401882","$5065478","23.67%","Raised over $100k"
"GrassleyChuck Grassley (R)","$10945190","$2587304","23.64%","Raised over $100k"
"BurchettTim Burchett (R)","$1229828","$287186","23.35%","Raised over $100k"
"KimAndy Kim (D)","$12170781","$2839921","23.33%","Raised over $100k"
"McClellanJennifer McClellan (D)","$2694818","$628053","23.31%","Raised over $100k"
"LeeBarbara Lee (D)","$5473994","$1272567","23.25%","Raised over $100k"
"GarciaRobert Garcia (D)","$1326793","$292761","22.07%","Raised over $100k"
"TillisThom Tillis (R)","$25523707","$5578136","21.85%","Raised over $100k"
"BluntLisa Blunt Rochester (D)","$9889594","$2160238","21.84%","Raised over $100k"
"TubervilleTommy Tuberville (R)","$11684053","$2464217","21.09%","Raised over $100k"
"McClainLisa McClain (R)","$1029112","$215130","20.90%","Raised over $100k"
"SpanbergerAbigail Spanberger (D)","$1723491","$359003","20.83%","Raised over $100k"
"CornynJohn Cornyn (R)","$34095780","$6935021","20.34%","Raised over $100k"
"LeeSummer Lee (D)","$2923335","$587574","20.10%","Raised over $100k"
"SantosGeorge Santos (R)","$48129","$9531","19.80%","Raised less than $100k"
"GoodBob Good (R)","$1328803","$262684","19.77%","Raised over $100k"
"TenneyClaudia Tenney (R)","$2993079","$589942","19.71%","Raised over $100k"
"OwensBurgess Owens (R)","$1449406","$285518","19.70%","Raised over $100k"
"WextonJennifer Wexton (D)","$480029","$94333","19.65%","Raised over $100k"
"HironoMazie K Hirono (D)","$4838111","$943649","19.50%","Raised over $100k"
"MassieThomas Massie (R)","$1323139","$257098","19.43%","Raised over $100k"
"DuncanJeff Duncan (R)","$784969","$146993","18.73%","Raised over $100k"
"WagnerAnn Wagner (R)","$4213631","$770676","18.29%","Raised over $100k"
"BanksJim Banks (R)","$7151159","$1305346","18.25%","Raised over $100k"
"Hyde-SmithCindy Hyde-Smith (R)","$4995726","$908448","18.18%","Raised over $100k"
"RoseJohn Rose (R)","$1106670","$197747","17.87%","Raised over $100k"
"PocanMark Pocan (D)","$1064083","$189287","17.79%","Raised over $100k"
"CollinsSusan Collins (R)","$29778726","$5276897","17.72%","Raised over $100k"
"KiggansJen Kiggans (R)","$6434811","$1134837","17.64%","Raised over $100k"
"KileyKevin Kiley (R)","$4187895","$736088","17.58%","Raised over $100k"
"MooneyAlex Mooney (R)","$1952747","$342324","17.53%","Raised over $100k"
"SteelMichelle Steel (R)","$10449923","$1816823","17.39%","Raised over $100k"
"HarshbargerDiana Harshbarger (R)","$1872094","$324407","17.33%","Raised over $100k"
"StefanikElise Stefanik (R)","$15444946","$2636569","17.07%","Raised over $100k"
"CarlJerry Carl (R)","$1791145","$305387","17.05%","Raised over $100k"
"DavidsSharice Davids (D)","$5915701","$979875","16.56%","Raised over $100k"
"GosarPaul Gosar (R)","$459220","$75643","16.47%","Raised over $100k"
"CammackKat Cammack (R)","$2634508","$433343","16.45%","Raised over $100k"
"HayesJahana Hayes (D)","$4048084","$657678","16.25%","Raised over $100k"
"CaraveoYadira Caraveo (D)","$8048643","$1294679","16.09%","Raised over $100k"
"FousheeValerie Foushee (D)","$683926","$109725","16.04%","Raised over $100k"
"HinsonAshley Hinson (R)","$5565617","$888904","15.97%","Raised over $100k"
"McClintockTom McClintock (R)","$1143387","$180914","15.82%","Raised over $100k"
"SarbanesJohn Sarbanes (D)","$15868","$2509","15.81%","Raised less than $100k"
"UnderwoodLauren A Underwood (D)","$4082518","$644232","15.78%","Raised over $100k"
"LummisCynthia Lummis (R)","$3581541","$561158","15.67%","Raised over $100k"
"IssaDarrell Issa (R)","$1761806","$275631","15.64%","Raised over $100k"
"SmithChris Smith (R)","$838537","$130989","15.62%","Raised over $100k"
"SteubeGreg Steube (R)","$1710108","$266852","15.60%","Raised over $100k"
"BalintBecca Balint (D)","$1372634","$214118","15.60%","Raised over $100k"
"StansburyMelanie Stansbury (D)","$1343239","$209339","15.58%","Raised over $100k"
"McGovernJames P McGovern (D)","$1092908","$170174","15.57%","Raised over $100k"
"GarciaMike Garcia (R)","$6485208","$1007275","15.53%","Raised over $100k"
"HigginsClay Higgins (R)","$1016991","$157875","15.52%","Raised over $100k"
"WildSusan Wild (D)","$8856117","$1374447","15.52%","Raised over $100k"
"BurlisonEric Burlison (R)","$923026","$143138","15.51%","Raised over $100k"
"CantwellMaria Cantwell (D)","$12724745","$1969002","15.47%","Raised over $100k"
"GluesenkampMarie Gluesenkamp Perez (D)","$11660957","$1798924","15.43%","Raised over $100k"
"McBathLucy McBath (D)","$2431244","$368999","15.18%","Raised over $100k"
"HarderJosh Harder (D)","$5306590","$800349","15.08%","Raised over $100k"
"MoultonSeth Moulton (D)","$2849440","$428950","15.05%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$14857728","$2224331","14.97%","Raised over $100k"
"GoldenJared Golden (D)","$7743101","$1128219","14.57%","Raised over $100k"
"SchmittEric Schmitt (R)","$8421390","$1218529","14.47%","Raised over $100k"
"TiffanyTom Tiffany (R)","$1241429","$177927","14.33%","Raised over $100k"
"HeinrichMartin Heinrich (D)","$12970084","$1857275","14.32%","Raised over $100k"
"GrothmanGlenn Grothman (R)","$985756","$139944","14.20%","Raised over $100k"
"ConnollyGerry Connolly (D)","$2517838","$356034","14.14%","Raised over $100k"
"FischbachMichelle Fischbach (R)","$2010301","$281783","14.02%","Raised over $100k"
"VasquezGabe Vasquez (D)","$6956820","$966637","13.89%","Raised over $100k"
"DurbinDick Durbin (D)","$9493246","$1317861","13.88%","Raised over $100k"
"FeenstraRandy Feenstra (R)","$4242569","$585320","13.80%","Raised over $100k"
"SykesEmilia Sykes (D)","$5270437","$715744","13.58%","Raised over $100k"
"SuozziTom Suozzi (D)","$9538256","$1289185","13.52%","Raised over $100k"
"CramerKevin Cramer (R)","$6388234","$859805","13.46%","Raised over $100k"
"SherrillMikie Sherrill (D)","$4400561","$591662","13.45%","Raised over $100k"
"MolinaroMarc Molinaro (R)","$5501365","$735985","13.38%","Raised over $100k"
"WilliamsBrandon Williams (R)","$4172151","$554346","13.29%","Raised over $100k"
"PoseyBill Posey (R)","$434040","$57383","13.22%","Raised over $100k"
"SwalwellEric Swalwell (D)","$3885636","$511246","13.16%","Raised over $100k"
"SchumerCharles E Schumer (D)","$42963221","$5630162","13.10%","Raised over $100k"
"MaceNancy Mace (R)","$3461772","$449704","12.99%","Raised over $100k"
