"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"BachmannMichele Bachmann (R)","$14995937","$9549842","63.68%","Raised over $100k"
"SandersBernie Sanders (I)","$7229492","$4068496","56.28%","Raised over $100k"
"WestAllen West (R)","$19359331","$9333571","48.21%","Raised over $100k"
"PaulRon Paul (R)","$41077461","$18013136","43.85%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$14643869","$6280787","42.89%","Raised over $100k"
"McClintockTom McClintock (R)","$1191743","$458117","38.44%","Raised over $100k"
"HincheyMaurice Hinchey (D)","$179119","$65211","36.41%","Raised over $100k"
"RubioMarco Rubio (R)","$27468017","$9951024","36.23%","Raised over $100k"
"FrankenAl Franken (D)","$32852600","$11524861","35.08%","Raised over $100k"
"PaulRand Paul (R)","$8081125","$2683777","33.21%","Raised over $100k"
"McCarthyCarolyn McCarthy (D)","$2278000","$718316","31.53%","Raised over $100k"
"AkinTodd Akin (R)","$5676248","$1789775","31.53%","Raised over $100k"
"KingSteven A King (R)","$3753860","$1122843","29.91%","Raised over $100k"
"EllisonKeith Ellison (D)","$2053544","$612702","29.84%","Raised over $100k"
"BrownSherrod Brown (D)","$24840222","$7169781","28.86%","Raised over $100k"
"PenceMike Pence (R)","$354395","$100277","28.30%","Raised over $100k"
"RischJames E Risch (R)","$3927908","$1101386","28.04%","Raised over $100k"
"DeFazioPeter DeFazio (D)","$1333331","$370568","27.79%","Raised over $100k"
"GrijalvaRaul M Grijalva (D)","$908544","$244279","26.89%","Raised over $100k"
"BoehnerJohn Boehner (R)","$22024288","$5868055","26.64%","Raised over $100k"
"PlattsTodd Platts (R)","$49260","$12837","26.06%","Raised less than $100k"
"SmithChris Smith (R)","$658474","$169200","25.70%","Raised over $100k"
"GalleglyElton Gallegly (R)","$231641","$56060","24.20%","Raised over $100k"
"ToomeyPat Toomey (R)","$20472488","$4730816","23.11%","Raised over $100k"
"WoolseyLynn Woolsey (D)","$66275","$15260","23.02%","Raised less than $100k"
"BarberRon Barber (D)","$2776639","$627836","22.61%","Raised over $100k"
"CantwellMaria Cantwell (D)","$11978158","$2676564","22.35%","Raised over $100k"
"SlaughterLouise M Slaughter (D)","$2278709","$502199","22.04%","Raised over $100k"
"CravaackChip Cravaack (R)","$2374760","$518478","21.83%","Raised over $100k"
"HironoMazie K Hirono (D)","$5514418","$1203641","21.83%","Raised over $100k"
"MerkleyJeff Merkley (D)","$8886520","$1872679","21.07%","Raised over $100k"
"WassermanDebbie Wasserman Schultz (D)","$3629324","$759161","20.92%","Raised over $100k"
"WolfFrank Wolf (R)","$1091197","$226112","20.72%","Raised over $100k"
"BoxerBarbara Boxer (D)","$18549425","$3796537","20.47%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$21131810","$4280597","20.26%","Raised over $100k"
"IssaDarrell Issa (R)","$2478710","$498765","20.12%","Raised over $100k"
"BrounPaul Broun Jr (R)","$1351218","$265787","19.67%","Raised over $100k"
"HaganKay R Hagan (D)","$10886424","$2124183","19.51%","Raised over $100k"
"HochulKathleen Hochul (D)","$4602796","$882630","19.18%","Raised over $100k"
"MurrayPatty Murray (D)","$16585942","$3180176","19.17%","Raised over $100k"
"PingreeChellie Pingree (D)","$1024608","$193382","18.87%","Raised over $100k"
"DonnellyJoe Donnelly (D)","$5661997","$1061061","18.74%","Raised over $100k"
"McDermottJim McDermott (D)","$611670","$114283","18.68%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$9600535","$1772624","18.46%","Raised over $100k"
"SablanGregorio Sablan (D)","$111145","$20450","18.40%","Raised over $100k"
"WilsonJoe Wilson (R)","$1030165","$189203","18.37%","Raised over $100k"
"LevinCarl Levin (D)","$8392507","$1490107","17.76%","Raised over $100k"
"WalzTim Walz (D)","$1975606","$349956","17.71%","Raised over $100k"
"SueBetty Sue Sutton (D)","$2523935","$446206","17.68%","Raised over $100k"
"TurnerRobert L Turner (R)","$909881","$155270","17.06%","Raised over $100k"
"UdallMark Udall (D)","$14814282","$2440462","16.47%","Raised over $100k"
"McGovernJames P McGovern (D)","$1068822","$175482","16.42%","Raised over $100k"
"BonamiciSuzanne Bonamici (D)","$2488256","$407003","16.36%","Raised over $100k"
"BrownScott Brown (R)","$28159602","$4502811","15.99%","Raised over $100k"
"BerkleyShelley Berkley (D)","$10547188","$1668316","15.82%","Raised over $100k"
"VitterDavid Vitter (R)","$12531102","$1959232","15.63%","Raised over $100k"
"AmashJustin Amash (R)","$1313803","$204004","15.53%","Raised over $100k"
"HeinrichMartin Heinrich (D)","$6699291","$1034006","15.43%","Raised over $100k"
