"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"LeeBarbara Lee (D)","$1167292","$177394","15.20%","Raised over $100k"
"FrankBarney Frank (D)","$760064","$113264","14.90%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$10203513","$1506340","14.76%","Raised over $100k"
"McCollumBetty McCollum (D)","$931990","$137064","14.71%","Raised over $100k"
"HastingsDoc Hastings (R)","$1649564","$241730","14.65%","Raised over $100k"
"TsongasNiki Tsongas (D)","$1606982","$232455","14.47%","Raised over $100k"
"BarlettaLou Barletta (R)","$1334027","$192757","14.45%","Raised over $100k"
"RehbergDenny Rehberg (R)","$9560983","$1370428","14.33%","Raised over $100k"
"FeinsteinDianne Feinstein (D)","$9797542","$1401692","14.31%","Raised over $100k"
"CursonDavid A Curson (D)","$49092","$6992","14.24%","Raised less than $100k"
"FranksTrent Franks (R)","$376998","$53304","14.14%","Raised over $100k"
"HerreraJaime Herrera Beutler (R)","$1658722","$233592","14.08%","Raised over $100k"
"InhofeJames M Inhofe (R)","$6858383","$955809","13.94%","Raised over $100k"
"HoltRush Holt (D)","$2084904","$289497","13.89%","Raised over $100k"
"HahnJanice Hahn (D)","$2521899","$349114","13.84%","Raised over $100k"
"FlakeJeff Flake (R)","$9026951","$1247375","13.82%","Raised over $100k"
"StabenowDebbie Stabenow (D)","$14376142","$1955840","13.60%","Raised over $100k"
"HarrisAndy Harris (R)","$1595563","$216668","13.58%","Raised over $100k"
"SchakowskyJan Schakowsky (D)","$1350902","$183191","13.56%","Raised over $100k"
"PriceDavid Price (D)","$1141280","$153483","13.45%","Raised over $100k"
"HarkinTom Harkin (D)","$8941664","$1193585","13.35%","Raised over $100k"
"WittmanRob Wittman (R)","$950387","$126790","13.34%","Raised over $100k"
"MackConnie Mack (R)","$7254224","$957382","13.20%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$554920","$71432","12.87%","Raised over $100k"
"ConnollyGerry Connolly (D)","$2241573","$283950","12.67%","Raised over $100k"
"CappsLois Capps (D)","$3320071","$419388","12.63%","Raised over $100k"
"MurphyChristopher S Murphy (D)","$10543456","$1329860","12.61%","Raised over $100k"
"JohnsonTimothy Johnson (R)","$564919","$70196","12.43%","Raised over $100k"
"TesterJon Tester (D)","$13395779","$1652728","12.34%","Raised over $100k"
"NugentRichard Nugent (R)","$600551","$73549","12.25%","Raised over $100k"
"LeeMike Lee (R)","$2216161","$271236","12.24%","Raised over $100k"
"RyanPaul Ryan (R)","$4994668","$601887","12.05%","Raised over $100k"
"MillerBrad Miller (D)","$218966","$26125","11.93%","Raised over $100k"
"JohnsonRon Johnson (R)","$16136291","$1877936","11.64%","Raised over $100k"
"CoonsChris Coons (D)","$4908419","$550680","11.22%","Raised over $100k"
"BoozmanJohn Boozman (R)","$3957753","$442189","11.17%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$1968862","$217243","11.03%","Raised over $100k"
"ThuneJohn Thune (R)","$12275874","$1351670","11.01%","Raised over $100k"
"BartlettRoscoe G Bartlett (R)","$1151621","$125692","10.91%","Raised over $100k"
"MarieAnn Marie Buerkle (R)","$2021185","$219832","10.88%","Raised over $100k"
"CourtneyJoe Courtney (D)","$1520759","$163525","10.75%","Raised over $100k"
"FoxxVirginia Foxx (R)","$972460","$104565","10.75%","Raised over $100k"
"TonkoPaul Tonko (D)","$974899","$104706","10.74%","Raised over $100k"
"TierneyJohn F Tierney (D)","$2133196","$228477","10.71%","Raised over $100k"
"CoffmanMike Coffman (R)","$3441283","$362946","10.55%","Raised over $100k"
"EdwardsDonna Edwards (D)","$783056","$81638","10.43%","Raised over $100k"
"NoemKristi Noem (R)","$2811274","$291886","10.38%","Raised over $100k"
"SchillingBobby Schilling (R)","$2537300","$261180","10.29%","Raised over $100k"
"WebbJim Webb (D)","$1118917","$113674","10.16%","Raised over $100k"
"BenishekDan Benishek (R)","$2221760","$224694","10.11%","Raised over $100k"
"BishopTimothy H Bishop (D)","$2731218","$275324","10.08%","Raised over $100k"
"JonesWalter B Jones Jr (R)","$716405","$71365","9.96%","Raised over $100k"
"FilnerBob Filner (D)","$139218","$13671","9.82%","Raised over $100k"
"McNerneyJerry McNerney (D)","$2532626","$248534","9.81%","Raised over $100k"
"EllmersRenee Ellmers (R)","$1086870","$106653","9.81%","Raised over $100k"
"LoebsackDavid Loebsack (D)","$1562540","$153023","9.79%","Raised over $100k"
"UdallTom Udall (D)","$8791857","$851947","9.69%","Raised over $100k"
"WalbergTim Walberg (R)","$1533550","$146689","9.57%","Raised over $100k"
"BilirakisGus Bilirakis (R)","$758988","$72251","9.52%","Raised over $100k"
"McCainJohn McCain (R)","$20932496","$1976063","9.44%","Raised over $100k"
"FarrSam Farr (D)","$735679","$68827","9.36%","Raised over $100k"
"RoePhil Roe (R)","$706756","$65552","9.28%","Raised over $100k"
"ScottBobby Scott (D)","$451466","$41769","9.25%","Raised over $100k"
"BoswellLeonard L Boswell (D)","$1747776","$161362","9.23%","Raised over $100k"
"MarieCynthia Marie Lummis (R)","$715314","$65933","9.22%","Raised over $100k"
"KirkMark Kirk (R)","$15209036","$1398688","9.20%","Raised over $100k"
"ClarkeHansen Clarke (D)","$730170","$66128","9.06%","Raised over $100k"
"GrassleyChuck Grassley (R)","$7441585","$664146","8.92%","Raised over $100k"
"PetriTom Petri (R)","$743349","$66141","8.90%","Raised over $100k"
"CastorKathy Castor (D)","$1020415","$90647","8.88%","Raised over $100k"
"MassieThomas Massie (R)","$1064631","$94365","8.86%","Raised over $100k"
"LattaBob Latta (R)","$1111742","$97018","8.73%","Raised over $100k"
"RoskamPeter Roskam (R)","$3277932","$281416","8.59%","Raised over $100k"
"MillerCandice S Miller (R)","$674170","$57839","8.58%","Raised over $100k"
"DuffySean P Duffy (R)","$2647210","$226797","8.57%","Raised over $100k"
"HurtRobert Hurt (R)","$2051306","$175056","8.53%","Raised over $100k"
"ForbesRandy Forbes (R)","$1077552","$91549","8.50%","Raised over $100k"
"JordanJim Jordan (R)","$1078119","$91031","8.44%","Raised over $100k"
"DavisSusan Davis (D)","$647362","$54659","8.44%","Raised over $100k"
"BennetMichael F Bennet (D)","$14178491","$1195244","8.43%","Raised over $100k"
"GillibrandKirsten Gillibrand (D)","$15735457","$1323908","8.41%","Raised over $100k"
"WalshJoe Walsh (R)","$2011080","$168850","8.40%","Raised over $100k"
"SchraderKurt Schrader (D)","$1750144","$146814","8.39%","Raised over $100k"
"CooperJim Cooper (D)","$1213185","$100359","8.27%","Raised over $100k"
"AdamsSandy Adams (R)","$900864","$74353","8.25%","Raised over $100k"
"HuelskampTim Huelskamp (R)","$857538","$70740","8.25%","Raised over $100k"
"FortenberryJeff Fortenberry (R)","$698414","$57589","8.25%","Raised over $100k"
"MikulskiBarbara A Mikulski (D)","$5350206","$434632","8.12%","Raised over $100k"
"CrawfordRick Crawford (R)","$1338446","$108071","8.07%","Raised over $100k"
"ChuJudy Chu (D)","$1468072","$118108","8.05%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$1000849","$79606","7.95%","Raised over $100k"
"SchiffAdam Schiff (D)","$1333321","$104672","7.85%","Raised over $100k"
"SessionsJeff Sessions (R)","$5300045","$415439","7.84%","Raised over $100k"
"LabradorRaul Labrador (R)","$830196","$64786","7.80%","Raised over $100k"
"GravesTom Graves (R)","$1179677","$92011","7.80%","Raised over $100k"
"ClarkeYvette D Clarke (D)","$743730","$57840","7.78%","Raised over $100k"
"GosarPaul Gosar (R)","$1150701","$89359","7.77%","Raised over $100k"
"CornynJohn Cornyn (R)","$18060692","$1401185","7.76%","Raised over $100k"
"ReidHarry Reid (D)","$25869150","$2000080","7.73%","Raised over $100k"
"BordalloMadeleine Z Bordallo (D)","$254070","$19631","7.73%","Raised over $100k"
"NelsonBill Nelson (D)","$16803512","$1292567","7.69%","Raised over $100k"
"GohmertLouis B Gohmert Jr (R)","$742347","$57014","7.68%","Raised over $100k"
"ThompsonGlenn Thompson (R)","$1263885","$97064","7.68%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1744503","$133914","7.68%","Raised over $100k"
"MoranJerry Moran (R)","$4916870","$376754","7.66%","Raised over $100k"
"KingPete King (R)","$1812860","$138864","7.66%","Raised over $100k"
"GriffithMorgan Griffith (R)","$1399363","$107100","7.65%","Raised over $100k"
"ThompsonMike Thompson (D)","$1811426","$136649","7.54%","Raised over $100k"
"CarsonAndre Carson (D)","$1124042","$84654","7.53%","Raised over $100k"
"KellyMike Kelly (R)","$1135644","$85526","7.53%","Raised over $100k"
"BurrRichard Burr (R)","$9747606","$730655","7.50%","Raised over $100k"
"DeGetteDiana DeGette (D)","$1051538","$78804","7.49%","Raised over $100k"
"JohnsonTim Johnson (D)","$6550745","$488801","7.46%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1175608","$87125","7.41%","Raised over $100k"
"BegichMark Begich (D)","$6603913","$483006","7.31%","Raised over $100k"
"KeatingBill Keating (D)","$1061105","$77594","7.31%","Raised over $100k"
"GardnerCory Gardner (R)","$2295600","$167183","7.28%","Raised over $100k"
"PoeTed Poe (R)","$966271","$69907","7.23%","Raised over $100k"
"SoutherlandSteve Southerland (R)","$1823957","$129933","7.12%","Raised over $100k"
"RobertsPat Roberts (R)","$7090580","$502142","7.08%","Raised over $100k"
"PriceTom Price (R)","$2341155","$165343","7.06%","Raised over $100k"
"CostelloJerry F Costello (D)","$453858","$31710","6.99%","Raised over $100k"
"MillerJeff Miller (R)","$731601","$50704","6.93%","Raised over $100k"
"SchweikertDavid Schweikert (R)","$1952870","$134719","6.90%","Raised over $100k"
"HoevenJohn Hoeven (R)","$4083424","$281049","6.88%","Raised over $100k"
"PoseyBill Posey (R)","$1051652","$72350","6.88%","Raised over $100k"
"MichaudMike Michaud (D)","$1222006","$83847","6.86%","Raised over $100k"
"GaramendiJohn Garamendi (D)","$2065819","$141681","6.86%","Raised over $100k"
"ManzulloDon Manzullo (R)","$1057863","$72451","6.85%","Raised over $100k"
"OlverJohn W Olver (D)","$354062","$24155","6.82%","Raised over $100k"
"LewisJohn Lewis (D)","$1238406","$84332","6.81%","Raised over $100k"
"KlineJohn Kline (R)","$2352676","$159858","6.79%","Raised over $100k"
"PearceSteve Pearce (R)","$1687075","$114311","6.78%","Raised over $100k"
"HunterDuncan D Hunter (R)","$986170","$66660","6.76%","Raised over $100k"
"CapuanoMichael E Capuano (D)","$909487","$61463","6.76%","Raised over $100k"
"HondaMike Honda (D)","$900844","$60471","6.71%","Raised over $100k"
"CaseyBob Casey (D)","$14112753","$940289","6.66%","Raised over $100k"
"MillerGeorge Miller (D)","$743547","$49492","6.66%","Raised over $100k"
"HellerDean Heller (R)","$9417811","$621634","6.60%","Raised over $100k"
"CicillineDavid Cicilline (D)","$2394677","$157014","6.56%","Raised over $100k"
"WebsterDaniel Webster (R)","$1534725","$98079","6.39%","Raised over $100k"
"YoungDon Young (R)","$1003532","$63764","6.35%","Raised over $100k"
"RogersMike Rogers (R)","$1921587","$122074","6.35%","Raised over $100k"
"PetersGary Peters (D)","$2281359","$144702","6.34%","Raised over $100k"
"WarnerMark Warner (D)","$17725381","$1116504","6.30%","Raised over $100k"
"StutzmanMarlin Stutzman (R)","$960107","$59872","6.24%","Raised over $100k"
"HigginsBrian Higgins (D)","$1091162","$67544","6.19%","Raised over $100k"
"KapturMarcy Kaptur (D)","$1150009","$71053","6.18%","Raised over $100k"
"SchmidtJean Schmidt (R)","$663415","$40620","6.12%","Raised over $100k"
"WomackSteve Womack (R)","$932788","$57063","6.12%","Raised over $100k"
"SmithAdrian Smith (R)","$1163154","$71142","6.12%","Raised over $100k"
"PaulsenErik Paulsen (R)","$3113793","$188347","6.05%","Raised over $100k"
"LarsonJohn Larson (D)","$2018561","$121530","6.02%","Raised over $100k"
"HanabusaColleen Hanabusa (D)","$1290102","$77281","5.99%","Raised over $100k"
"MarinoTom Marino (R)","$822420","$49180","5.98%","Raised over $100k"
"BonoMary Bono Mack (R)","$2258741","$134540","5.96%","Raised over $100k"
"GarrettScott Garrett (R)","$2392465","$141637","5.92%","Raised over $100k"
"CobleHoward Coble (R)","$531611","$31169","5.86%","Raised over $100k"
"RohrabacherDana Rohrabacher (R)","$493392","$28917","5.86%","Raised over $100k"
"ChandlerBen Chandler (D)","$2403029","$140809","5.86%","Raised over $100k"
"DuncanJeff Duncan (R)","$698728","$40840","5.84%","Raised over $100k"
"JohnsonBill Johnson (R)","$2026754","$117382","5.79%","Raised over $100k"
"MooreGwen Moore (D)","$823446","$47672","5.79%","Raised over $100k"
"PolisJared Polis (D)","$1147924","$66428","5.79%","Raised over $100k"
"BarrassoJohn A Barrasso (R)","$7121673","$409983","5.76%","Raised over $100k"
"ThornberryMac Thornberry (R)","$1092129","$62616","5.73%","Raised over $100k"
"YoungTodd Young (R)","$1819057","$104161","5.73%","Raised over $100k"
"ChamblissSaxby Chambliss (R)","$16424386","$936804","5.70%","Raised over $100k"
"TownsEdolphus Towns (D)","$771007","$43949","5.70%","Raised over $100k"
"HannaRichard Hanna (R)","$1071315","$60823","5.68%","Raised over $100k"
"CardinBen Cardin (D)","$6908143","$392189","5.68%","Raised over $100k"
"JohannsMichael O Johanns (R)","$4623957","$262397","5.67%","Raised over $100k"
"PetersonCollin C Peterson (D)","$1129343","$63817","5.65%","Raised over $100k"
"RangelCharles B Rangel (D)","$1461286","$82257","5.63%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$1155849","$65001","5.62%","Raised over $100k"
"BlumenthalRichard Blumenthal (D)","$9166289","$513948","5.61%","Raised over $100k"
"GibsonChris Gibson (R)","$2177705","$121902","5.60%","Raised over $100k"
"SimpsonMike Simpson (R)","$1200026","$66896","5.57%","Raised over $100k"
"BrooksMo Brooks (R)","$904753","$49925","5.52%","Raised over $100k"
"ChabotSteve Chabot (R)","$1068816","$58955","5.52%","Raised over $100k"
"ConyersJohn Conyers Jr (D)","$1044468","$57269","5.48%","Raised over $100k"
"CoburnTom Coburn (R)","$2298468","$125753","5.47%","Raised over $100k"
"FitzpatrickMichael G Fitzpatrick (R)","$2672027","$145908","5.46%","Raised over $100k"
"SarbanesJohn Sarbanes (D)","$1010367","$54502","5.39%","Raised over $100k"
"LugarRichard G Lugar (R)","$6315591","$340246","5.39%","Raised over $100k"
"AustriaSteve Austria (R)","$457335","$24624","5.38%","Raised over $100k"
"MicaJohn L Mica (R)","$2068331","$111315","5.38%","Raised over $100k"
"WaldenGreg Walden (R)","$2736873","$145812","5.33%","Raised over $100k"
"RooneyTom Rooney (R)","$1096522","$58282","5.32%","Raised over $100k"
"PortmanRob Portman (R)","$14190788","$753749","5.31%","Raised over $100k"
"BillC W Bill Young (R)","$1040707","$54990","5.28%","Raised over $100k"
"CoatsDan Coats (R)","$5266196","$277494","5.27%","Raised over $100k"
"LynchStephen Lynch (D)","$729836","$38377","5.26%","Raised over $100k"
"MooreShelley Moore Capito (R)","$2449473","$128284","5.24%","Raised over $100k"
"MyrickSue Myrick (R)","$388121","$20280","5.23%","Raised over $100k"
"ReichertDave Reichert (R)","$1654833","$85727","5.18%","Raised over $100k"
"MatsuiDoris O Matsui (D)","$908449","$47016","5.18%","Raised over $100k"
"QuigleyMike Quigley (D)","$728591","$37465","5.14%","Raised over $100k"
"GriffinTim Griffin (R)","$1619346","$83258","5.14%","Raised over $100k"
"LankfordJames Lankford (R)","$1155959","$59416","5.14%","Raised over $100k"
"BurtonDan Burton (R)","$405423","$20828","5.14%","Raised over $100k"
"AyotteKelly Ayotte (R)","$6129686","$311679","5.08%","Raised over $100k"
"OwensBill Owens (D)","$1968478","$99551","5.06%","Raised over $100k"
"BluntRoy Blunt (R)","$13047770","$658483","5.05%","Raised over $100k"
"JohnsonSam Johnson (R)","$1136768","$57152","5.03%","Raised over $100k"
"LungrenDan Lungren (R)","$2702536","$135838","5.03%","Raised over $100k"
"KinzingerAdam Kinzinger (R)","$2034419","$100779","4.95%","Raised over $100k"
"CantorEric Cantor (R)","$7632717","$375397","4.92%","Raised over $100k"
"RossDennis Ross (R)","$883780","$43363","4.91%","Raised over $100k"
"PelosiNancy Pelosi (D)","$2300344","$110701","4.81%","Raised over $100k"
"WhitehouseSheldon Whitehouse (D)","$4883464","$234723","4.81%","Raised over $100k"
"LujanBen R Lujan (D)","$1102858","$52908","4.80%","Raised over $100k"
"SchockAaron Schock (R)","$3220550","$153382","4.76%","Raised over $100k"
"LangevinJim Langevin (D)","$1103439","$52533","4.76%","Raised over $100k"
"DelBeneSuzan DelBene (D)","$4420726","$209678","4.74%","Raised over $100k"
"ShimkusJohn Shimkus (R)","$2107579","$99818","4.74%","Raised over $100k"
"KissellLarry Kissell (D)","$1303395","$61113","4.69%","Raised over $100k"
"BergRick Berg (R)","$6502926","$304142","4.68%","Raised over $100k"
"RenacciJim Renacci (R)","$3274194","$152946","4.67%","Raised over $100k"
"Christian-ChristensenDonna Christian-Christensen (D)","$330274","$15233","4.61%","Raised over $100k"
"AmodeiMark Amodei (R)","$1313852","$60229","4.58%","Raised over $100k"
"VanChris Van Hollen (D)","$1502330","$67843","4.52%","Raised over $100k"
"ConawayMike Conaway (R)","$1350630","$60942","4.51%","Raised over $100k"
"MulvaneyMick Mulvaney (R)","$798055","$35705","4.47%","Raised over $100k"
"FudgeMarcia L Fudge (D)","$689197","$30756","4.46%","Raised over $100k"
"FarentholdBlake Farenthold (R)","$1153105","$51299","4.45%","Raised over $100k"
"McConnellMitch McConnell (R)","$26449564","$1173682","4.44%","Raised over $100k"
"LanceLeonard Lance (R)","$1321362","$58351","4.42%","Raised over $100k"
"RyanTim Ryan (D)","$991385","$43558","4.39%","Raised over $100k"
"HolmesEleanor Holmes Norton (D)","$332288","$14400","4.33%","Raised over $100k"
"DurbinDick Durbin (D)","$10581956","$457495","4.32%","Raised over $100k"
"LambornDouglas L Lamborn (R)","$696044","$30007","4.31%","Raised over $100k"
"McKinleyDavid McKinley (R)","$2136065","$91765","4.30%","Raised over $100k"
"GowdyTrey Gowdy (R)","$728767","$31262","4.29%","Raised over $100k"
"HartzlerVicky Hartzler (R)","$1510603","$64086","4.24%","Raised over $100k"
"SpeierJackie Speier (D)","$969474","$40717","4.20%","Raised over $100k"
"HastingsAlcee L Hastings (D)","$652963","$27356","4.19%","Raised over $100k"
"BlumenauerEarl Blumenauer (D)","$1185142","$49595","4.18%","Raised over $100k"
"TerryLee Terry (R)","$2036017","$84304","4.14%","Raised over $100k"
"HultgrenRandy Hultgren (R)","$1362710","$56340","4.13%","Raised over $100k"
"LevinSander Levin (D)","$1836756","$75914","4.13%","Raised over $100k"
"CohenSteve Cohen (D)","$831886","$34244","4.12%","Raised over $100k"
"GoodlatteBob Goodlatte (R)","$1606588","$65815","4.10%","Raised over $100k"
"RobyMartha Roby (R)","$1035717","$42003","4.06%","Raised over $100k"
"CarnahanRuss Carnahan (D)","$1330566","$53231","4.00%","Raised over $100k"
"CampbellJohn Campbell (R)","$1285138","$51381","4.00%","Raised over $100k"
"CollinsSusan Collins (R)","$8661651","$344778","3.98%","Raised over $100k"
"SchwartzAllyson Schwartz (D)","$2910725","$115141","3.96%","Raised over $100k"
"GibbsBob Gibbs (R)","$1550088","$61172","3.95%","Raised over $100k"
"LarsenRick Larsen (D)","$1356322","$53336","3.93%","Raised over $100k"
"ButterfieldG K Butterfield (D)","$901274","$35426","3.93%","Raised over $100k"
"IsaksonJohnny Isakson (R)","$9398226","$363842","3.87%","Raised over $100k"
"BucshonLarry Bucshon (R)","$1370641","$53020","3.87%","Raised over $100k"
"LoweyNita M Lowey (D)","$2165669","$83740","3.87%","Raised over $100k"
"LathamTom Latham (R)","$3408822","$130594","3.83%","Raised over $100k"
"ChaffetzJason Chaffetz (R)","$807595","$30910","3.83%","Raised over $100k"
"CarneyJohn Carney (D)","$1526893","$58386","3.82%","Raised over $100k"
"KerryJohn Kerry (D)","$9324378","$355713","3.81%","Raised over $100k"
"DentCharlie Dent (R)","$1706451","$64863","3.80%","Raised over $100k"
"ReedTom Reed (R)","$2107794","$78585","3.73%","Raised over $100k"
"LandrieuMary L Landrieu (D)","$13066787","$483438","3.70%","Raised over $100k"
"DoldRobert Dold (R)","$4569085","$168660","3.69%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$1779731","$65606","3.69%","Raised over $100k"
"GuintaFrank Guinta (R)","$1903770","$69269","3.64%","Raised over $100k"
"KylJon L Kyl (R)","$1194360","$43060","3.61%","Raised over $100k"
"SewellTerri A Sewell (D)","$1204450","$43178","3.58%","Raised over $100k"
"HimesJim Himes (D)","$3035222","$108384","3.57%","Raised over $100k"
"HarperGregg Harper (R)","$916616","$32351","3.53%","Raised over $100k"
"MurphyTim Murphy (R)","$2386295","$83628","3.50%","Raised over $100k"
"HeckJoe Heck (R)","$2423277","$84834","3.50%","Raised over $100k"
"WickerRoger Wicker (R)","$10415146","$362610","3.48%","Raised over $100k"
"HayworthNan Hayworth (R)","$3255563","$113322","3.48%","Raised over $100k"
"LucasFrank D Lucas (R)","$1622078","$56407","3.48%","Raised over $100k"
"PayneDonald M Payne Jr (D)","$553327","$18423","3.33%","Raised over $100k"
"CansecoQuico Canseco (R)","$2712704","$89472","3.30%","Raised over $100k"
"GrangerKay Granger (R)","$1375457","$45151","3.28%","Raised over $100k"
"BorenDan Boren (D)","$257368","$8418","3.27%","Raised over $100k"
"ClayWilliam L Clay Jr (D)","$866835","$28317","3.27%","Raised over $100k"
"VelazquezNydia Velazquez (D)","$674524","$21818","3.23%","Raised over $100k"
"SmithLamar Smith (R)","$1727472","$55816","3.23%","Raised over $100k"
"FattahChaka Fattah (D)","$554638","$17645","3.18%","Raised over $100k"
"HensarlingJeb Hensarling (R)","$3017392","$95923","3.18%","Raised over $100k"
"CummingsElijah E Cummings (D)","$795483","$25212","3.17%","Raised over $100k"
"WilsonFrederica Wilson (D)","$534032","$16816","3.15%","Raised over $100k"
"CulbersonJohn Culberson (R)","$842045","$26190","3.11%","Raised over $100k"
"RigellScott Rigell (R)","$2397768","$74363","3.10%","Raised over $100k"
"SanchezLoretta Sanchez (D)","$1677371","$51992","3.10%","Raised over $100k"
"HuizengaBill Huizenga (R)","$1066724","$33064","3.10%","Raised over $100k"
"MathesonJim Matheson (D)","$2360399","$73117","3.10%","Raised over $100k"
"BassKaren Bass (D)","$692989","$21423","3.09%","Raised over $100k"
"CassidyBill Cassidy (R)","$1797931","$55212","3.07%","Raised over $100k"
"EshooAnna Eshoo (D)","$1489802","$45325","3.04%","Raised over $100k"
"PittsJoe Pitts (R)","$1312424","$39861","3.04%","Raised over $100k"
"SmithAdam Smith (D)","$1145880","$34722","3.03%","Raised over $100k"
"HergerWally Herger (R)","$305169","$9237","3.03%","Raised over $100k"
"BerniceEddie Bernice Johnson (D)","$779237","$23390","3.00%","Raised over $100k"
"BilbrayBrian P Bilbray (R)","$2659541","$79654","3.00%","Raised over $100k"
"LuetkemeyerBlaine Luetkemeyer (R)","$977424","$29198","2.99%","Raised over $100k"
"BiggertJudy Biggert (R)","$2909766","$86585","2.98%","Raised over $100k"
"RossMike Ross (D)","$450145","$13214","2.94%","Raised over $100k"
