Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
SuozziTom Suozzi (D),$9538256,$1289185,13.52%,Raised over $100k,D,Democrat,9538256,1289185,13.52,Tom Suozzi,76.9,auto,Thomas,Suozzi,Thomas R. Suozzi,Democrat,rep,NY,S001201,reptomsuozzi,Q4 (highest),stratified
DavidsSharice Davids (D),$5915701,$979875,16.56%,Raised over $100k,D,Democrat,5915701,979875,16.56,Sharice Davids,100.0,auto,Sharice,Davids,Sharice Davids,Democrat,rep,KS,D000629,RepDavids,Q4 (highest),stratified
LeeBarbara Lee (D),$5473994,$1272567,23.25%,Raised over $100k,D,Democrat,5473994,1272567,23.25,Barbara Lee,100.0,manual,,,Barbara Lee,Democrat,rep,CA,L000551,RepBarbaraLee,Q4 (highest),stratified
OmarIlhan Omar (D),$8202075,$3910173,47.67%,Raised over $100k,D,Democrat,8202075,3910173,47.67,Ilhan Omar,100.0,auto,Ilhan,Omar,Ilhan Omar,Democrat,rep,MN,O000173,Ilhan,Q4 (highest),stratified
LeeSummer Lee (D),$2923335,$587574,20.10%,Raised over $100k,D,Democrat,2923335,587574,20.1,Summer Lee,87.0,auto,Summer,Lee,Summer L. Lee,Democrat,rep,PA,L000602,RepSummerLee,Q4 (highest),stratified
PelosiNancy Pelosi (D),$10003159,$5340919,53.39%,Raised over $100k,D,Democrat,10003159,5340919,53.39,Nancy Pelosi,100.0,auto,Nancy,Pelosi,Nancy Pelosi,Democrat,rep,CA,P000197,SpeakerPelosi,Q4 (highest),stratified
McGovernJames P McGovern (D),$1092908,$170174,15.57%,Raised over $100k,D,Democrat,1092908,170174,15.57,James P McGovern,97.0,auto,James,McGovern,James P. McGovern,Democrat,rep,MA,M000312,RepMcGovern,Q4 (highest),stratified
WextonJennifer Wexton (D),$480029,$94333,19.65%,Raised over $100k,D,Democrat,480029,94333,19.65,Jennifer Wexton,100.0,manual,,,Jennifer Wexton,Democrat,rep,VA,W000825,RepWexton,Q4 (highest),stratified
RogersMike D Rogers (R),$2871792,$21916,0.76%,Raised over $100k,R,Republican,2871792,21916,0.76,Mike D Rogers,91.7,auto,Mike,Rogers,Mike Rogers,Republican,rep,AL,R000575,RepMikeRogersAL,Q1 (lowest),stratified
TimmonsWilliam Timmons (R),$1329634,$7814,0.59%,Raised over $100k,R,Republican,1329634,7814,0.59,William Timmons,83.3,auto,William,Timmons,William R. Timmons IV,Republican,rep,SC,T000480,RepTimmons,Q1 (lowest),stratified
AmodeiMark Amodei (R),$1277056,$5525,0.43%,Raised over $100k,R,Republican,1277056,5525,0.43,Mark Amodei,88.0,auto,Mark,Amodei,Mark E. Amodei,Republican,rep,NV,A000369,MarkAmodeiNV2,Q1 (lowest),stratified
CarterJohn Carter (R),$1199483,$16620,1.39%,Raised over $100k,R,Republican,1199483,16620,1.39,John Carter,88.0,auto,John,Carter,John R. Carter,Republican,rep,TX,C001051,JudgeCarter,Q1 (lowest),stratified
LeeLaurel Lee (R),$1959920,$29777,1.52%,Raised over $100k,R,Republican,1959920,29777,1.52,Laurel Lee,87.0,auto,Laurel,Lee,Laurel M. Lee,Republican,rep,FL,L000597,RepLaurelLee,Q1 (lowest),stratified
RogersHal Rogers (R),$1052277,$3005,0.29%,Raised over $100k,R,Republican,1052277,3005,0.29,Hal Rogers,87.0,auto,Harold,Rogers,Harold Rogers,Republican,rep,KY,R000395,RepHalRogers,Q1 (lowest),stratified
GoodenLance Gooden (R),$1136644,$5752,0.51%,Raised over $100k,R,Republican,1136644,5752,0.51,Lance Gooden,100.0,auto,Lance,Gooden,Lance Gooden,Republican,rep,TX,G000589,RepLanceGooden,Q1 (lowest),stratified
McHenryPatrick McHenry (R),$1873643,$1939,0.10%,Raised over $100k,R,Republican,1873643,1939,0.1,Patrick T. McHenry,100.0,manual,,,Patrick T. McHenry,Republican,rep,NC,M001156,PatrickMcHenry,Q1 (lowest),stratified
ThompsonGlenn Thompson (R),$2819758,$69998,2.48%,Raised over $100k,R,Republican,2819758,69998,2.48,Glenn Thompson,100.0,auto,Glenn,Thompson,Glenn Thompson,Republican,rep,PA,T000467,CongressmanGT,Q2,stratified
FryRussell Fry (R),$1473349,$50780,3.45%,Raised over $100k,R,Republican,1473349,50780,3.45,Russell Fry,100.0,auto,Russell,Fry,Russell Fry,Republican,rep,SC,F000478,RepRussellFry,Q2,stratified
AlfordMark Alford (R),$1303886,$36162,2.77%,Raised over $100k,R,Republican,1303886,36162,2.77,Mark Alford,100.0,auto,Mark,Alford,Mark Alford,Republican,rep,MO,A000379,RepMarkAlford,Q2,stratified
MooreBarry Moore (R),$1059645,$18687,1.76%,Raised over $100k,R,Republican,1059645,18687,1.76,Barry Moore,100.0,auto,Barry,Moore,Barry Moore,Republican,rep,AL,M001212,RepBarryMoore,Q2,stratified
LaLotaNick LaLota (R),$4059577,$97337,2.40%,Raised over $100k,R,Republican,4059577,97337,2.4,Nick LaLota,100.0,auto,Nicolas,LaLota,Nick LaLota,Republican,rep,NY,L000598,RepLaLota,Q2,stratified
EdwardsChuck Edwards (R),$1211362,$34041,2.81%,Raised over $100k,R,Republican,1211362,34041,2.81,Chuck Edwards,100.0,auto,Charles (Chuck),Edwards,Chuck Edwards,Republican,rep,NC,E000246,RepChuckEdwards,Q2,stratified
HudsonRichard Hudson (R),$3947101,$168431,4.27%,Raised over $100k,R,Republican,3947101,168431,4.27,Richard Hudson,100.0,auto,Richard,Hudson,Richard Hudson,Republican,rep,NC,H001067,RepRichHudson,Q2,stratified
GarbarinoAndrew Garbarino (R),$3760308,$98845,2.63%,Raised over $100k,R,Republican,3760308,98845,2.63,Andrew Garbarino,91.4,auto,Andrew,Garbarino,Andrew R. Garbarino,Republican,rep,NY,G000597,RepGarbarino,Q2,stratified
D'EspositoAnthony D'Esposito (R),$4519185,$251430,5.56%,Raised over $100k,R,Republican,4519185,251430,5.56,Anthony D’Esposito,100.0,manual,,,Anthony D’Esposito,Republican,rep,NY,D000632,RepDesposito,Q3,stratified
McMorrisCathy McMorris Rodgers (R),$3068965,$229910,7.49%,Raised over $100k,R,Republican,3068965,229910,7.49,Cathy McMorris Rodgers,100.0,manual,,,Cathy McMorris Rodgers,Republican,rep,WA,M001159,CathyMcMorris,Q3,stratified
DunnNeal Dunn (R),$1062453,$91746,8.64%,Raised over $100k,R,Republican,1062453,91746,8.64,Neal Dunn,85.7,auto,Neal,Dunn,Neal P. Dunn,Republican,rep,FL,D000628,DrNealDunnFL2,Q3,stratified
LeskoDebbie Lesko (R),$319014,$40398,12.66%,Raised over $100k,R,Republican,319014,40398,12.66,Debbie Lesko,100.0,manual,,,Debbie Lesko,Republican,rep,AZ,L000589,debbielesko,Q3,stratified
SmithJason Smith (R),$6519602,$528856,8.11%,Raised over $100k,R,Republican,6519602,528856,8.11,Jason Smith,100.0,auto,Jason,Smith,Jason Smith,Republican,rep,MO,S001195,RepJasonSmith,Q3,stratified
PoseyBill Posey (R),$434040,$57383,13.22%,Raised over $100k,R,Republican,434040,57383,13.22,Bill Posey,100.0,manual,,,Bill Posey,Republican,rep,FL,P000599,CongBillPosey,Q3,stratified
Miller-MeeksMariannette Miller-Meeks (R),$5424426,$344101,6.34%,Raised over $100k,R,Republican,5424426,344101,6.34,Mariannette Miller-Meeks,100.0,auto,Mariannette,Miller-Meeks,Mariannette Miller-Meeks,Republican,rep,IA,M001215,RepMMM,Q3,stratified
NehlsTroy Nehls (R),$834455,$63085,7.56%,Raised over $100k,R,Republican,834455,63085,7.56,Troy Nehls,87.0,auto,Troy,Nehls,Troy E. Nehls,Republican,rep,TX,N000026,RepTroyNehls,Q3,stratified
KimYoung Kim (R),$9067799,$2273294,25.07%,Raised over $100k,R,Republican,9067799,2273294,25.07,Young Kim,100.0,auto,Young,Kim,Young Kim,Republican,rep,CA,K000397,RepYoungKim,Q4 (highest),stratified
MassieThomas Massie (R),$1323139,$257098,19.43%,Raised over $100k,R,Republican,1323139,257098,19.43,Thomas Massie,100.0,auto,Thomas,Massie,Thomas Massie,Republican,rep,KY,M001184,RepThomasMassie,Q4 (highest),stratified
StefanikElise Stefanik (R),$15444946,$2636569,17.07%,Raised over $100k,R,Republican,15444946,2636569,17.07,Elise Stefanik,90.3,auto,Elise,Stefanik,Elise M. Stefanik,Republican,rep,NY,S001196,RepStefanik,Q4 (highest),stratified
CollinsMike Collins (R),$1704745,$696305,40.85%,Raised over $100k,R,Republican,1704745,696305,40.85,Mike Collins,100.0,auto,Mike,Collins,Mike Collins,Republican,rep,GA,C001129,RepMikeCollins,Q4 (highest),stratified
JacksonRonny Jackson (R),$6312579,$3107198,49.22%,Raised over $100k,R,Republican,6312579,3107198,49.22,Ronny Jackson,100.0,auto,Ronny,Jackson,Ronny Jackson,Republican,rep,TX,J000304,RepRonnyJackson,Q4 (highest),stratified
IssaDarrell Issa (R),$1761806,$275631,15.64%,Raised over $100k,R,Republican,1761806,275631,15.64,Darrell Issa,100.0,auto,Darrell,Issa,Darrell Issa,Republican,rep,CA,I000056,repdarrellissa,Q4 (highest),stratified
RoseJohn Rose (R),$1106670,$197747,17.87%,Raised over $100k,R,Republican,1106670,197747,17.87,John Rose,85.7,auto,John,Rose,John W. Rose,Republican,rep,TN,R000612,RepJohnRose,Q4 (highest),stratified
FeenstraRandy Feenstra (R),$4242569,$585320,13.80%,Raised over $100k,R,Republican,4242569,585320,13.8,Randy Feenstra,100.0,auto,Randy,Feenstra,Randy Feenstra,Republican,rep,IA,F000446,RepFeenstra,Q4 (highest),stratified
EstesRon Estes (R),$2261595,$17051,0.75%,Raised over $100k,R,Republican,2261595,17051,0.75,Ron Estes,100.0,auto,Ron,Estes,Ron Estes,Republican,rep,KS,E000298,RepRonEstes,Q1 (lowest),replacement
MannTracey Mann (R),$1368783,$9935,0.73%,Raised over $100k,R,Republican,1368783,9935,0.73,Tracey Mann,100.0,auto,Tracey,Mann,Tracey Mann,Republican,rep,KS,M000871,RepMann,Q1 (lowest),replacement
GayMary Gay Scanlon (D),$1473876,$124637,8.46%,Raised over $100k,D,Democrat,1473876,124637,8.46,Mary Gay Scanlon,100.0,manual,,,Mary Gay Scanlon,Democrat,rep,PA,S001205,RepMGS,Q3,replacement
BentzCliff Bentz (R),$1093068,$65275,5.97%,Raised over $100k,R,Republican,1093068,65275,5.97,Cliff Bentz,100.0,auto,Cliff,Bentz,Cliff Bentz,Republican,rep,OR,B000668,RepBentz,Q3,replacement
