Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
DuckworthTammy Duckworth (D),$23296673,$9921754,42.59%,Raised over $100k,D,Democrat,23296673,9921754,42.59,Tammy Duckworth,100.0,auto,Tammy,Duckworth,Tammy Duckworth,Democrat,sen,IL,D000622,SenDuckworth
GallegoRuben Gallego (D),$63777612,$26980378,42.30%,Raised over $100k,D,Democrat,63777612,26980378,42.3,Ruben Gallego,100.0,auto,Ruben,Gallego,Ruben Gallego,Democrat,sen,AZ,G000574,RepRubenGallego
PaulinaAnna Paulina Luna (R),$3662980,$1521833,41.55%,Raised over $100k,R,Republican,3662980,1521833,41.55,Morgan Luttrell,100.0,manual,,,Morgan Luttrell,Republican,rep,TX,L000603,RepLuttrell
CortezCatherine Cortez Masto (D),$65688546,$26913897,40.97%,Raised over $100k,D,Democrat,65688546,26913897,40.97,Catherine Cortez Masto,100.0,manual,,,Catherine Cortez Masto,Democrat,sen,NV,C001113,SenCortezMasto
ScottTim Scott (R),$67301932,$27532241,40.91%,Raised over $100k,R,Republican,67301932,27532241,40.91,Tim Scott,100.0,auto,Tim,Scott,Tim Scott,Republican,sen,SC,S001184,SenatorTimScott
CollinsMike Collins (R),$1704745,$696305,40.85%,Raised over $100k,R,Republican,1704745,696305,40.85,Mike Collins,100.0,auto,Mike,Collins,Mike Collins,Republican,rep,GA,C001129,RepMikeCollins
McConnellMitch McConnell (R),$72967093,$29237362,40.07%,Raised over $100k,R,Republican,72967093,29237362,40.07,Mitch McConnell,100.0,auto,Mitch,McConnell,Mitch McConnell,Republican,sen,KY,M000355,McConnellPress
DonaldsByron Donalds (R),$6563388,$2616547,39.87%,Raised over $100k,R,Republican,6563388,2616547,39.87,Byron Donalds,100.0,auto,Byron,Donalds,Byron Donalds,Republican,rep,FL,D000032,RepDonaldsPress
SchiffAdam Schiff (D),$47309769,$18836012,39.81%,Raised over $100k,D,Democrat,47309769,18836012,39.81,Adam Schiff,88.0,auto,Adam,Schiff,Adam B. Schiff,Democrat,sen,CA,S001150,SenAdamSchiff
JeffriesHakeem Jeffries (D),$22820569,$8694626,38.10%,Raised over $100k,D,Democrat,22820569,8694626,38.1,Hakeem Jeffries,90.9,auto,Hakeem,Jeffries,Hakeem S. Jeffries,Democrat,rep,NY,J000294,RepJeffries
ZinkeRyan Zinke (R),$9990150,$3732209,37.36%,Raised over $100k,R,Republican,9990150,3732209,37.36,Ryan Zinke,87.0,auto,Ryan,Zinke,Ryan K. Zinke,Republican,rep,MT,Z000018,RepRyanZinke
LeeMike Lee (R),$16528336,$6030396,36.49%,Raised over $100k,R,Republican,16528336,6030396,36.49,Mike Lee,100.0,auto,Mike,Lee,Mike Lee,Republican,sen,UT,L000577,SenMikeLee
HawleyJosh Hawley (R),$27210242,$9900237,36.38%,Raised over $100k,R,Republican,27210242,9900237,36.38,Josh Hawley,100.0,auto,Joshua,Hawley,Josh Hawley,Republican,sen,MO,H001089,SenHawleyPress
RubioMarco Rubio (R),$50277155,$18251673,36.30%,Raised over $100k,R,Republican,50277155,18251673,36.3,Marco Rubio,100.0,manual,,,Marco Rubio,Republican,sen,FL,R000595,
RaskinJamie Raskin (D),$4783442,$1733201,36.23%,Raised over $100k,D,Democrat,4783442,1733201,36.23,Jamie Raskin,100.0,auto,Jamie,Raskin,Jamie Raskin,Democrat,rep,MD,R000606,RepRaskin
