Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
KiggansJen Kiggans (R),$6434811,$1134837,17.64%,Raised over $100k,R,Republican,6434811,1134837,17.64,Jen Kiggans,73.3,auto,Jennifer,Kiggans,Jennifer A. Kiggans,Republican,rep,VA,K000399,RepJenKiggans
KileyKevin Kiley (R),$4187895,$736088,17.58%,Raised over $100k,R,Republican,4187895,736088,17.58,Kevin Kiley,100.0,auto,Kevin,Kiley,Kevin Kiley,Republican,rep,CA,K000401,RepKiley
MooneyAlex Mooney (R),$1952747,$342324,17.53%,Raised over $100k,R,Republican,1952747,342324,17.53,Alexander X. Mooney,100.0,manual,,,Alexander X. Mooney,Republican,rep,WV,M001195,
SteelMichelle Steel (R),$10449923,$1816823,17.39%,Raised over $100k,R,Republican,10449923,1816823,17.39,Michelle Steel,100.0,manual,,,Michelle Steel,Republican,rep,CA,S001135,
HarshbargerDiana Harshbarger (R),$1872094,$324407,17.33%,Raised over $100k,R,Republican,1872094,324407,17.33,Diana Harshbarger,100.0,auto,Diana,Harshbarger,Diana Harshbarger,Republican,rep,TN,H001086,RepHarshbarger
StefanikElise Stefanik (R),$15444946,$2636569,17.07%,Raised over $100k,R,Republican,15444946,2636569,17.07,Elise Stefanik,90.3,auto,Elise,Stefanik,Elise M. Stefanik,Republican,rep,NY,S001196,RepStefanik
CarlJerry Carl (R),$1791145,$305387,17.05%,Raised over $100k,R,Republican,1791145,305387,17.05,John R. Curtis,100.0,manual,,,John R. Curtis,Republican,sen,UT,C001114,RepJohnCurtis
DavidsSharice Davids (D),$5915701,$979875,16.56%,Raised over $100k,D,Democrat,5915701,979875,16.56,Sharice Davids,100.0,auto,Sharice,Davids,Sharice Davids,Democrat,rep,KS,D000629,RepDavids
GosarPaul Gosar (R),$459220,$75643,16.47%,Raised over $100k,R,Republican,459220,75643,16.47,Paul Gosar,87.0,auto,Paul,Gosar,Paul A. Gosar,Republican,rep,AZ,G000565,RepGosar
CammackKat Cammack (R),$2634508,$433343,16.45%,Raised over $100k,R,Republican,2634508,433343,16.45,Kat Cammack,100.0,auto,Katherine,Cammack,Kat Cammack,Republican,rep,FL,C001039,RepKatCammack
HayesJahana Hayes (D),$4048084,$657678,16.25%,Raised over $100k,D,Democrat,4048084,657678,16.25,Jahana Hayes,100.0,auto,Jahana,Hayes,Jahana Hayes,Democrat,rep,CT,H001081,RepJahanaHayes
CaraveoYadira Caraveo (D),$8048643,$1294679,16.09%,Raised over $100k,D,Democrat,8048643,1294679,16.09,Yadira Caraveo,100.0,manual,,,Yadira Caraveo,Democrat,rep,CO,C001134,
FousheeValerie Foushee (D),$683926,$109725,16.04%,Raised over $100k,D,Democrat,683926,109725,16.04,Valerie Foushee,90.9,auto,Valerie,Foushee,Valerie P. Foushee,Democrat,rep,NC,F000477,ValerieFoushee
HinsonAshley Hinson (R),$5565617,$888904,15.97%,Raised over $100k,R,Republican,5565617,888904,15.97,Ashley Hinson,100.0,auto,Ashley,Hinson,Ashley Hinson,Republican,rep,IA,H001091,RepAshleyHinson
McClintockTom McClintock (R),$1143387,$180914,15.82%,Raised over $100k,R,Republican,1143387,180914,15.82,Tom McClintock,100.0,auto,Tom,McClintock,Tom McClintock,Republican,rep,CA,M001177,RepMcClintock
SarbanesJohn Sarbanes (D),$15868,$2509,15.81%,Raised less than $100k,D,Democrat,15868,2509,15.81,John P. Sarbanes,100.0,manual,,,John P. Sarbanes,Democrat,rep,MD,S001168,
UnderwoodLauren A Underwood (D),$4082518,$644232,15.78%,Raised over $100k,D,Democrat,4082518,644232,15.78,Lauren A Underwood,94.1,auto,Lauren,Underwood,Lauren Underwood,Democrat,rep,IL,U000040,RepUnderwood
LummisCynthia Lummis (R),$3581541,$561158,15.67%,Raised over $100k,R,Republican,3581541,561158,15.67,Cynthia Lummis,90.3,auto,Cynthia,Lummis,Cynthia M. Lummis,Republican,sen,WY,L000571,SenLummis
IssaDarrell Issa (R),$1761806,$275631,15.64%,Raised over $100k,R,Republican,1761806,275631,15.64,Darrell Issa,100.0,auto,Darrell,Issa,Darrell Issa,Republican,rep,CA,I000056,repdarrellissa
SmithChris Smith (R),$838537,$130989,15.62%,Raised over $100k,R,Republican,838537,130989,15.62,Chris Smith,71.0,auto,Christopher,Smith,Christopher H. Smith,Republican,rep,NJ,S000522,
SteubeGreg Steube (R),$1710108,$266852,15.60%,Raised over $100k,R,Republican,1710108,266852,15.6,Greg Steube,78.6,auto,W.,Steube,W. Gregory Steube,Republican,rep,FL,S001214,RepGregSteube
BalintBecca Balint (D),$1372634,$214118,15.60%,Raised over $100k,D,Democrat,1372634,214118,15.6,Becca Balint,100.0,auto,Becca,Balint,Becca Balint,Democrat,rep,VT,B001318,RepBeccaB
StansburyMelanie Stansbury (D),$1343239,$209339,15.58%,Raised over $100k,D,Democrat,1343239,209339,15.58,Melanie Stansbury,91.9,auto,Melanie,Stansbury,Melanie A. Stansbury,Democrat,rep,NM,S001218,Rep_Stansbury
McGovernJames P McGovern (D),$1092908,$170174,15.57%,Raised over $100k,D,Democrat,1092908,170174,15.57,James P McGovern,97.0,auto,James,McGovern,James P. McGovern,Democrat,rep,MA,M000312,RepMcGovern
GarciaMike Garcia (R),$6485208,$1007275,15.53%,Raised over $100k,R,Republican,6485208,1007275,15.53,Robert Garcia,100.0,manual,,,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia
HigginsClay Higgins (R),$1016991,$157875,15.52%,Raised over $100k,R,Republican,1016991,157875,15.52,Clay Higgins,100.0,auto,Clay,Higgins,Clay Higgins,Republican,rep,LA,H001077,RepClayHiggins
WildSusan Wild (D),$8856117,$1374447,15.52%,Raised over $100k,D,Democrat,8856117,1374447,15.52,Susan Wild,100.0,manual,,,Susan Wild,Democrat,rep,PA,W000826,
BurlisonEric Burlison (R),$923026,$143138,15.51%,Raised over $100k,R,Republican,923026,143138,15.51,Eric Burlison,100.0,auto,Eric,Burlison,Eric Burlison,Republican,rep,MO,B001316,RepEricBurlison
CantwellMaria Cantwell (D),$12724745,$1969002,15.47%,Raised over $100k,D,Democrat,12724745,1969002,15.47,Maria Cantwell,100.0,auto,Maria,Cantwell,Maria Cantwell,Democrat,sen,WA,C000127,SenatorCantwell
GluesenkampMarie Gluesenkamp Perez (D),$11660957,$1798924,15.43%,Raised over $100k,D,Democrat,11660957,1798924,15.43,Craig A. Goldman,100.0,manual,,,Craig A. Goldman,Republican,rep,TX,G000601,RepCraigGoldman
McBathLucy McBath (D),$2431244,$368999,15.18%,Raised over $100k,D,Democrat,2431244,368999,15.18,Lucy McBath,100.0,auto,Lucy,McBath,Lucy McBath,Democrat,rep,GA,M001208,RepLucyMcBath
HarderJosh Harder (D),$5306590,$800349,15.08%,Raised over $100k,D,Democrat,5306590,800349,15.08,Josh Harder,100.0,auto,Josh,Harder,Josh Harder,Democrat,rep,CA,H001090,RepJoshHarder
MoultonSeth Moulton (D),$2849440,$428950,15.05%,Raised over $100k,D,Democrat,2849440,428950,15.05,Seth Moulton,100.0,auto,Seth,Moulton,Seth Moulton,Democrat,rep,MA,M001196,RepMoulton
GillibrandKirsten Gillibrand (D),$14857728,$2224331,14.97%,Raised over $100k,D,Democrat,14857728,2224331,14.97,Kirsten Gillibrand,92.3,auto,Kirsten,Gillibrand,Kirsten E. Gillibrand,Democrat,sen,NY,G000555,GillibrandNY
GoldenJared Golden (D),$7743101,$1128219,14.57%,Raised over $100k,D,Democrat,7743101,1128219,14.57,Jared Golden,88.9,auto,Jared,Golden,Jared F. Golden,Democrat,rep,ME,G000592,RepGolden
SchmittEric Schmitt (R),$8421390,$1218529,14.47%,Raised over $100k,R,Republican,8421390,1218529,14.47,Eric Schmitt,100.0,auto,Eric,Schmitt,Eric Schmitt,Republican,sen,MO,S001227,SenEricSchmitt
TiffanyTom Tiffany (R),$1241429,$177927,14.33%,Raised over $100k,R,Republican,1241429,177927,14.33,Thomas P. Tiffany,100.0,manual,,,Thomas P. Tiffany,Republican,rep,WI,T000165,RepTiffany
HeinrichMartin Heinrich (D),$12970084,$1857275,14.32%,Raised over $100k,D,Democrat,12970084,1857275,14.32,Martin Heinrich,100.0,auto,Martin,Heinrich,Martin Heinrich,Democrat,sen,NM,H001046,MartinHeinrich
GrothmanGlenn Grothman (R),$985756,$139944,14.20%,Raised over $100k,R,Republican,985756,139944,14.2,Glenn Grothman,100.0,auto,Glenn,Grothman,Glenn Grothman,Republican,rep,WI,G000576,RepGrothman
ConnollyGerry Connolly (D),$2517838,$356034,14.14%,Raised over $100k,D,Democrat,2517838,356034,14.14,Gerald E. Connolly,100.0,manual,,,Gerald E. Connolly,Democrat,rep,VA,C001078,
FischbachMichelle Fischbach (R),$2010301,$281783,14.02%,Raised over $100k,R,Republican,2010301,281783,14.02,Michelle Fischbach,100.0,auto,Michelle,Fischbach,Michelle Fischbach,Republican,rep,MN,F000470,RepFischbach
VasquezGabe Vasquez (D),$6956820,$966637,13.89%,Raised over $100k,D,Democrat,6956820,966637,13.89,Gabe Vasquez,100.0,auto,Gabriel (Gabe),Vasquez,Gabe Vasquez,Democrat,rep,NM,V000136,RepGabeVasquez
DurbinDick Durbin (D),$9493246,$1317861,13.88%,Raised over $100k,D,Democrat,9493246,1317861,13.88,Richard J. Durbin,100.0,manual,,,Richard J. Durbin,Democrat,sen,IL,D000563,SenatorDurbin
FeenstraRandy Feenstra (R),$4242569,$585320,13.80%,Raised over $100k,R,Republican,4242569,585320,13.8,Randy Feenstra,100.0,auto,Randy,Feenstra,Randy Feenstra,Republican,rep,IA,F000446,RepFeenstra
SykesEmilia Sykes (D),$5270437,$715744,13.58%,Raised over $100k,D,Democrat,5270437,715744,13.58,Emilia Sykes,77.4,auto,Emilia,Sykes,Emilia Strong Sykes,Democrat,rep,OH,S001223,RepEmiliaSykes
SuozziTom Suozzi (D),$9538256,$1289185,13.52%,Raised over $100k,D,Democrat,9538256,1289185,13.52,Tom Suozzi,76.9,auto,Thomas,Suozzi,Thomas R. Suozzi,Democrat,rep,NY,S001201,reptomsuozzi
CramerKevin Cramer (R),$6388234,$859805,13.46%,Raised over $100k,R,Republican,6388234,859805,13.46,Kevin Cramer,100.0,auto,Kevin,Cramer,Kevin Cramer,Republican,sen,ND,C001096,SenKevinCramer
SherrillMikie Sherrill (D),$4400561,$591662,13.45%,Raised over $100k,D,Democrat,4400561,591662,13.45,Mikie Sherrill,100.0,manual,,,Mikie Sherrill,Democrat,rep,NJ,S001207,
MolinaroMarc Molinaro (R),$5501365,$735985,13.38%,Raised over $100k,R,Republican,5501365,735985,13.38,Robert Menendez,100.0,manual,,,Robert Menendez,Democrat,rep,NJ,M001226,RepMenendez
WilliamsBrandon Williams (R),$4172151,$554346,13.29%,Raised over $100k,R,Republican,4172151,554346,13.29,Brandon Williams,66.7,no_match,,,,,,,,
PoseyBill Posey (R),$434040,$57383,13.22%,Raised over $100k,R,Republican,434040,57383,13.22,Bill Posey,100.0,manual,,,Bill Posey,Republican,rep,FL,P000599,
SwalwellEric Swalwell (D),$3885636,$511246,13.16%,Raised over $100k,D,Democrat,3885636,511246,13.16,Eric Swalwell,100.0,auto,Eric,Swalwell,Eric Swalwell,Democrat,rep,CA,S001193,RepSwalwell
SchumerCharles E Schumer (D),$42963221,$5630162,13.10%,Raised over $100k,D,Democrat,42963221,5630162,13.1,Charles E Schumer,97.1,auto,Charles,Schumer,Charles E. Schumer,Democrat,sen,NY,S000148,SenSchumer
MaceNancy Mace (R),$3461772,$449704,12.99%,Raised over $100k,R,Republican,3461772,449704,12.99,Nancy Mace,100.0,auto,Nancy,Mace,Nancy Mace,Republican,rep,SC,M000194,RepNancyMace
MoskowitzJared Moskowitz (D),$2169791,$280960,12.95%,Raised over $100k,D,Democrat,2169791,280960,12.95,Jared Moskowitz,100.0,auto,Jared,Moskowitz,Jared Moskowitz,Democrat,rep,FL,M001217,RepMoskowitz
CourtneyJoe Courtney (D),$1265677,$160372,12.67%,Raised over $100k,D,Democrat,1265677,160372,12.67,Joe Courtney,100.0,auto,Joe,Courtney,Joe Courtney,Democrat,rep,CT,C001069,RepJoeCourtney
LeskoDebbie Lesko (R),$319014,$40398,12.66%,Raised over $100k,R,Republican,319014,40398,12.66,Debbie Lesko,100.0,manual,,,Debbie Lesko,Republican,rep,AZ,L000589,
SalinasAndrea Salinas (D),$5312185,$670954,12.63%,Raised over $100k,D,Democrat,5312185,670954,12.63,Andrea Salinas,100.0,auto,Andrea,Salinas,Andrea Salinas,Democrat,rep,OR,S001226,repsalinas
HagertyBill Hagerty (R),$17165599,$2163506,12.60%,Raised over $100k,R,Republican,17165599,2163506,12.6,Bill Hagerty,100.0,auto,Bill,Hagerty,Bill Hagerty,Republican,sen,TN,H000601,SenatorHagerty
BraunMike Braun (R),$2175017,$273857,12.59%,Raised over $100k,R,Republican,2175017,273857,12.59,Mike Braun,100.0,manual,,,Mike Braun,Republican,sen,IN,B001310,
BrittKatie Britt (R),$15313397,$1919905,12.54%,Raised over $100k,R,Republican,15313397,1919905,12.54,Katie Britt,81.5,auto,Katie,Britt,Katie Boyd Britt,Republican,sen,AL,B001319,SenKatieBritt
PingreeChellie Pingree (D),$661687,$82710,12.50%,Raised over $100k,D,Democrat,661687,82710,12.5,Chellie Pingree,100.0,auto,Chellie,Pingree,Chellie Pingree,Democrat,rep,ME,P000597,ChelliePingree
RosendaleMatt Rosendale (R),$790441,$97482,12.33%,Raised over $100k,R,Republican,790441,97482,12.33,"Matthew M. Rosendale, Sr.",100.0,manual,,,"Matthew M. Rosendale, Sr.",Republican,rep,MT,R000103,
LopezGreg Lopez (R),$43353,$5266,12.15%,Raised less than $100k,R,Republican,43353,5266,12.15,,0.0,known_non_member,,,,,,,,
LegerTeresa Leger Fernandez (D),$2105098,$254871,12.11%,Raised over $100k,D,Democrat,2105098,254871,12.11,Alan S. Lowenthal,100.0,manual,,,Alan S. Lowenthal,Democrat,rep,CA,L000579,
McCaulMichael McCaul (R),$3127715,$377739,12.08%,Raised over $100k,R,Republican,3127715,377739,12.08,Michael McCaul,90.3,auto,Michael,McCaul,Michael T. McCaul,Republican,rep,TX,M001157,RepMcCaul
RischJames E Risch (R),$3958222,$472814,11.95%,Raised over $100k,R,Republican,3958222,472814,11.95,James E Risch,96.3,auto,James,Risch,James E. Risch,Republican,sen,ID,R000584,SenatorRisch
CastroJoaquin Castro (D),$677236,$80805,11.93%,Raised over $100k,D,Democrat,677236,80805,11.93,Joaquin Castro,100.0,auto,Joaquin,Castro,Joaquin Castro,Democrat,rep,TX,C001091,JoaquinCastrotx
OglesAndy Ogles (R),$953830,$113373,11.89%,Raised over $100k,R,Republican,953830,113373,11.89,Andy Ogles,81.8,auto,Andrew,Ogles,Andrew Ogles,Republican,rep,TN,O000175,repogles
CraigAngie Craig (D),$7785521,$920160,11.82%,Raised over $100k,D,Democrat,7785521,920160,11.82,Angie Craig,100.0,auto,Angie,Craig,Angie Craig,Democrat,rep,MN,C001119,RepAngieCraig
BairdJim Baird (R),$455568,$52686,11.56%,Raised over $100k,R,Republican,455568,52686,11.56,James R. Baird,100.0,manual,,,James R. Baird,Republican,rep,IN,B001307,RepJimBaird
Chavez-DeremerLori Chavez-Deremer (R),$5962097,$687815,11.54%,Raised over $100k,R,Republican,5962097,687815,11.54,,0.0,override_id_missing,,,,,,,,
KapturMarcy Kaptur (D),$5030990,$574735,11.42%,Raised over $100k,D,Democrat,5030990,574735,11.42,Marcy Kaptur,100.0,auto,Marcy,Kaptur,Marcy Kaptur,Democrat,rep,OH,K000009,RepMarcyKaptur
HarrisAndy Harris (R),$1349540,$152803,11.32%,Raised over $100k,R,Republican,1349540,152803,11.32,Andy Harris,100.0,auto,Andy,Harris,Andy Harris,Republican,rep,MD,H001052,RepAndyHarrisMD
MalliotakisNicole Malliotakis (R),$3303258,$368457,11.15%,Raised over $100k,R,Republican,3303258,368457,11.15,Nicole Malliotakis,100.0,auto,Nicole,Malliotakis,Nicole Malliotakis,Republican,rep,NY,M000317,RepMalliotakis
BergmanJohn Bergman (R),$1948889,$215674,11.07%,Raised over $100k,R,Republican,1948889,215674,11.07,John Bergman,75.0,auto,Jack,Bergman,Jack Bergman,Republican,rep,MI,B001301,RepJackBergman
NunnZach Nunn (R),$5752268,$635937,11.06%,Raised over $100k,R,Republican,5752268,635937,11.06,Zach Nunn,85.7,auto,Zachary (Zach),Nunn,Zachary Nunn,Republican,rep,IA,N000193,ZachNunn
LofgrenZoe Lofgren (D),$2276594,$247668,10.88%,Raised over $100k,D,Democrat,2276594,247668,10.88,Zoe Lofgren,100.0,auto,Zoe,Lofgren,Zoe Lofgren,Democrat,rep,CA,L000397,RepZoeLofgren
StauberPete Stauber (R),$2260576,$245854,10.88%,Raised over $100k,R,Republican,2260576,245854,10.88,Pete Stauber,100.0,auto,Pete,Stauber,Pete Stauber,Republican,rep,MN,S001212,RepPeteStauber
RamirezDelia Ramirez (D),$1115639,$121089,10.85%,Raised over $100k,D,Democrat,1115639,121089,10.85,Delia Ramirez,89.7,auto,Delia,Ramirez,Delia C. Ramirez,Democrat,rep,IL,R000617,repdeliaramirez
CloudMichael Cloud (R),$785113,$80300,10.23%,Raised over $100k,R,Republican,785113,80300,10.23,Michael Cloud,100.0,auto,Michael,Cloud,Michael Cloud,Republican,rep,TX,C001115,RepCloudTX
WarnerMark Warner (D),$20277320,$2070814,10.21%,Raised over $100k,D,Democrat,20277320,2070814,10.21,Mark Warner,88.0,auto,Mark,Warner,Mark R. Warner,Democrat,sen,VA,W000805,MarkWarner
GoldmanDan Goldman (D),$3604421,$365993,10.15%,Raised over $100k,D,Democrat,3604421,365993,10.15,Dan Goldman,78.6,auto,Dan,Goldman,Daniel S. Goldman,Democrat,rep,NY,G000599,RepDanGoldman
DavisDon Davis (D),$5997022,$607763,10.13%,Raised over $100k,D,Democrat,5997022,607763,10.13,Don Davis,75.0,auto,Donald,Davis,Donald G. Davis,Democrat,rep,NC,D000230,RepDonDavis
ScholtenHillary Scholten (D),$5219042,$524791,10.06%,Raised over $100k,D,Democrat,5219042,524791,10.06,Hillary Scholten,91.4,auto,Hillary,Scholten,Hillary J. Scholten,Democrat,rep,MI,S001221,RepScholten
SchakowskyJan Schakowsky (D),$1547043,$153233,9.90%,Raised over $100k,D,Democrat,1547043,153233,9.9,Jan Schakowsky,82.4,auto,Janice,Schakowsky,Janice D. Schakowsky,Democrat,rep,IL,S001145,JanSchakowsky
TakanoMark Takano (D),$1281860,$125289,9.77%,Raised over $100k,D,Democrat,1281860,125289,9.77,Mark Takano,100.0,auto,Mark,Takano,Mark Takano,Democrat,rep,CA,T000472,RepMarkTakano
ManningKathy Manning (D),$428505,$41882,9.77%,Raised over $100k,D,Democrat,428505,41882,9.77,Gregory F. Murphy,100.0,manual,,,Gregory F. Murphy,Republican,rep,NC,M001210,RepGregMurphy
GreenMark Green (R),$2140409,$207720,9.70%,Raised over $100k,R,Republican,2140409,207720,9.7,Mark E. Green,100.0,manual,,,Mark E. Green,Republican,rep,TN,G000590,
LevinMike Levin (D),$5512893,$533760,9.68%,Raised over $100k,D,Democrat,5512893,533760,9.68,Mike Levin,100.0,auto,Mike,Levin,Mike Levin,Democrat,rep,CA,L000593,RepMikeLevin
SorensenEric Sorensen (D),$4999828,$479638,9.59%,Raised over $100k,D,Democrat,4999828,479638,9.59,Eric Sorensen,100.0,auto,Eric,Sorensen,Eric Sorensen,Democrat,rep,IL,S001225,RepEricSorensen
FulcherRuss Fulcher (R),$626646,$59964,9.57%,Raised over $100k,R,Republican,626646,59964,9.57,Russ Fulcher,100.0,auto,Russ,Fulcher,Russ Fulcher,Republican,rep,ID,F000469,RepRussFulcher
RyanPat Ryan (D),$7966965,$761213,9.55%,Raised over $100k,D,Democrat,7966965,761213,9.55,Pat Ryan,80.0,auto,Patrick,Ryan,Patrick Ryan,Democrat,rep,NY,R000579,RepPatRyanNY
MrvanFrank Mrvan Jr (D),$3182521,$299007,9.40%,Raised over $100k,D,Democrat,3182521,299007,9.4,Frank Mrvan Jr,92.9,auto,Frank,Mrvan,Frank J. Mrvan,Democrat,rep,IN,M001214,RepMrvan
PflugerAugust Pfluger (R),$3462839,$320725,9.26%,Raised over $100k,R,Republican,3462839,320725,9.26,August Pfluger,100.0,auto,August,Pfluger,August Pfluger,Republican,rep,TX,P000048,RepPfluger
WydenRon Wyden (D),$13797024,$1276047,9.25%,Raised over $100k,D,Democrat,13797024,1276047,9.25,Ron Wyden,100.0,auto,Ron,Wyden,Ron Wyden,Democrat,sen,OR,W000779,RonWyden
DeluzioChristopher Deluzio (D),$5017315,$463798,9.24%,Raised over $100k,D,Democrat,5017315,463798,9.24,Christopher Deluzio,92.7,auto,Chris,Deluzio,Christopher R. Deluzio,Democrat,rep,PA,D000530,RepDeluzio
TonkoPaul Tonko (D),$1541765,$141725,9.19%,Raised over $100k,D,Democrat,1541765,141725,9.19,Paul Tonko,100.0,auto,Paul,Tonko,Paul Tonko,Democrat,rep,NY,T000469,RepPaulTonko
HoyleVal Hoyle (D),$2636516,$242102,9.18%,Raised over $100k,D,Democrat,2636516,242102,9.18,Val Hoyle,85.7,auto,Valerie,Hoyle,Val T. Hoyle,Democrat,rep,OR,H001094,repvalhoyle
LandsmanGreg Landsman (D),$3674183,$333673,9.08%,Raised over $100k,D,Democrat,3674183,333673,9.08,Greg Landsman,100.0,auto,Greg,Landsman,Greg Landsman,Democrat,rep,OH,L000601,repgreglandsman
BarrassoJohn Barrasso (R),$10586702,$959048,9.06%,Raised over $100k,R,Republican,10586702,959048,9.06,John Barrasso,100.0,auto,John,Barrasso,John Barrasso,Republican,sen,WY,B001261,SenJohnBarrasso
SullivanDan Sullivan (R),$11438622,$1007738,8.81%,Raised over $100k,R,Republican,11438622,1007738,8.81,Dan Sullivan,100.0,auto,Dan,Sullivan,Dan Sullivan,Republican,sen,AK,S001198,SenDanSullivan
BlumenthalRichard Blumenthal (D),$8881747,$780481,8.79%,Raised over $100k,D,Democrat,8881747,780481,8.79,Richard Blumenthal,100.0,auto,Richard,Blumenthal,Richard Blumenthal,Democrat,sen,CT,B001277,SenBlumenthal
SchrierKim Schrier (D),$6409926,$563031,8.78%,Raised over $100k,D,Democrat,6409926,563031,8.78,Kim Schrier,100.0,auto,Kim,Schrier,Kim Schrier,Democrat,rep,WA,S001216,RepKimSchrier
FinstadBrad Finstad (R),$1954782,$171280,8.76%,Raised over $100k,R,Republican,1954782,171280,8.76,Brad Finstad,100.0,auto,Brad,Finstad,Brad Finstad,Republican,rep,MN,F000475,RepFinstad
ScottRick Scott (R),$46338811,$4059971,8.76%,Raised over $100k,R,Republican,46338811,4059971,8.76,Rick Scott,100.0,auto,Rick,Scott,Rick Scott,Republican,sen,FL,S001217,SenRickScott
NeguseJoseph Neguse (D),$2402305,$210215,8.75%,Raised over $100k,D,Democrat,2402305,210215,8.75,Joseph Neguse,87.0,auto,Joe,Neguse,Joe Neguse,Democrat,rep,CO,N000191,RepJoeNeguse
KilmerDerek Kilmer (D),$763029,$66457,8.71%,Raised over $100k,D,Democrat,763029,66457,8.71,Derek Kilmer,100.0,manual,,,Derek Kilmer,Democrat,rep,WA,K000381,
DunnNeal Dunn (R),$1062453,$91746,8.64%,Raised over $100k,R,Republican,1062453,91746,8.64,Neal Dunn,85.7,auto,Neal,Dunn,Neal P. Dunn,Republican,rep,FL,D000628,DrNealDunnFL2
KingAngus King (I),$5613023,$478088,8.52%,Raised over $100k,I,Independent,5613023,478088,8.52,Angus King,71.4,auto,Angus,King,"Angus S. King, Jr.",Independent,sen,ME,K000383,SenAngusKing
GayMary Gay Scanlon (D),$1473876,$124637,8.46%,Raised over $100k,D,Democrat,1473876,124637,8.46,Mary Gay Scanlon,100.0,manual,,,Mary Gay Scanlon,Democrat,rep,PA,S001205,RepMGS
MarshallRoger Marshall (R),$8689537,$730434,8.41%,Raised over $100k,R,Republican,8689537,730434,8.41,Roger Marshall,100.0,auto,Roger,Marshall,Roger Marshall,Republican,sen,KS,M001198,SenatorMarshall
LaturnerJake Laturner (R),$678202,$55749,8.22%,Raised over $100k,R,Republican,678202,55749,8.22,Nicholas A. Langworthy,100.0,manual,,,Nicholas A. Langworthy,Republican,rep,NY,L000600,RepLangworthy
CasarGreg Casar (D),$1108368,$90943,8.21%,Raised over $100k,D,Democrat,1108368,90943,8.21,Greg Casar,100.0,auto,Gregorio,Casar,Greg Casar,Democrat,rep,TX,C001131,RepCasar
WenstrupBrad Wenstrup (R),$618722,$50740,8.20%,Raised over $100k,R,Republican,618722,50740,8.2,Brad R. Wenstrup,100.0,manual,,,Brad R. Wenstrup,Republican,rep,OH,W000815,
PettersenBrittany Pettersen (D),$2444027,$200264,8.19%,Raised over $100k,D,Democrat,2444027,200264,8.19,Brittany Pettersen,100.0,auto,Brittany,Pettersen,Brittany Pettersen,Democrat,rep,CO,P000620,reppettersen
DelBeneSuzan DelBene (D),$3820057,$310137,8.12%,Raised over $100k,D,Democrat,3820057,310137,8.12,Suzan DelBene,89.7,auto,Suzan,DelBene,Suzan K. DelBene,Democrat,rep,WA,D000617,RepDelBene
SmithJason Smith (R),$6519602,$528856,8.11%,Raised over $100k,R,Republican,6519602,528856,8.11,Jason Smith,100.0,auto,Jason,Smith,Jason Smith,Republican,rep,MO,S001195,RepJasonSmith
KeatingBill Keating (D),$678884,$54638,8.05%,Raised over $100k,D,Democrat,678884,54638,8.05,William R. Keating,100.0,manual,,,William R. Keating,Democrat,rep,MA,K000375,USRepKeating
ClyburnJames E Clyburn (D),$2219819,$177896,8.01%,Raised over $100k,D,Democrat,2219819,177896,8.01,James E Clyburn,96.8,auto,James,Clyburn,James E. Clyburn,Democrat,rep,SC,C000537,RepJamesClyburn
JacobsSara Jacobs (D),$1698496,$133945,7.89%,Raised over $100k,D,Democrat,1698496,133945,7.89,Sara Jacobs,100.0,auto,Sara,Jacobs,Sara Jacobs,Democrat,rep,CA,J000305,RepSaraJacobs
LeeErica Lee Carter (D),$70270,$5495,7.82%,Raised less than $100k,D,Democrat,70270,5495,7.82,Wm. Lacy Clay,100.0,manual,,,Wm. Lacy Clay,Democrat,rep,MO,C001049,
CastenSean Casten (D),$3007319,$233392,7.76%,Raised over $100k,D,Democrat,3007319,233392,7.76,Sean Casten,100.0,auto,Sean,Casten,Sean Casten,Democrat,rep,IL,C001117,RepCasten
YoungTodd Young (R),$15679033,$1216193,7.76%,Raised over $100k,R,Republican,15679033,1216193,7.76,Todd Young,100.0,auto,Todd,Young,Todd Young,Republican,sen,IN,Y000064,SenToddYoung
RoundsMike Rounds (R),$4905720,$380413,7.75%,Raised over $100k,R,Republican,4905720,380413,7.75,Mike Rounds,100.0,auto,Mike,Rounds,Mike Rounds,Republican,sen,SD,R000605,SenatorRounds
FosterBill Foster (D),$3218842,$246554,7.66%,Raised over $100k,D,Democrat,3218842,246554,7.66,Bill Foster,100.0,auto,Bill,Foster,Bill Foster,Democrat,rep,IL,F000454,RepBillFoster
SinemaKyrsten Sinema (I),$12276462,$935778,7.62%,Raised over $100k,I,Independent,12276462,935778,7.62,Kyrsten Sinema,100.0,manual,,,Kyrsten Sinema,Independent,sen,AZ,S001191,
FischerDeb Fischer (R),$8409719,$639629,7.61%,Raised over $100k,R,Republican,8409719,639629,7.61,Deb Fischer,100.0,auto,Deb,Fischer,Deb Fischer,Republican,sen,NE,F000463,SenatorFischer
NehlsTroy Nehls (R),$834455,$63085,7.56%,Raised over $100k,R,Republican,834455,63085,7.56,Troy Nehls,87.0,auto,Troy,Nehls,Troy E. Nehls,Republican,rep,TX,N000026,RepTroyNehls
