Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
TurnerMichael R Turner (R),$1237218,$8136,0.66%,Raised over $100k,R,Republican,1237218,8136,0.66,Michael R Turner,97.0,auto,Michael,Turner,Michael R. Turner,Republican,rep,OH,T000463,RepMikeTurner,Q1 (lowest),full_house
SimpsonMike Simpson (R),$1543835,$9444,0.61%,Raised over $100k,R,Republican,1543835,9444,0.61,Mike Simpson,73.3,auto,Michael,Simpson,Michael K. Simpson,Republican,rep,ID,S001148,CongMikeSimpson,Q1 (lowest),full_house
MfumeKweisi Mfume (D),$526322,$2859,0.54%,Raised over $100k,D,Democrat,526322,2859,0.54,Kweisi Mfume,100.0,auto,Kweisi,Mfume,Kweisi Mfume,Democrat,rep,MD,M000687,RepKweisiMfume,Q1 (lowest),full_house
BoyleBrendan Boyle (D),$2328291,$12559,0.54%,Raised over $100k,D,Democrat,2328291,12559,0.54,Brendan Boyle,89.7,auto,Brendan,Boyle,Brendan F. Boyle,Democrat,rep,PA,B001296,CongBoyle,Q1 (lowest),full_house
ArmstrongKelly Armstrong (R),$661893,$3519,0.53%,Raised over $100k,R,Republican,661893,3519,0.53,Kelly Armstrong,100.0,manual,,,Kelly Armstrong,Republican,rep,ND,A000377,RepArmstrongND,Q1 (lowest),full_house
MeuserDan Meuser (R),$1749222,$9025,0.52%,Raised over $100k,R,Republican,1749222,9025,0.52,Dan Meuser,87.0,auto,Daniel,Meuser,Daniel Meuser,Republican,rep,PA,M001204,RepMeuser,Q1 (lowest),full_house
ArringtonJodey Arrington (R),$3247143,$16135,0.50%,Raised over $100k,R,Republican,3247143,16135,0.5,Jodey Arrington,90.9,auto,Jodey,Arrington,Jodey C. Arrington,Republican,rep,TX,A000375,RepArrington,Q1 (lowest),full_house
ThanedarShri Thanedar (D),$9477463,$44352,0.47%,Raised over $100k,D,Democrat,9477463,44352,0.47,Shri Thanedar,100.0,auto,Shri,Thanedar,Shri Thanedar,Democrat,rep,MI,T000488,RepShriThanedar,Q1 (lowest),full_house
ObernolteJay Obernolte (R),$1365378,$6374,0.47%,Raised over $100k,R,Republican,1365378,6374,0.47,Jay Obernolte,100.0,auto,Jay,Obernolte,Jay Obernolte,Republican,rep,CA,O000019,JayObernolte,Q1 (lowest),full_house
BeanAaron Bean (R),$1729436,$7757,0.45%,Raised over $100k,R,Republican,1729436,7757,0.45,Aaron Bean,100.0,auto,Aaron,Bean,Aaron Bean,Republican,rep,FL,B001314,RepAaronBean,Q1 (lowest),full_house
