Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
BonamiciSuzanne Bonamici (D),$933463,$59521,6.38%,Raised over $100k,D,Democrat,933463,59521,6.38,Suzanne Bonamici,100.0,auto,Suzanne,Bonamici,Suzanne Bonamici,Democrat,rep,OR,B001278,RepBonamici,Q3,full_house
PappasChris Pappas (D),$4064817,$258983,6.37%,Raised over $100k,D,Democrat,4064817,258983,6.37,Chris Pappas,100.0,auto,Chris,Pappas,Chris Pappas,Democrat,rep,NH,P000614,RepChrisPappas,Q3,full_house
GonzalesTony Gonzales (R),$5901618,$372958,6.32%,Raised over $100k,R,Republican,5901618,372958,6.32,Tony Gonzales,100.0,auto,Ernest,Gonzales,Tony Gonzales,Republican,rep,TX,G000594,RepTonyGonzales,Q3,full_house
BarrAndy Barr (R),$4940959,$311870,6.31%,Raised over $100k,R,Republican,4940959,311870,6.31,Andy Barr,100.0,auto,Garland,Barr,Andy Barr,Republican,rep,KY,B001282,RepAndyBarr,Q3,full_house
HoulahanChrissy Houlahan (D),$2490375,$154029,6.18%,Raised over $100k,D,Democrat,2490375,154029,6.18,Chrissy Houlahan,100.0,auto,Chrissy,Houlahan,Chrissy Houlahan,Democrat,rep,PA,H001085,RepHoulahan,Q3,full_house
HuffmanJared Huffman (D),$997755,$61180,6.13%,Raised over $100k,D,Democrat,997755,61180,6.13,Jared Huffman,100.0,auto,Jared,Huffman,Jared Huffman,Democrat,rep,CA,H001068,RepHuffman,Q3,full_house
EmmerTom Emmer (R),$8166673,$498537,6.10%,Raised over $100k,R,Republican,8166673,498537,6.1,Tom Emmer,100.0,auto,Tom,Emmer,Tom Emmer,Republican,rep,MN,E000294,RepTomEmmer,Q3,full_house
BishopDan Bishop (R),$223950,$13538,6.05%,Raised over $100k,R,Republican,223950,13538,6.05,Dan Bishop,100.0,manual,,,Dan Bishop,Republican,rep,NC,B001311,RepDanBishop,Q3,full_house
NadlerJerrold Nadler (D),$1186827,$71188,6.00%,Raised over $100k,D,Democrat,1186827,71188,6.0,Jerrold Nadler,100.0,auto,Jerrold,Nadler,Jerrold Nadler,Democrat,rep,NY,N000002,RepJerryNadler,Q3,full_house
RuppersbergerDutch Ruppersberger (D),$359813,$2531,0.70%,Raised over $100k,D,Democrat,359813,2531,0.7,C. A. Dutch Ruppersberger,100.0,manual,,,C. A. Dutch Ruppersberger,Democrat,rep,MD,R000576,Call_Me_Dutch,Q1 (lowest),full_house
NorcrossDon Norcross (D),$2187063,$15294,0.70%,Raised over $100k,D,Democrat,2187063,15294,0.7,Don Norcross,88.9,auto,Donald,Norcross,Donald Norcross,Democrat,rep,NJ,N000188,DonaldNorcross,Q1 (lowest),full_house
WilliamsRoger Williams (R),$1858870,$12991,0.70%,Raised over $100k,R,Republican,1858870,12991,0.7,Roger Williams,100.0,auto,Roger,Williams,Roger Williams,Republican,rep,TX,W000816,RepRWilliams,Q1 (lowest),full_house
WilsonFrederica Wilson (D),$485428,$3315,0.68%,Raised over $100k,D,Democrat,485428,3315,0.68,Frederica Wilson,91.4,auto,Frederica,Wilson,Frederica S. Wilson,Democrat,rep,FL,W000808,RepWilson,Q1 (lowest),full_house
SessionsPete Sessions (R),$1239311,$8184,0.66%,Raised over $100k,R,Republican,1239311,8184,0.66,Pete Sessions,100.0,auto,Pete,Sessions,Pete Sessions,Republican,rep,TX,S000250,PeteSessions,Q1 (lowest),full_house
