Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
WenstrupBrad Wenstrup (R),$618722,$50740,8.20%,Raised over $100k,R,Republican,618722,50740,8.2,Brad R. Wenstrup,100.0,manual,,,Brad R. Wenstrup,Republican,rep,OH,W000815,RepBradWenstrup,Q3,full_house
DelBeneSuzan DelBene (D),$3820057,$310137,8.12%,Raised over $100k,D,Democrat,3820057,310137,8.12,Suzan DelBene,89.7,auto,Suzan,DelBene,Suzan K. DelBene,Democrat,rep,WA,D000617,RepDelBene,Q3,full_house
KeatingBill Keating (D),$678884,$54638,8.05%,Raised over $100k,D,Democrat,678884,54638,8.05,William R. Keating,100.0,manual,,,William R. Keating,Democrat,rep,MA,K000375,USRepKeating,Q3,full_house
ClyburnJames E Clyburn (D),$2219819,$177896,8.01%,Raised over $100k,D,Democrat,2219819,177896,8.01,James E Clyburn,96.8,auto,James,Clyburn,James E. Clyburn,Democrat,rep,SC,C000537,RepJamesClyburn,Q3,full_house
JacobsSara Jacobs (D),$1698496,$133945,7.89%,Raised over $100k,D,Democrat,1698496,133945,7.89,Sara Jacobs,100.0,auto,Sara,Jacobs,Sara Jacobs,Democrat,rep,CA,J000305,RepSaraJacobs,Q3,full_house
CastenSean Casten (D),$3007319,$233392,7.76%,Raised over $100k,D,Democrat,3007319,233392,7.76,Sean Casten,100.0,auto,Sean,Casten,Sean Casten,Democrat,rep,IL,C001117,RepCasten,Q3,full_house
FosterBill Foster (D),$3218842,$246554,7.66%,Raised over $100k,D,Democrat,3218842,246554,7.66,Bill Foster,100.0,auto,Bill,Foster,Bill Foster,Democrat,rep,IL,F000454,RepBillFoster,Q3,full_house
DeanMadeleine Dean (D),$1739285,$131357,7.55%,Raised over $100k,D,Democrat,1739285,131357,7.55,Madeleine Dean,100.0,auto,Madeleine,Dean,Madeleine Dean,Democrat,rep,PA,D000631,RepDean,Q3,full_house
NormanRalph Norman (R),$395128,$29820,7.55%,Raised over $100k,R,Republican,395128,29820,7.55,Ralph Norman,100.0,auto,Ralph,Norman,Ralph Norman,Republican,rep,SC,N000190,RepRalphNorman,Q3,full_house
KrishnamoorthiRaja Krishnamoorthi (D),$10781740,$802847,7.45%,Raised over $100k,D,Democrat,10781740,802847,7.45,Raja Krishnamoorthi,100.0,auto,Raja,Krishnamoorthi,Raja Krishnamoorthi,Democrat,rep,IL,K000391,CongressmanRaja,Q3,full_house
